participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
31400,VA,18-24,Mouse,Daily,1,visual,1,0,349,325,346,324,3.25,1,473.0,2026-04-07T22:21:53.730Z
31400,VA,18-24,Mouse,Daily,1,visual,2,0,604,376,619,388,19.05,1,513.0,2026-04-07T22:21:55.195Z
31400,VA,18-24,Mouse,Daily,1,visual,3,0,711,324,707,321,5.15,1,531.8,2026-04-07T22:21:56.678Z
31400,VA,18-24,Mouse,Daily,1,visual,4,0,147,304,146,308,3.88,1,450.4,2026-04-07T22:21:58.080Z
31400,VA,18-24,Mouse,Daily,1,visual,5,0,160,146,143,147,17.02,1,531.4,2026-04-07T22:21:59.564Z
31400,VA,18-24,Mouse,Daily,1,visual,6,0,748,406,748,403,3.25,1,496.1,2026-04-07T22:22:01.012Z
31400,VA,18-24,Mouse,Daily,1,visual,7,0,650,177,666,179,16.10,1,465.6,2026-04-07T22:22:02.429Z
31400,VA,18-24,Mouse,Daily,1,visual,8,0,348,234,355,243,11.21,1,414.0,2026-04-07T22:22:03.794Z
31400,VA,18-24,Mouse,Daily,1,visual,9,0,371,262,360,274,16.10,1,388.1,2026-04-07T22:22:05.135Z
31400,VA,18-24,Mouse,Daily,1,visual,10,0,329,269,327,268,2.36,1,455.2,2026-04-07T22:22:06.541Z
31400,VA,18-24,Mouse,Daily,1,visual,11,0,161,234,171,242,12.65,1,476.4,2026-04-07T22:22:07.968Z
31400,VA,18-24,Mouse,Daily,1,visual,12,0,216,358,225,355,9.57,1,574.7,2026-04-07T22:22:09.497Z
31400,VA,18-24,Mouse,Daily,1,visual,13,0,173,267,191,263,18.49,1,477.6,2026-04-07T22:22:10.925Z
31400,VA,18-24,Mouse,Daily,1,visual,14,0,508,177,530,179,22.07,1,407.8,2026-04-07T22:22:12.283Z
31400,VA,18-24,Mouse,Daily,1,visual,15,0,694,198,700,201,6.60,1,482.2,2026-04-07T22:22:13.716Z
31400,VA,18-24,Mouse,Daily,1,visual,16,0,132,116,123,113,9.57,1,518.9,2026-04-07T22:22:15.186Z
31400,VA,18-24,Mouse,Daily,1,visual,17,0,321,116,320,108,8.31,1,467.2,2026-04-07T22:22:16.604Z
31400,VA,18-24,Mouse,Daily,1,visual,18,0,336,84,341,98,14.63,1,493.9,2026-04-07T22:22:18.050Z
31400,VA,18-24,Mouse,Daily,1,visual,19,0,342,358,348,361,6.60,1,408.2,2026-04-07T22:22:19.409Z
31400,VA,18-24,Mouse,Daily,1,visual,20,0,540,52,541,61,8.81,1,473.8,2026-04-07T22:22:20.833Z
31400,VA,18-24,Mouse,Daily,1,visual,21,0,631,243,622,258,17.28,1,475.6,2026-04-07T22:22:22.260Z
31400,VA,18-24,Mouse,Daily,1,visual,22,0,313,426,311,429,3.40,1,492.8,2026-04-07T22:22:23.705Z
31400,VA,18-24,Mouse,Daily,1,visual,23,0,508,106,507,106,1.03,1,566.2,2026-04-07T22:22:25.223Z
31400,VA,18-24,Mouse,Daily,1,visual,24,0,464,275,457,278,7.52,1,405.6,2026-04-07T22:22:26.579Z
31400,VA,18-24,Mouse,Daily,1,visual,25,0,83,177,85,189,11.92,1,506.0,2026-04-07T22:22:28.035Z
31400,VA,18-24,Mouse,Daily,1,visual,26,0,171,198,146,185,28.29,1,453.4,2026-04-07T22:22:29.441Z
31400,VA,18-24,Mouse,Daily,1,visual,27,0,515,372,505,381,13.29,1,499.5,2026-04-07T22:22:30.893Z
31400,VA,18-24,Mouse,Daily,1,visual,28,0,378,225,379,221,4.37,1,408.6,2026-04-07T22:22:32.252Z
31400,VA,18-24,Mouse,Daily,1,visual,29,0,173,351,170,348,4.42,1,555.4,2026-04-07T22:22:33.760Z
31400,VA,18-24,Mouse,Daily,1,visual,30,0,327,87,318,91,9.75,1,604.9,2026-04-07T22:22:35.315Z
31400,VA,18-24,Mouse,Daily,1,visual,31,0,520,56,521,59,2.93,1,504.0,2026-04-07T22:22:36.770Z
31400,VA,18-24,Mouse,Daily,1,visual,32,0,74,94,60,82,18.60,1,525.3,2026-04-07T22:22:38.247Z
31400,VA,18-24,Mouse,Daily,1,visual,33,0,719,433,715,430,5.15,1,659.6,2026-04-07T22:22:39.859Z
31400,VA,18-24,Mouse,Daily,1,visual,34,0,745,171,736,171,9.00,1,561.3,2026-04-07T22:22:41.372Z
31400,VA,18-24,Mouse,Daily,1,visual,35,0,665,404,661,402,4.59,1,592.1,2026-04-07T22:22:42.917Z
31400,VA,18-24,Mouse,Daily,1,visual,36,0,549,54,544,59,6.90,1,571.7,2026-04-07T22:22:44.441Z
31400,VA,18-24,Mouse,Daily,1,visual,37,0,372,137,373,130,7.32,1,500.2,2026-04-07T22:22:45.892Z
31400,VA,18-24,Mouse,Daily,1,visual,38,0,462,337,467,349,12.77,1,490.5,2026-04-07T22:22:47.338Z
31400,VA,18-24,Mouse,Daily,1,visual,39,0,411,144,416,133,12.31,1,447.7,2026-04-07T22:22:48.737Z
31400,VA,18-24,Mouse,Daily,1,visual,40,0,234,360,234,359,1.25,1,577.7,2026-04-07T22:22:50.267Z
31400,VA,18-24,Mouse,Daily,1,visual,41,0,513,379,513,381,1.75,1,581.7,2026-04-07T22:22:51.799Z
31400,VA,18-24,Mouse,Daily,1,visual,42,0,252,285,244,292,10.47,1,469.2,2026-04-07T22:22:53.220Z
31400,VA,18-24,Mouse,Daily,1,visual,43,0,615,339,622,337,7.35,1,539.8,2026-04-07T22:22:54.710Z
31400,VA,18-24,Mouse,Daily,1,visual,44,0,625,301,641,307,17.00,1,493.9,2026-04-07T22:22:56.156Z
31400,VA,18-24,Mouse,Daily,1,visual,45,0,401,70,395,78,9.80,1,517.4,2026-04-07T22:22:57.624Z
31400,VA,18-24,Mouse,Daily,1,visual,46,0,724,275,713,272,11.47,1,556.9,2026-04-07T22:22:59.133Z
31400,VA,18-24,Mouse,Daily,1,visual,47,0,122,388,129,383,8.75,1,577.5,2026-04-07T22:23:00.662Z
31400,VA,18-24,Mouse,Daily,1,visual,48,0,109,437,105,443,7.00,1,655.3,2026-04-07T22:23:02.268Z
31400,VA,18-24,Mouse,Daily,1,visual,49,0,661,207,676,201,16.25,1,523.8,2026-04-07T22:23:03.742Z
31400,VA,18-24,Mouse,Daily,1,visual,50,0,281,110,290,106,9.95,1,526.5,2026-04-07T22:23:05.220Z
31400,VA,18-24,Mouse,Daily,1,visual,51,0,680,229,687,231,7.22,1,577.6,2026-04-07T22:23:06.749Z
31400,VA,18-24,Mouse,Daily,1,visual,52,0,718,369,705,364,14.02,1,534.9,2026-04-07T22:23:08.234Z
31400,VA,18-24,Mouse,Daily,1,visual,53,0,476,243,493,238,17.79,1,442.8,2026-04-07T22:23:09.628Z
31400,VA,18-24,Mouse,Daily,1,visual,54,0,298,300,292,302,6.25,1,487.0,2026-04-07T22:23:11.067Z
31400,VA,18-24,Mouse,Daily,1,visual,55,0,197,186,195,185,2.36,1,532.9,2026-04-07T22:23:12.552Z
31400,VA,18-24,Mouse,Daily,1,visual,56,0,132,145,137,149,6.25,1,572.9,2026-04-07T22:23:14.076Z
31400,VA,18-24,Mouse,Daily,1,visual,57,0,407,386,405,396,9.95,1,529.4,2026-04-07T22:23:15.557Z
31400,VA,18-24,Mouse,Daily,1,visual,58,0,697,242,700,244,3.47,1,564.6,2026-04-07T22:23:17.076Z
31400,VA,18-24,Mouse,Daily,1,visual,59,0,180,306,172,306,8.00,1,582.2,2026-04-07T22:23:18.610Z
31400,VA,18-24,Mouse,Daily,1,visual,60,0,519,247,528,235,15.20,1,514.9,2026-04-07T22:23:20.076Z
31400,VA,18-24,Mouse,Daily,2,auditory,1,0,448,328,459,328,11.00,1,413.5,2026-04-07T22:23:31.920Z
31400,VA,18-24,Mouse,Daily,2,auditory,2,0,690,408,682,406,8.31,1,498.5,2026-04-07T22:23:33.369Z
31400,VA,18-24,Mouse,Daily,2,auditory,3,0,557,108,543,114,15.13,1,463.4,2026-04-07T22:23:34.785Z
31400,VA,18-24,Mouse,Daily,2,auditory,4,0,438,231,443,223,9.65,1,381.4,2026-04-07T22:23:36.117Z
31400,VA,18-24,Mouse,Daily,2,auditory,5,0,102,386,119,381,17.79,1,496.8,2026-04-07T22:23:37.565Z
31400,VA,18-24,Mouse,Daily,2,auditory,6,0,294,262,286,273,13.40,1,550.6,2026-04-07T22:23:39.067Z
31400,VA,18-24,Mouse,Daily,2,auditory,7,0,381,313,380,312,1.60,1,423.7,2026-04-07T22:23:40.443Z
31400,VA,18-24,Mouse,Daily,2,auditory,8,0,289,445,303,451,15.13,1,512.5,2026-04-07T22:23:41.906Z
31400,VA,18-24,Mouse,Daily,2,auditory,9,0,515,234,510,234,5.01,1,437.5,2026-04-07T22:23:43.296Z
31400,VA,18-24,Mouse,Daily,2,auditory,10,0,532,277,518,279,14.11,1,446.5,2026-04-07T22:23:44.694Z
31400,VA,18-24,Mouse,Daily,2,auditory,11,0,116,219,101,221,15.10,1,465.2,2026-04-07T22:23:46.109Z
31400,VA,18-24,Mouse,Daily,2,auditory,12,0,649,172,642,171,7.11,1,485.3,2026-04-07T22:23:47.546Z
31400,VA,18-24,Mouse,Daily,2,auditory,13,0,490,347,499,348,9.03,1,444.2,2026-04-07T22:23:48.942Z
31400,VA,18-24,Mouse,Daily,2,auditory,14,0,231,110,223,113,8.46,1,477.5,2026-04-07T22:23:50.370Z
31400,VA,18-24,Mouse,Daily,2,auditory,15,0,366,345,362,348,4.85,1,437.8,2026-04-07T22:23:51.758Z
31400,VA,18-24,Mouse,Daily,2,auditory,16,0,684,324,703,329,19.58,1,504.8,2026-04-07T22:23:53.214Z
31400,VA,18-24,Mouse,Daily,2,auditory,17,0,67,163,68,165,2.02,1,534.1,2026-04-07T22:23:54.699Z
31400,VA,18-24,Mouse,Daily,2,auditory,18,0,95,373,110,370,15.35,1,533.9,2026-04-07T22:23:56.185Z
31400,VA,18-24,Mouse,Daily,2,auditory,19,0,320,149,327,157,10.44,1,499.5,2026-04-07T22:23:57.637Z
31400,VA,18-24,Mouse,Daily,2,auditory,20,0,531,278,533,268,10.44,1,422.5,2026-04-07T22:23:59.010Z
31400,VA,18-24,Mouse,Daily,2,auditory,21,0,164,100,170,102,6.25,1,501.4,2026-04-07T22:24:00.464Z
31400,VA,18-24,Mouse,Daily,2,auditory,22,0,52,268,65,266,13.19,1,562.5,2026-04-07T22:24:01.978Z
31400,VA,18-24,Mouse,Daily,2,auditory,23,0,326,164,315,163,11.07,1,442.5,2026-04-07T22:24:03.372Z
31400,VA,18-24,Mouse,Daily,2,auditory,24,0,500,83,484,86,16.23,1,528.0,2026-04-07T22:24:04.852Z
31400,VA,18-24,Mouse,Daily,2,auditory,25,0,330,111,318,114,12.31,1,538.3,2026-04-07T22:24:06.343Z
31400,VA,18-24,Mouse,Daily,2,auditory,26,0,706,78,710,75,5.15,1,702.3,2026-04-07T22:24:07.996Z
31400,VA,18-24,Mouse,Daily,2,auditory,27,0,75,202,71,195,8.28,1,567.3,2026-04-07T22:24:09.514Z
31400,VA,18-24,Mouse,Daily,2,auditory,28,0,434,218,424,212,11.79,1,527.7,2026-04-07T22:24:10.994Z
31400,VA,18-24,Mouse,Daily,2,auditory,29,0,726,251,740,255,14.49,1,573.1,2026-04-07T22:24:12.520Z
31400,VA,18-24,Mouse,Daily,2,auditory,30,0,529,357,534,361,6.25,1,519.0,2026-04-07T22:24:13.991Z
31400,VA,18-24,Mouse,Daily,2,auditory,31,0,425,242,417,238,9.06,1,584.6,2026-04-07T22:24:15.526Z
31400,VA,18-24,Mouse,Daily,2,auditory,32,0,627,219,631,222,4.85,1,645.3,2026-04-07T22:24:17.123Z
31400,VA,18-24,Mouse,Daily,2,auditory,33,0,637,109,641,119,10.54,1,555.8,2026-04-07T22:24:18.631Z
31400,VA,18-24,Mouse,Daily,2,auditory,34,0,540,259,550,259,10.00,1,468.3,2026-04-07T22:24:20.052Z
31400,VA,18-24,Mouse,Daily,2,auditory,35,0,530,378,543,385,14.65,1,479.9,2026-04-07T22:24:21.483Z
31400,VA,18-24,Mouse,Daily,2,auditory,36,0,157,381,152,389,9.22,1,569.4,2026-04-07T22:24:23.003Z
31400,VA,18-24,Mouse,Daily,2,auditory,37,0,381,347,390,357,13.27,1,401.5,2026-04-07T22:24:24.355Z
31400,VA,18-24,Mouse,Daily,2,auditory,38,0,305,416,308,415,3.25,1,484.8,2026-04-07T22:24:25.791Z
31400,VA,18-24,Mouse,Daily,2,auditory,39,0,174,249,189,244,15.89,1,511.5,2026-04-07T22:24:27.254Z
31400,VA,18-24,Mouse,Daily,2,auditory,40,0,371,445,360,425,23.04,1,994.6,2026-04-07T22:24:29.201Z
31400,VA,18-24,Mouse,Daily,2,auditory,41,0,242,407,233,421,16.43,1,529.0,2026-04-07T22:24:30.683Z
31400,VA,18-24,Mouse,Daily,2,auditory,42,0,290,428,295,417,12.31,1,465.5,2026-04-07T22:24:32.100Z
31400,VA,18-24,Mouse,Daily,2,auditory,43,0,245,270,254,277,11.25,1,411.7,2026-04-07T22:24:33.463Z
31400,VA,18-24,Mouse,Daily,2,auditory,44,0,409,286,402,281,8.75,1,457.6,2026-04-07T22:24:34.873Z
31400,VA,18-24,Mouse,Daily,2,auditory,45,0,170,52,163,49,7.72,1,590.0,2026-04-07T22:24:36.414Z
31400,VA,18-24,Mouse,Daily,2,auditory,46,0,650,246,649,246,1.03,1,492.3,2026-04-07T22:24:37.858Z
31400,VA,18-24,Mouse,Daily,2,auditory,47,0,212,231,201,236,11.98,1,434.9,2026-04-07T22:24:39.245Z
31400,VA,18-24,Mouse,Daily,2,auditory,48,0,672,378,663,383,10.18,1,541.6,2026-04-07T22:24:40.738Z
31400,VA,18-24,Mouse,Daily,2,auditory,49,0,243,268,243,271,2.75,1,494.8,2026-04-07T22:24:42.183Z
31400,VA,18-24,Mouse,Daily,2,auditory,50,0,714,202,731,207,17.65,1,517.5,2026-04-07T22:24:43.653Z
31400,VA,18-24,Mouse,Daily,2,auditory,51,0,546,130,548,130,2.02,1,440.9,2026-04-07T22:24:45.046Z
