participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,1,0,459,231,474,239,17.00,1,505.5,2026-04-07T21:25:02.569Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,2,0,483,133,486,140,7.62,1,429.1,2026-04-07T21:25:03.954Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,3,0,624,348,645,363,25.81,1,540.1,2026-04-07T21:25:05.451Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,4,0,132,306,114,321,23.43,1,546.1,2026-04-07T21:25:06.952Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,5,0,103,365,99,369,5.66,1,582.9,2026-04-07T21:25:08.494Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,6,0,475,118,482,102,17.46,1,539.1,2026-04-07T21:25:09.985Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,7,0,538,273,545,275,7.28,1,567.3,2026-04-07T21:25:11.506Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,8,0,468,438,495,464,37.48,0,576.1,2026-04-07T21:25:13.037Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,9,0,485,223,474,226,11.40,1,524.0,2026-04-07T21:25:14.513Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,10,0,612,67,621,80,15.81,1,572.6,2026-04-07T21:25:16.044Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,11,0,206,164,201,163,5.10,1,529.8,2026-04-07T21:25:17.535Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,12,0,741,108,741,107,1.00,1,574.6,2026-04-07T21:25:19.064Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,13,0,285,384,288,386,3.61,1,577.0,2026-04-07T21:25:20.599Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,14,0,715,89,715,87,2.00,1,557.9,2026-04-07T21:25:22.113Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,15,0,459,412,450,424,15.00,1,507.8,2026-04-07T21:25:23.574Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,16,0,503,324,507,333,9.85,1,551.8,2026-04-07T21:25:25.079Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,17,0,266,225,267,225,1.00,1,422.8,2026-04-07T21:25:26.459Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,18,0,522,298,538,297,16.03,1,499.5,2026-04-07T21:25:27.910Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,19,0,415,272,417,280,8.25,1,511.1,2026-04-07T21:25:29.375Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,20,0,370,333,378,337,8.94,1,544.3,2026-04-07T21:25:30.877Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,21,0,686,234,669,230,17.46,1,612.0,2026-04-07T21:25:32.450Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,22,0,508,91,516,101,12.81,1,570.2,2026-04-07T21:25:33.975Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,23,0,352,77,355,68,9.49,1,575.9,2026-04-07T21:25:35.504Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,24,0,703,360,716,362,13.15,1,555.8,2026-04-07T21:25:37.016Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,25,0,686,342,688,340,2.83,1,592.7,2026-04-07T21:25:38.563Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,26,0,101,261,82,261,19.00,1,600.8,2026-04-07T21:25:40.122Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,27,0,235,202,225,211,13.45,1,574.1,2026-04-07T21:25:41.657Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,28,0,398,308,402,314,7.21,1,553.6,2026-04-07T21:25:43.169Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,29,0,602,446,603,437,9.06,1,629.0,2026-04-07T21:25:44.754Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,30,0,352,121,350,123,2.83,1,415.3,2026-04-07T21:25:46.124Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,31,0,334,246,331,251,5.83,1,556.4,2026-04-07T21:25:47.633Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,32,0,228,305,233,303,5.39,1,628.0,2026-04-07T21:25:49.221Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,33,0,169,416,162,420,8.06,1,645.9,2026-04-07T21:25:50.822Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,34,0,235,296,223,302,13.42,1,571.1,2026-04-07T21:25:52.353Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,35,0,279,168,266,181,18.38,1,550.2,2026-04-07T21:25:53.855Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,36,0,479,397,481,408,11.18,1,550.2,2026-04-07T21:25:55.360Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,37,0,219,262,221,261,2.24,1,551.5,2026-04-07T21:25:56.867Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,38,0,216,314,206,308,11.66,1,514.9,2026-04-07T21:25:58.339Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,39,0,246,438,240,430,10.00,1,592.9,2026-04-07T21:25:59.886Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,40,0,460,130,458,132,2.83,1,565.7,2026-04-07T21:26:01.403Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,41,0,536,385,528,381,8.94,1,601.5,2026-04-07T21:26:02.961Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,42,0,402,99,399,100,3.16,1,540.6,2026-04-07T21:26:04.456Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,43,0,408,321,410,328,7.28,1,530.9,2026-04-07T21:26:05.942Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,44,0,395,352,395,363,11.00,1,607.7,2026-04-07T21:26:07.501Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,45,0,155,384,150,381,5.83,1,640.0,2026-04-07T21:26:09.094Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,46,0,598,276,599,269,7.07,1,591.9,2026-04-07T21:26:10.643Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,47,0,696,79,698,89,10.20,1,621.6,2026-04-07T21:26:12.220Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,48,0,468,317,466,325,8.25,1,516.2,2026-04-07T21:26:13.688Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,49,0,630,227,631,228,1.41,1,576.5,2026-04-07T21:26:15.219Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,50,0,219,294,212,289,8.60,1,663.6,2026-04-07T21:26:16.834Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,51,0,107,100,98,106,10.82,1,610.5,2026-04-07T21:26:18.403Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,52,0,378,159,366,160,12.04,1,533.7,2026-04-07T21:26:19.893Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,53,0,630,247,619,248,11.05,1,578.6,2026-04-07T21:26:21.427Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,54,0,448,309,455,311,7.28,1,513.8,2026-04-07T21:26:22.895Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,55,0,655,87,653,92,5.39,1,631.0,2026-04-07T21:26:24.482Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,56,0,356,394,353,406,12.37,1,577.2,2026-04-07T21:26:26.014Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,57,0,164,254,146,254,18.00,1,567.3,2026-04-07T21:26:27.537Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,58,0,464,435,463,432,3.16,1,638.4,2026-04-07T21:26:29.136Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,59,0,359,440,361,447,7.28,1,637.2,2026-04-07T21:26:30.724Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,1,auditory,60,0,413,372,408,372,5.00,1,714.4,2026-04-07T21:26:32.390Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,1,0,76,417,71,418,5.10,1,763.1,2026-04-07T21:26:49.294Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,2,0,510,102,496,98,14.56,1,539.5,2026-04-07T21:26:50.787Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,3,0,336,334,334,340,6.32,1,548.9,2026-04-07T21:26:52.287Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,4,0,311,86,309,82,4.47,1,594.6,2026-04-07T21:26:53.836Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,5,0,56,127,52,126,4.12,1,806.5,2026-04-07T21:26:55.598Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,6,0,712,70,716,68,4.47,1,650.7,2026-04-07T21:26:57.203Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,7,0,81,253,73,255,8.25,1,629.7,2026-04-07T21:26:58.788Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,8,0,427,352,424,359,7.62,1,591.4,2026-04-07T21:27:00.333Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,9,0,168,212,163,211,5.10,1,636.3,2026-04-07T21:27:01.922Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,10,0,289,306,289,315,9.00,1,578.5,2026-04-07T21:27:03.455Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,11,0,451,357,452,354,3.16,1,556.2,2026-04-07T21:27:04.963Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,12,0,491,218,496,227,10.30,1,574.9,2026-04-07T21:27:06.490Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,13,0,566,427,567,429,2.24,1,590.2,2026-04-07T21:27:08.032Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,14,0,539,167,538,170,3.16,1,631.0,2026-04-07T21:27:09.614Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,15,0,209,295,204,300,7.07,1,542.4,2026-04-07T21:27:11.107Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,16,0,187,304,179,306,8.25,1,562.3,2026-04-07T21:27:12.621Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,17,0,280,438,277,444,6.71,1,667.8,2026-04-07T21:27:14.242Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,18,0,66,88,59,86,7.28,1,606.7,2026-04-07T21:27:15.801Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,19,0,697,419,700,421,3.61,1,618.1,2026-04-07T21:27:17.370Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,20,0,746,93,746,96,3.00,1,593.9,2026-04-07T21:27:18.917Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,21,0,728,403,728,404,1.00,1,671.9,2026-04-07T21:27:20.540Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,22,0,337,353,337,384,31.00,1,559.0,2026-04-07T21:27:22.051Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,23,0,260,158,269,159,9.06,1,439.9,2026-04-07T21:27:23.443Z
ALEX ON CONTROLLER,AV,18-24,Mouse,Daily,2,visual,24,0,227,396,232,389,8.60,1,573.3,2026-04-07T21:27:24.968Z
