participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,1,0,106,314,98,327,15.26,1,577.2,2026-04-07T21:29:09.893Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,2,0,320,212,309,212,11.00,1,442.3,2026-04-07T21:29:11.286Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,3,0,429,406,427,410,4.47,1,629.3,2026-04-07T21:29:12.872Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,4,0,681,339,689,340,8.06,1,658.4,2026-04-07T21:29:14.485Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,5,0,64,400,59,397,5.83,1,702.1,2026-04-07T21:29:16.140Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,6,0,457,355,458,351,4.12,1,652.3,2026-04-07T21:29:17.751Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,7,0,170,376,167,382,6.71,1,668.1,2026-04-07T21:29:19.378Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,8,0,662,160,674,166,13.42,1,557.7,2026-04-07T21:29:20.890Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,9,0,190,267,193,282,15.30,1,531.7,2026-04-07T21:29:22.375Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,10,0,528,435,528,442,7.00,1,597.1,2026-04-07T21:29:23.924Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,11,0,293,211,294,226,15.03,1,625.4,2026-04-07T21:29:25.502Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,12,0,618,247,616,246,2.24,1,728.7,2026-04-07T21:29:27.183Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,13,0,577,140,585,137,8.54,1,567.0,2026-04-07T21:29:28.710Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,14,0,535,378,536,374,4.12,1,600.3,2026-04-07T21:29:30.264Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,15,0,160,242,159,246,4.12,1,598.5,2026-04-07T21:29:31.819Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,16,0,269,62,267,64,2.83,1,599.7,2026-04-07T21:29:33.370Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,17,0,78,212,76,220,8.25,1,591.2,2026-04-07T21:29:34.917Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,18,0,710,103,716,97,8.49,1,613.7,2026-04-07T21:29:36.485Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,19,0,608,127,601,116,13.04,1,613.9,2026-04-07T21:29:38.052Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,20,0,467,75,472,72,5.83,1,616.9,2026-04-07T21:29:39.621Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,21,0,461,394,453,396,8.25,1,670.4,2026-04-07T21:29:41.246Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,22,0,458,311,465,320,11.40,1,612.6,2026-04-07T21:29:42.812Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,23,0,159,448,157,453,5.39,1,743.2,2026-04-07T21:29:44.508Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,24,0,99,81,92,83,7.28,1,687.6,2026-04-07T21:29:46.147Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,25,0,75,224,80,227,5.83,1,631.2,2026-04-07T21:29:47.730Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,26,0,275,122,276,133,11.05,1,578.7,2026-04-07T21:29:49.260Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,27,0,64,281,60,291,10.77,1,576.2,2026-04-07T21:29:50.791Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,28,0,563,76,560,90,14.32,1,633.8,2026-04-07T21:29:52.376Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,29,0,289,205,287,206,2.24,1,520.6,2026-04-07T21:29:53.852Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,30,0,238,148,238,157,9.00,1,655.4,2026-04-07T21:29:55.459Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,31,0,85,148,82,147,3.16,1,629.8,2026-04-07T21:29:57.044Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,32,0,712,306,717,308,5.39,1,562.2,2026-04-07T21:29:58.566Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,33,0,636,101,637,101,1.00,1,673.1,2026-04-07T21:30:00.193Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,34,0,440,184,454,193,16.64,1,453.9,2026-04-07T21:30:01.602Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,35,0,371,150,370,143,7.07,1,557.1,2026-04-07T21:30:03.116Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,36,0,402,131,405,137,6.71,1,669.7,2026-04-07T21:30:04.739Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,37,0,531,168,527,173,6.40,1,646.7,2026-04-07T21:30:06.339Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,38,0,676,191,679,200,9.49,1,648.0,2026-04-07T21:30:07.944Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,39,0,346,194,349,197,4.24,1,573.1,2026-04-07T21:30:09.474Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,40,0,62,240,59,240,3.00,1,779.1,2026-04-07T21:30:11.210Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,41,0,548,332,553,333,5.10,1,514.1,2026-04-07T21:30:12.678Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,42,0,445,228,447,227,2.24,1,544.0,2026-04-07T21:30:14.175Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,43,0,326,64,318,62,8.25,1,586.5,2026-04-07T21:30:15.712Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,44,0,463,217,456,218,7.07,1,593.5,2026-04-07T21:30:17.258Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,45,0,297,225,291,228,6.71,1,555.7,2026-04-07T21:30:18.769Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,46,0,510,240,521,242,11.18,1,492.3,2026-04-07T21:30:20.212Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,47,0,173,308,170,303,5.83,1,585.7,2026-04-07T21:30:21.750Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,48,0,725,190,739,182,16.12,1,590.3,2026-04-07T21:30:23.293Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,49,0,307,390,297,402,15.62,1,523.2,2026-04-07T21:30:24.770Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,50,0,465,321,471,319,6.32,1,598.7,2026-04-07T21:30:26.329Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,51,0,53,430,53,436,6.00,1,628.7,2026-04-07T21:30:27.914Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,52,0,269,439,276,439,7.00,1,609.6,2026-04-07T21:30:29.479Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,53,0,198,378,193,378,5.00,1,659.5,2026-04-07T21:30:31.090Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,54,0,190,265,189,264,1.41,1,546.6,2026-04-07T21:30:32.588Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,55,0,96,54,91,63,10.30,1,647.6,2026-04-07T21:30:34.189Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,56,0,380,85,375,86,5.10,1,578.9,2026-04-07T21:30:35.722Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,57,0,699,78,700,91,13.04,1,586.9,2026-04-07T21:30:37.267Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,58,0,118,324,125,326,7.28,1,572.9,2026-04-07T21:30:38.793Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,59,0,67,183,60,190,9.90,1,636.4,2026-04-07T21:30:40.388Z
ALEX ON PC,AV,18-24,Mouse,Daily,1,auditory,60,0,82,255,88,252,6.71,1,641.0,2026-04-07T21:30:41.985Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,1,0,579,209,590,201,13.60,1,553.0,2026-04-07T21:30:54.833Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,2,0,167,141,167,140,1.00,1,587.8,2026-04-07T21:30:56.373Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,3,0,246,96,244,89,7.28,1,600.3,2026-04-07T21:30:57.924Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,4,0,95,58,90,67,10.30,1,678.3,2026-04-07T21:30:59.558Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,5,0,588,90,598,96,11.66,1,472.0,2026-04-07T21:31:00.985Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,6,0,652,368,661,370,9.22,1,584.7,2026-04-07T21:31:02.520Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,7,0,704,137,699,135,5.39,1,631.1,2026-04-07T21:31:04.105Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,8,0,303,217,301,220,3.61,1,541.0,2026-04-07T21:31:05.599Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,9,0,597,192,600,195,4.24,1,622.4,2026-04-07T21:31:07.174Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,10,0,536,134,535,134,1.00,1,608.5,2026-04-07T21:31:08.738Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,11,0,500,222,510,219,10.44,1,519.9,2026-04-07T21:31:10.216Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,12,0,500,126,502,129,3.61,1,583.5,2026-04-07T21:31:11.757Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,13,0,705,436,712,439,7.62,1,689.8,2026-04-07T21:31:13.398Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,14,0,696,415,693,420,5.83,1,793.5,2026-04-07T21:31:15.145Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,15,0,374,357,378,363,7.21,1,621.0,2026-04-07T21:31:16.717Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,16,0,269,147,274,147,5.00,1,613.9,2026-04-07T21:31:18.282Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,17,0,728,348,726,339,9.22,1,572.8,2026-04-07T21:31:19.807Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,18,0,142,201,146,199,4.47,1,676.4,2026-04-07T21:31:21.436Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,19,0,156,317,154,318,2.24,1,681.5,2026-04-07T21:31:23.069Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,20,0,688,430,687,434,4.12,1,661.9,2026-04-07T21:31:24.684Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,21,0,182,294,184,298,4.47,1,709.0,2026-04-07T21:31:26.344Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,22,0,53,87,51,84,3.61,1,743.8,2026-04-07T21:31:28.039Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,23,0,348,160,344,159,4.12,1,615.4,2026-04-07T21:31:29.606Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,24,0,123,183,117,184,6.08,1,720.0,2026-04-07T21:31:31.277Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,25,0,55,190,55,183,7.00,1,689.2,2026-04-07T21:31:32.918Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,26,0,712,155,706,166,12.53,1,644.5,2026-04-07T21:31:34.513Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,27,0,275,103,268,100,7.62,1,611.8,2026-04-07T21:31:36.076Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,28,0,603,187,607,186,4.12,1,661.2,2026-04-07T21:31:37.690Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,29,0,583,267,581,263,4.47,1,605.1,2026-04-07T21:31:39.249Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,30,0,596,219,606,223,10.77,1,603.1,2026-04-07T21:31:40.804Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,31,0,384,279,379,279,5.00,1,579.2,2026-04-07T21:31:42.335Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,32,0,591,248,586,245,5.83,1,610.1,2026-04-07T21:31:43.898Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,33,0,110,277,105,274,5.83,1,738.3,2026-04-07T21:31:45.587Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,34,0,526,65,527,60,5.10,1,632.7,2026-04-07T21:31:47.172Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,35,0,387,439,388,441,2.24,1,579.0,2026-04-07T21:31:48.703Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,36,0,602,128,598,130,4.47,1,564.3,2026-04-07T21:31:50.220Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,37,0,513,83,520,79,8.06,1,575.5,2026-04-07T21:31:51.748Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,38,0,165,423,166,422,1.41,1,689.9,2026-04-07T21:31:53.391Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,39,0,554,417,556,418,2.24,1,676.7,2026-04-07T21:31:55.020Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,40,0,279,228,276,224,5.00,1,568.7,2026-04-07T21:31:56.541Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,41,0,314,54,317,58,5.00,1,650.9,2026-04-07T21:31:58.144Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,42,0,126,266,121,273,8.60,1,622.2,2026-04-07T21:31:59.717Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,43,0,452,214,453,217,3.16,1,519.1,2026-04-07T21:32:01.188Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,44,0,217,413,212,418,7.07,1,690.2,2026-04-07T21:32:02.831Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,45,0,616,163,620,164,4.12,1,616.1,2026-04-07T21:32:04.400Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,46,0,71,61,70,65,4.12,1,671.0,2026-04-07T21:32:06.023Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,47,0,403,257,394,251,10.82,1,493.6,2026-04-07T21:32:07.467Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,48,0,126,330,113,331,13.04,1,661.2,2026-04-07T21:32:09.081Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,49,0,51,269,49,266,3.61,1,609.9,2026-04-07T21:32:10.643Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,50,0,698,288,702,287,4.12,1,637.7,2026-04-07T21:32:12.233Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,51,0,443,123,442,123,1.00,1,577.7,2026-04-07T21:32:13.762Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,52,0,347,401,348,406,5.10,1,636.2,2026-04-07T21:32:15.350Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,53,0,379,409,374,414,7.07,1,700.9,2026-04-07T21:32:17.002Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,54,0,652,217,651,225,8.06,1,568.0,2026-04-07T21:32:18.523Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,55,0,133,244,141,246,8.25,1,640.2,2026-04-07T21:32:20.115Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,56,0,726,335,725,340,5.10,1,662.1,2026-04-07T21:32:21.729Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,57,0,356,131,361,135,6.40,1,572.1,2026-04-07T21:32:23.252Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,58,0,554,74,562,87,15.26,1,623.1,2026-04-07T21:32:24.827Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,59,0,574,163,574,163,0.00,1,564.9,2026-04-07T21:32:26.343Z
ALEX ON PC,AV,18-24,Mouse,Daily,2,visual,60,0,235,338,241,340,6.32,1,675.3,2026-04-07T21:32:27.970Z
