participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Aarav,AV,18-24,Mouse,Weekly,1,auditory,1,0,644,275,627,263,20.81,1,533.0,2026-04-07T19:59:33.453Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,2,0,383,450,367,450,16.00,1,532.4,2026-04-07T19:59:34.941Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,3,0,738,433,738,398,35.00,1,449.4,2026-04-07T19:59:36.344Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,4,0,651,398,673,402,22.36,1,461.1,2026-04-07T19:59:37.757Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,5,0,127,316,161,320,34.23,1,513.5,2026-04-07T19:59:39.225Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,6,0,72,238,38,178,68.96,0,431.3,2026-04-07T19:59:40.608Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,7,0,537,148,542,154,7.81,1,467.6,2026-04-07T19:59:42.030Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,8,0,601,371,600,365,6.08,1,452.6,2026-04-07T19:59:43.437Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,9,0,249,213,230,225,22.47,1,489.6,2026-04-07T19:59:44.881Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,10,0,571,292,555,295,16.28,1,505.5,2026-04-07T19:59:46.339Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,11,0,268,347,203,371,69.29,0,452.1,2026-04-07T19:59:47.747Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,12,0,651,171,641,183,15.62,1,454.7,2026-04-07T19:59:49.156Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,13,0,80,338,103,335,23.19,1,585.0,2026-04-07T19:59:50.693Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,14,0,370,366,367,370,5.00,1,439.9,2026-04-07T19:59:52.086Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,15,0,378,436,358,430,20.88,1,454.9,2026-04-07T19:59:53.496Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,16,0,473,392,474,396,4.12,1,453.0,2026-04-07T19:59:54.902Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,17,0,183,139,173,151,15.62,1,461.5,2026-04-07T19:59:56.315Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,18,0,370,327,381,335,13.60,1,387.4,2026-04-07T19:59:57.654Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,19,0,714,291,696,290,18.03,1,470.4,2026-04-07T19:59:59.081Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,20,0,147,445,111,472,45.00,0,510.7,2026-04-07T20:00:00.545Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,21,0,242,158,237,144,14.87,1,429.0,2026-04-07T20:00:01.927Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,22,0,225,399,242,389,19.72,1,477.1,2026-04-07T20:00:03.355Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,23,0,480,112,489,132,21.93,1,443.6,2026-04-07T20:00:04.753Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,24,0,349,131,345,166,35.23,0,435.2,2026-04-07T20:00:06.141Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,25,0,484,444,510,447,26.17,1,473.7,2026-04-07T20:00:07.569Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,26,0,346,422,358,413,15.00,1,426.9,2026-04-07T20:00:08.952Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,27,0,515,269,519,261,8.94,1,403.4,2026-04-07T20:00:10.309Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,28,0,445,415,454,405,13.45,1,392.0,2026-04-07T20:00:11.658Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,29,0,174,363,182,349,16.12,1,427.2,2026-04-07T20:00:13.040Z
Aarav,AV,18-24,Mouse,Weekly,1,auditory,30,0,627,420,598,392,40.31,0,446.7,2026-04-07T20:00:14.437Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,1,0,223,315,239,330,21.93,1,388.9,2026-04-07T20:00:31.604Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,2,0,559,387,531,389,28.07,1,415.6,2026-04-07T20:00:32.972Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,3,0,136,163,158,179,27.20,1,461.8,2026-04-07T20:00:34.386Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,4,0,546,436,530,418,24.08,1,412.0,2026-04-07T20:00:35.748Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,5,0,442,51,452,62,14.87,1,413.2,2026-04-07T20:00:37.116Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,6,0,245,289,254,295,10.82,1,379.1,2026-04-07T20:00:38.449Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,7,0,682,390,687,385,7.07,1,432.3,2026-04-07T20:00:39.838Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,8,0,186,166,206,185,27.59,1,432.1,2026-04-07T20:00:41.222Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,9,0,345,286,341,290,5.66,1,353.4,2026-04-07T20:00:42.529Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,10,0,377,344,363,363,23.60,1,384.7,2026-04-07T20:00:43.866Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,11,0,108,361,145,347,39.56,0,421.1,2026-04-07T20:00:45.240Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,12,0,445,60,449,68,8.94,1,419.1,2026-04-07T20:00:46.611Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,13,0,211,376,238,386,28.79,1,386.7,2026-04-07T20:00:47.951Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,14,0,182,339,219,343,37.22,0,410.2,2026-04-07T20:00:49.312Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,15,0,131,399,156,396,25.18,1,447.3,2026-04-07T20:00:50.712Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,16,0,353,283,343,308,26.93,1,379.8,2026-04-07T20:00:52.044Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,17,0,728,119,755,117,27.07,1,466.0,2026-04-07T20:00:53.461Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,18,0,385,345,363,326,29.07,1,425.9,2026-04-07T20:00:54.840Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,19,0,93,388,120,360,38.90,0,461.5,2026-04-07T20:00:56.253Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,20,0,290,127,289,146,19.03,1,393.2,2026-04-07T20:00:57.597Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,21,0,717,163,678,172,40.02,0,475.9,2026-04-07T20:00:59.023Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,22,0,351,215,341,222,12.21,1,395.7,2026-04-07T20:01:00.370Z
Aarav,AV,18-24,Mouse,Weekly,2,visual,23,0,304,354,318,362,16.12,1,381.6,2026-04-07T20:01:01.703Z
