participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Adam,AV,18-24,Other,Daily,1,auditory,1,0,607,145,602,163,18.78,1,828.0,2026-04-07T20:30:19.395Z
Adam,AV,18-24,Other,Daily,1,auditory,2,0,602,325,609,331,9.52,1,579.0,2026-04-07T20:30:20.927Z
Adam,AV,18-24,Other,Daily,1,auditory,3,0,671,128,700,125,29.21,1,616.0,2026-04-07T20:30:22.494Z
Adam,AV,18-24,Other,Daily,1,auditory,4,0,550,419,525,400,31.68,1,698.0,2026-04-07T20:30:24.144Z
Adam,AV,18-24,Other,Daily,1,auditory,5,0,191,77,216,81,25.29,1,748.0,2026-04-07T20:30:25.845Z
Adam,AV,18-24,Other,Daily,1,auditory,6,0,313,434,339,450,29.98,1,798.0,2026-04-07T20:30:27.595Z
Adam,AV,18-24,Other,Daily,1,auditory,7,0,105,63,123,65,17.90,1,1313.0,2026-04-07T20:30:29.860Z
Adam,AV,18-24,Other,Daily,1,auditory,8,0,724,146,732,131,16.60,1,748.0,2026-04-07T20:30:31.559Z
Adam,AV,18-24,Other,Daily,1,auditory,9,0,108,428,109,443,14.76,1,798.0,2026-04-07T20:30:33.308Z
Adam,AV,18-24,Other,Daily,1,auditory,10,0,54,383,77,388,23.84,1,884.0,2026-04-07T20:30:35.144Z
Adam,AV,18-24,Other,Daily,1,auditory,11,0,339,298,343,286,12.80,1,647.0,2026-04-07T20:30:36.742Z
Adam,AV,18-24,Other,Daily,1,auditory,12,0,198,381,198,384,2.64,1,714.0,2026-04-07T20:30:38.408Z
Adam,AV,18-24,Other,Daily,1,auditory,13,0,649,364,659,354,14.15,1,747.0,2026-04-07T20:30:40.106Z
Adam,AV,18-24,Other,Daily,1,auditory,14,0,317,97,291,95,26.17,1,781.0,2026-04-07T20:30:41.839Z
Adam,AV,18-24,Other,Daily,1,auditory,15,0,730,109,736,97,13.35,1,681.0,2026-04-07T20:30:43.472Z
Adam,AV,18-24,Other,Daily,1,auditory,16,0,410,306,395,315,17.34,1,847.0,2026-04-07T20:30:45.271Z
Adam,AV,18-24,Other,Daily,1,auditory,17,0,82,365,100,343,28.64,1,831.0,2026-04-07T20:30:47.054Z
Adam,AV,18-24,Other,Daily,1,auditory,18,0,748,265,748,275,9.54,1,730.0,2026-04-07T20:30:48.736Z
Adam,AV,18-24,Other,Daily,1,auditory,19,0,192,184,207,184,14.82,1,650.0,2026-04-07T20:30:50.338Z
Adam,AV,18-24,Other,Daily,1,auditory,20,0,475,130,473,109,21.49,1,794.0,2026-04-07T20:30:52.085Z
Adam,AV,18-24,Other,Daily,1,auditory,21,0,68,193,109,184,42.15,0,1096.0,2026-04-07T20:30:54.134Z
Adam,AV,18-24,Other,Daily,1,auditory,22,0,198,70,186,70,11.64,1,964.0,2026-04-07T20:30:56.050Z
Adam,AV,18-24,Other,Daily,1,auditory,23,0,192,140,184,159,20.24,1,649.0,2026-04-07T20:30:57.650Z
Adam,AV,18-24,Other,Daily,1,auditory,24,0,478,234,461,231,16.85,1,834.0,2026-04-07T20:30:59.436Z
Adam,AV,18-24,Other,Daily,1,auditory,25,0,155,228,173,231,18.04,1,797.0,2026-04-07T20:31:01.184Z
Adam,AV,18-24,Other,Daily,1,auditory,26,0,554,139,545,136,9.09,1,763.0,2026-04-07T20:31:02.900Z
Adam,AV,18-24,Other,Daily,1,auditory,27,0,200,137,205,140,5.70,1,801.0,2026-04-07T20:31:04.653Z
Adam,AV,18-24,Other,Daily,1,auditory,28,0,133,392,125,388,8.87,1,1111.0,2026-04-07T20:31:06.715Z
Adam,AV,18-24,Other,Daily,1,auditory,29,0,115,327,134,340,23.35,1,832.0,2026-04-07T20:31:08.499Z
Adam,AV,18-24,Other,Daily,1,auditory,30,0,465,77,461,63,14.30,1,847.0,2026-04-07T20:31:10.299Z
Adam,AV,18-24,Other,Daily,2,visual,1,0,635,267,625,256,14.60,1,1081.0,2026-04-07T20:31:24.664Z
Adam,AV,18-24,Other,Daily,2,visual,2,0,644,430,666,465,41.67,0,782.0,2026-04-07T20:31:26.397Z
Adam,AV,18-24,Other,Daily,2,visual,3,0,474,64,498,52,26.67,1,829.0,2026-04-07T20:31:28.179Z
Adam,AV,18-24,Other,Daily,2,visual,4,0,246,245,232,252,15.73,1,930.0,2026-04-07T20:31:30.061Z
Adam,AV,18-24,Other,Daily,2,visual,5,0,163,218,168,213,7.08,1,880.0,2026-04-07T20:31:31.892Z
Adam,AV,18-24,Other,Daily,2,visual,6,0,231,239,232,238,1.16,1,784.0,2026-04-07T20:31:33.627Z
Adam,AV,18-24,Other,Daily,2,visual,7,0,64,301,86,281,29.77,1,1231.0,2026-04-07T20:31:35.809Z
Adam,AV,18-24,Other,Daily,2,visual,8,0,214,58,209,68,10.89,1,1014.0,2026-04-07T20:31:37.774Z
Adam,AV,18-24,Other,Daily,2,visual,9,0,629,130,620,131,8.65,1,867.0,2026-04-07T20:31:39.592Z
Adam,AV,18-24,Other,Daily,2,visual,10,0,247,74,241,86,13.37,1,862.0,2026-04-07T20:31:41.407Z
Adam,AV,18-24,Other,Daily,2,visual,11,0,119,317,114,325,9.25,1,1013.0,2026-04-07T20:31:43.372Z
Adam,AV,18-24,Other,Daily,2,visual,12,0,379,69,377,47,21.80,1,965.0,2026-04-07T20:31:45.288Z
Adam,AV,18-24,Other,Daily,2,visual,13,0,532,204,505,209,27.84,1,917.0,2026-04-07T20:31:47.156Z
