participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Alex,VA,18-24,Other,Weekly,1,visual,1,0,372,373,349,369,23.06,1,627.0,2026-04-07T20:32:44.482Z
Alex,VA,18-24,Other,Weekly,1,visual,2,0,744,155,735,155,9.35,1,598.0,2026-04-07T20:32:46.032Z
Alex,VA,18-24,Other,Weekly,1,visual,3,0,457,198,462,182,16.82,1,1229.0,2026-04-07T20:32:48.213Z
Alex,VA,18-24,Other,Weekly,1,visual,4,0,222,273,205,272,16.95,1,1430.0,2026-04-07T20:32:50.594Z
Alex,VA,18-24,Other,Weekly,1,visual,5,0,380,260,370,243,20.13,1,874.0,2026-04-07T20:32:52.421Z
Alex,VA,18-24,Other,Weekly,1,visual,6,0,396,90,412,74,23.07,1,764.0,2026-04-07T20:32:54.136Z
Alex,VA,18-24,Other,Weekly,1,visual,7,0,694,299,701,299,6.85,1,675.0,2026-04-07T20:32:55.764Z
Alex,VA,18-24,Other,Weekly,1,visual,8,0,171,443,151,443,20.02,1,713.0,2026-04-07T20:32:57.429Z
Alex,VA,18-24,Other,Weekly,1,visual,9,0,429,225,451,245,29.54,1,842.0,2026-04-07T20:32:59.223Z
Alex,VA,18-24,Other,Weekly,1,visual,10,0,83,324,68,322,15.57,1,784.0,2026-04-07T20:33:00.957Z
Alex,VA,18-24,Other,Weekly,1,visual,11,0,475,386,453,405,29.12,1,763.0,2026-04-07T20:33:02.672Z
Alex,VA,18-24,Other,Weekly,1,visual,12,0,543,369,539,364,6.32,1,758.0,2026-04-07T20:33:04.383Z
Alex,VA,18-24,Other,Weekly,1,visual,13,0,243,387,246,380,7.25,1,716.0,2026-04-07T20:33:06.049Z
Alex,VA,18-24,Other,Weekly,1,visual,14,0,665,291,665,290,0.92,1,694.0,2026-04-07T20:33:07.696Z
Alex,VA,18-24,Other,Weekly,1,visual,15,0,201,353,196,342,12.12,1,696.0,2026-04-07T20:33:09.343Z
Alex,VA,18-24,Other,Weekly,1,visual,16,0,138,194,128,193,9.58,1,733.0,2026-04-07T20:33:11.027Z
Alex,VA,18-24,Other,Weekly,1,visual,17,0,388,102,379,99,10.02,1,808.0,2026-04-07T20:33:12.788Z
Alex,VA,18-24,Other,Weekly,1,visual,18,0,551,126,563,112,18.63,1,746.0,2026-04-07T20:33:14.486Z
Alex,VA,18-24,Other,Weekly,1,visual,19,0,346,98,347,101,3.00,1,581.0,2026-04-07T20:33:16.018Z
Alex,VA,18-24,Other,Weekly,1,visual,20,0,522,256,516,263,9.23,1,615.0,2026-04-07T20:33:17.584Z
Alex,VA,18-24,Other,Weekly,1,visual,21,0,115,209,99,204,16.48,1,711.0,2026-04-07T20:33:19.246Z
Alex,VA,18-24,Other,Weekly,1,visual,22,0,536,130,541,123,8.23,1,697.0,2026-04-07T20:33:20.895Z
Alex,VA,18-24,Other,Weekly,1,visual,23,0,425,292,412,315,26.14,1,657.0,2026-04-07T20:33:22.505Z
Alex,VA,18-24,Other,Weekly,1,visual,24,0,244,340,241,324,16.35,1,647.0,2026-04-07T20:33:24.104Z
Alex,VA,18-24,Other,Weekly,1,visual,25,0,437,329,448,319,14.94,1,580.0,2026-04-07T20:33:25.635Z
Alex,VA,18-24,Other,Weekly,1,visual,26,0,691,81,692,81,0.96,1,845.0,2026-04-07T20:33:27.431Z
Alex,VA,18-24,Other,Weekly,1,visual,27,0,362,221,372,204,19.23,1,763.0,2026-04-07T20:33:29.145Z
Alex,VA,18-24,Other,Weekly,1,visual,28,0,51,248,34,254,18.23,1,810.0,2026-04-07T20:33:30.908Z
Alex,VA,18-24,Other,Weekly,1,visual,29,0,367,369,372,371,5.32,1,680.0,2026-04-07T20:33:32.540Z
Alex,VA,18-24,Other,Weekly,1,visual,30,0,395,386,392,383,4.54,1,664.0,2026-04-07T20:33:34.159Z
Alex,VA,18-24,Other,Weekly,2,auditory,1,0,448,132,442,114,18.76,1,812.0,2026-04-07T20:33:53.173Z
Alex,VA,18-24,Other,Weekly,2,auditory,2,0,163,360,176,373,18.58,1,682.0,2026-04-07T20:33:54.806Z
Alex,VA,18-24,Other,Weekly,2,auditory,3,0,137,403,142,376,27.71,1,1408.0,2026-04-07T20:33:57.167Z
Alex,VA,18-24,Other,Weekly,2,auditory,4,0,635,438,633,464,25.69,1,751.0,2026-04-07T20:33:58.869Z
Alex,VA,18-24,Other,Weekly,2,auditory,5,0,237,319,243,310,10.72,1,707.0,2026-04-07T20:34:00.529Z
Alex,VA,18-24,Other,Weekly,2,auditory,6,0,249,296,239,299,10.60,1,762.0,2026-04-07T20:34:02.243Z
Alex,VA,18-24,Other,Weekly,2,auditory,7,0,637,241,638,252,10.82,1,763.0,2026-04-07T20:34:03.957Z
Alex,VA,18-24,Other,Weekly,2,auditory,8,0,208,432,210,439,7.02,1,795.0,2026-04-07T20:34:05.704Z
Alex,VA,18-24,Other,Weekly,2,auditory,9,0,443,435,446,425,10.20,1,679.0,2026-04-07T20:34:07.334Z
Alex,VA,18-24,Other,Weekly,2,auditory,10,0,687,275,703,279,16.55,1,730.0,2026-04-07T20:34:09.016Z
Alex,VA,18-24,Other,Weekly,2,auditory,11,0,734,315,744,306,13.29,1,829.0,2026-04-07T20:34:10.797Z
Alex,VA,18-24,Other,Weekly,2,auditory,12,0,170,363,169,364,1.77,1,713.0,2026-04-07T20:34:12.462Z
Alex,VA,18-24,Other,Weekly,2,auditory,13,0,78,110,79,112,2.25,1,913.0,2026-04-07T20:34:14.326Z
Alex,VA,18-24,Other,Weekly,2,auditory,14,0,420,386,430,380,11.91,1,681.0,2026-04-07T20:34:15.959Z
Alex,VA,18-24,Other,Weekly,2,auditory,15,0,515,344,525,337,12.02,1,608.0,2026-04-07T20:34:17.520Z
Alex,VA,18-24,Other,Weekly,2,auditory,16,0,690,227,701,213,17.33,1,745.0,2026-04-07T20:34:19.217Z
Alex,VA,18-24,Other,Weekly,2,auditory,17,0,446,289,455,297,12.11,1,530.0,2026-04-07T20:34:20.699Z
Alex,VA,18-24,Other,Weekly,2,auditory,18,0,699,57,685,67,17.15,1,715.0,2026-04-07T20:34:22.366Z
Alex,VA,18-24,Other,Weekly,2,auditory,19,0,698,139,696,130,9.05,1,743.0,2026-04-07T20:34:24.061Z
Alex,VA,18-24,Other,Weekly,2,auditory,20,0,742,404,750,394,13.25,1,912.0,2026-04-07T20:34:25.924Z
Alex,VA,18-24,Other,Weekly,2,auditory,21,0,467,423,480,430,14.68,1,680.0,2026-04-07T20:34:27.556Z
Alex,VA,18-24,Other,Weekly,2,auditory,22,0,167,389,162,380,9.96,1,694.0,2026-04-07T20:34:29.203Z
Alex,VA,18-24,Other,Weekly,2,auditory,23,0,198,384,201,367,17.46,1,763.0,2026-04-07T20:34:30.917Z
Alex,VA,18-24,Other,Weekly,2,auditory,24,0,394,415,399,419,6.03,1,611.0,2026-04-07T20:34:32.481Z
Alex,VA,18-24,Other,Weekly,2,auditory,25,0,573,84,570,81,4.50,1,1460.0,2026-04-07T20:34:34.893Z
Alex,VA,18-24,Other,Weekly,2,auditory,26,0,562,149,570,135,16.53,1,713.0,2026-04-07T20:34:36.558Z
Alex,VA,18-24,Other,Weekly,2,auditory,27,0,685,67,678,58,11.22,1,830.0,2026-04-07T20:34:38.340Z
Alex,VA,18-24,Other,Weekly,2,auditory,28,0,487,367,489,364,3.23,1,662.0,2026-04-07T20:34:39.953Z
Alex,VA,18-24,Other,Weekly,2,auditory,29,0,107,424,119,421,12.84,1,763.0,2026-04-07T20:34:41.668Z
Alex,VA,18-24,Other,Weekly,2,auditory,30,0,514,232,518,245,13.73,1,559.0,2026-04-07T20:34:43.178Z
