participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Andrew,AV,18-24,Other,Weekly,1,auditory,1,0,322,182,346,209,36.44,0,530.0,2026-04-07T22:01:36.987Z
Andrew,AV,18-24,Other,Weekly,1,auditory,2,0,224,80,222,80,2.36,1,1798.0,2026-04-07T22:01:39.738Z
Andrew,AV,18-24,Other,Weekly,1,auditory,3,0,264,284,245,302,25.81,1,585.0,2026-04-07T22:01:41.274Z
Andrew,AV,18-24,Other,Weekly,1,auditory,4,0,651,446,665,422,27.35,1,745.0,2026-04-07T22:01:42.971Z
Andrew,AV,18-24,Other,Weekly,1,auditory,5,0,738,170,725,191,24.42,1,586.0,2026-04-07T22:01:44.507Z
Andrew,AV,18-24,Other,Weekly,1,auditory,6,0,464,241,456,254,15.80,1,533.0,2026-04-07T22:01:45.991Z
Andrew,AV,18-24,Other,Weekly,1,auditory,7,0,126,161,144,160,18.38,1,532.0,2026-04-07T22:01:47.474Z
Andrew,AV,18-24,Other,Weekly,1,auditory,8,0,723,401,732,391,13.79,1,566.0,2026-04-07T22:01:48.991Z
Andrew,AV,18-24,Other,Weekly,1,auditory,9,0,719,429,721,429,1.65,1,532.0,2026-04-07T22:01:50.475Z
Andrew,AV,18-24,Other,Weekly,1,auditory,10,0,555,372,526,380,30.36,1,497.0,2026-04-07T22:01:51.924Z
Andrew,AV,18-24,Other,Weekly,1,auditory,11,0,580,380,562,383,18.44,1,517.0,2026-04-07T22:01:53.392Z
Andrew,AV,18-24,Other,Weekly,1,auditory,12,0,592,336,564,343,28.96,1,482.0,2026-04-07T22:01:54.826Z
Andrew,AV,18-24,Other,Weekly,1,auditory,13,0,537,87,544,95,10.58,1,831.0,2026-04-07T22:01:56.608Z
Andrew,AV,18-24,Other,Weekly,1,auditory,14,0,661,216,654,216,7.40,1,568.0,2026-04-07T22:01:58.127Z
Andrew,AV,18-24,Other,Weekly,1,auditory,15,0,275,434,282,425,12.06,1,631.0,2026-04-07T22:01:59.710Z
Andrew,AV,18-24,Other,Weekly,1,auditory,16,0,575,160,578,161,3.41,1,549.0,2026-04-07T22:02:01.210Z
Andrew,AV,18-24,Other,Weekly,1,auditory,17,0,335,240,313,239,21.62,1,566.0,2026-04-07T22:02:02.728Z
Andrew,AV,18-24,Other,Weekly,1,auditory,18,0,418,125,426,141,17.81,1,581.0,2026-04-07T22:02:04.261Z
Andrew,AV,18-24,Other,Weekly,1,auditory,19,0,210,221,211,207,14.06,1,581.0,2026-04-07T22:02:05.793Z
Andrew,AV,18-24,Other,Weekly,1,auditory,20,0,525,297,542,299,17.36,1,534.0,2026-04-07T22:02:07.278Z
Andrew,AV,18-24,Other,Weekly,1,auditory,21,0,731,201,744,197,14.01,1,599.0,2026-04-07T22:02:08.829Z
Andrew,AV,18-24,Other,Weekly,1,auditory,22,0,346,120,328,140,27.02,1,598.0,2026-04-07T22:02:10.379Z
Andrew,AV,18-24,Other,Weekly,1,auditory,23,0,741,95,736,102,8.43,1,583.0,2026-04-07T22:02:11.913Z
Andrew,AV,18-24,Other,Weekly,1,auditory,24,0,378,265,388,282,19.77,1,580.0,2026-04-07T22:02:13.445Z
Andrew,AV,18-24,Other,Weekly,1,auditory,25,0,386,93,405,118,31.77,1,550.0,2026-04-07T22:02:14.946Z
Andrew,AV,18-24,Other,Weekly,1,auditory,26,0,81,439,64,409,34.46,1,584.0,2026-04-07T22:02:16.480Z
Andrew,AV,18-24,Other,Weekly,1,auditory,27,0,289,264,292,263,3.05,1,630.0,2026-04-07T22:02:18.062Z
Andrew,AV,18-24,Other,Weekly,1,auditory,28,0,114,124,111,109,15.17,1,550.0,2026-04-07T22:02:19.564Z
Andrew,AV,18-24,Other,Weekly,1,auditory,29,0,483,411,487,412,3.78,1,532.0,2026-04-07T22:02:21.046Z
Andrew,AV,18-24,Other,Weekly,1,auditory,30,0,722,271,712,278,11.99,1,584.0,2026-04-07T22:02:22.582Z
Andrew,AV,18-24,Other,Weekly,1,auditory,31,0,695,316,705,319,10.70,1,566.0,2026-04-07T22:02:24.100Z
Andrew,AV,18-24,Other,Weekly,1,auditory,32,0,265,132,263,131,2.47,1,597.0,2026-04-07T22:02:25.649Z
Andrew,AV,18-24,Other,Weekly,1,auditory,33,0,567,79,564,89,10.93,1,633.0,2026-04-07T22:02:27.233Z
Andrew,AV,18-24,Other,Weekly,1,auditory,34,0,202,61,216,87,30.13,1,597.0,2026-04-07T22:02:28.781Z
Andrew,AV,18-24,Other,Weekly,1,auditory,35,0,390,285,394,303,18.29,1,565.0,2026-04-07T22:02:30.298Z
Andrew,AV,18-24,Other,Weekly,1,auditory,36,0,197,302,215,302,18.46,1,568.0,2026-04-07T22:02:31.818Z
Andrew,AV,18-24,Other,Weekly,1,auditory,37,0,356,54,353,60,6.55,1,2440.0,2026-04-07T22:02:35.210Z
Andrew,AV,18-24,Other,Weekly,1,auditory,38,0,53,341,73,333,21.80,1,580.0,2026-04-07T22:02:36.741Z
Andrew,AV,18-24,Other,Weekly,1,auditory,39,0,705,188,695,185,10.49,1,533.0,2026-04-07T22:02:38.225Z
Andrew,AV,18-24,Other,Weekly,1,auditory,40,0,389,137,395,141,7.10,1,1394.0,2026-04-07T22:02:40.571Z
