participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,1,0,674,93,684,101,12.56,1,580.0,2026-04-07T19:48:09.117Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,2,0,499,369,510,343,28.23,1,616.0,2026-04-07T19:48:10.684Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,3,0,415,313,409,299,15.31,1,565.0,2026-04-07T19:48:12.200Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,4,0,548,279,576,235,51.83,0,499.0,2026-04-07T19:48:13.650Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,5,0,366,181,380,183,14.30,1,566.0,2026-04-07T19:48:15.168Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,6,0,698,387,714,409,27.29,1,549.0,2026-04-07T19:48:16.669Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,7,0,604,151,622,150,18.04,1,631.0,2026-04-07T19:48:18.252Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,8,0,118,441,112,451,11.32,1,632.0,2026-04-07T19:48:19.836Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,9,0,238,153,231,145,10.67,1,632.0,2026-04-07T19:48:21.420Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,10,0,606,246,591,264,23.17,1,649.0,2026-04-07T19:48:23.020Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,11,0,542,296,545,350,53.64,0,548.0,2026-04-07T19:48:24.520Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,12,0,280,50,270,57,12.08,1,666.0,2026-04-07T19:48:26.137Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,13,0,64,91,57,90,6.90,1,615.0,2026-04-07T19:48:27.703Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,14,0,218,449,218,455,6.06,1,549.0,2026-04-07T19:48:29.203Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,15,0,365,94,371,125,32.03,1,666.0,2026-04-07T19:48:30.821Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,16,0,297,164,288,150,17.07,1,920.0,2026-04-07T19:48:32.693Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,17,0,409,409,402,407,7.18,1,553.0,2026-04-07T19:48:34.205Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,18,0,675,330,686,303,28.68,1,551.0,2026-04-07T19:48:35.708Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,19,0,56,264,31,273,26.67,1,578.0,2026-04-07T19:48:37.238Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,20,0,579,359,589,378,21.59,1,533.0,2026-04-07T19:48:38.722Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,21,0,607,244,640,257,35.15,0,534.0,2026-04-07T19:48:40.207Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,22,0,505,137,479,130,26.87,1,548.0,2026-04-07T19:48:41.705Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,23,0,187,174,187,172,2.48,1,567.0,2026-04-07T19:48:43.224Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,24,0,214,411,204,398,16.24,1,533.0,2026-04-07T19:48:44.709Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,25,0,527,445,501,413,40.94,0,547.0,2026-04-07T19:48:46.207Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,26,0,225,274,191,275,33.80,1,515.0,2026-04-07T19:48:47.674Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,27,0,748,226,749,202,23.74,1,582.0,2026-04-07T19:48:49.207Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,28,0,309,115,301,108,10.69,1,1248.0,2026-04-07T19:48:51.407Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,29,0,550,353,543,328,26.41,1,533.0,2026-04-07T19:48:52.892Z
Ashna Patel,AV,18-24,Other,Rarely,1,auditory,30,0,208,412,211,407,6.09,1,533.0,2026-04-07T19:48:54.377Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,1,0,166,310,154,290,23.22,1,617.0,2026-04-07T19:49:12.649Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,2,0,79,372,99,367,20.49,1,563.0,2026-04-07T19:49:14.164Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,3,0,586,302,604,288,23.11,1,498.0,2026-04-07T19:49:15.614Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,4,0,381,395,371,396,9.60,1,564.0,2026-04-07T19:49:17.130Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,5,0,228,155,229,156,1.28,1,1054.0,2026-04-07T19:49:19.135Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,6,0,88,69,103,95,29.83,1,592.0,2026-04-07T19:49:20.679Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,7,0,686,302,705,295,20.85,1,483.0,2026-04-07T19:49:22.113Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,8,0,661,369,695,330,51.59,0,467.0,2026-04-07T19:49:23.532Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,9,0,300,118,297,114,4.89,1,618.0,2026-04-07T19:49:25.101Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,10,0,223,200,196,200,27.40,1,578.0,2026-04-07T19:49:26.632Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,11,0,524,249,499,262,28.10,1,531.0,2026-04-07T19:49:28.115Z
Ashna Patel,AV,18-24,Other,Rarely,2,visual,12,0,548,156,527,178,30.18,1,516.0,2026-04-07T19:49:29.582Z
