participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Ben Dover,VA,18-24,Other,Weekly,1,visual,1,0,694,129,699,117,12.55,1,913.0,2026-04-07T19:13:52.400Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,2,0,104,96,103,103,7.38,1,966.0,2026-04-07T19:13:54.318Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,3,0,612,217,621,221,9.66,1,531.0,2026-04-07T19:13:55.800Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,4,0,543,270,535,273,8.08,1,600.0,2026-04-07T19:13:57.351Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,5,0,645,365,643,366,2.45,1,598.0,2026-04-07T19:13:58.900Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,6,0,681,196,693,197,11.57,1,649.0,2026-04-07T19:14:00.500Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,7,0,569,239,597,237,28.11,1,500.0,2026-04-07T19:14:01.951Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,8,0,563,196,563,187,9.06,1,482.0,2026-04-07T19:14:03.384Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,9,0,89,73,94,52,21.86,1,817.0,2026-04-07T19:14:05.152Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,10,0,655,91,657,105,14.45,1,564.0,2026-04-07T19:14:06.667Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,11,0,476,285,478,273,12.59,1,599.0,2026-04-07T19:14:08.217Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,12,0,187,91,179,117,27.45,1,767.0,2026-04-07T19:14:09.935Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,13,0,94,309,86,308,8.45,1,932.0,2026-04-07T19:14:11.819Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,14,0,157,164,147,155,13.19,1,782.0,2026-04-07T19:14:13.552Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,15,0,569,114,581,121,14.11,1,497.0,2026-04-07T19:14:15.000Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,16,0,109,176,94,149,31.00,1,534.0,2026-04-07T19:14:16.486Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,17,0,344,442,342,414,28.25,1,663.0,2026-04-07T19:14:18.100Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,18,0,475,226,486,223,11.06,1,600.0,2026-04-07T19:14:19.652Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,19,0,184,407,173,398,14.18,1,566.0,2026-04-07T19:14:21.169Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,20,0,313,92,340,77,30.92,1,580.0,2026-04-07T19:14:22.700Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,21,0,83,286,70,304,22.69,1,517.0,2026-04-07T19:14:24.169Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,22,0,402,442,404,442,2.01,1,517.0,2026-04-07T19:14:25.637Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,23,0,194,314,185,314,8.93,1,552.0,2026-04-07T19:14:27.139Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,24,0,367,334,400,316,37.45,0,517.0,2026-04-07T19:14:28.608Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,25,0,693,243,693,251,7.64,1,530.0,2026-04-07T19:14:30.090Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,26,0,312,136,304,123,14.80,1,566.0,2026-04-07T19:14:31.606Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,27,0,141,214,139,241,26.73,1,484.0,2026-04-07T19:14:33.041Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,28,0,453,179,470,169,19.41,1,497.0,2026-04-07T19:14:34.490Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,29,0,734,409,778,426,47.18,0,499.0,2026-04-07T19:14:35.940Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,30,0,707,329,712,336,9.02,1,530.0,2026-04-07T19:14:37.423Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,31,0,205,341,151,340,53.76,0,534.0,2026-04-07T19:14:38.908Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,32,0,470,295,484,282,18.48,1,498.0,2026-04-07T19:14:40.359Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,33,0,118,206,123,191,16.01,1,548.0,2026-04-07T19:14:41.858Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,34,0,410,407,414,386,21.42,1,566.0,2026-04-07T19:14:43.375Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,35,0,563,279,561,282,3.91,1,647.0,2026-04-07T19:14:44.973Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,36,0,173,407,173,374,33.00,1,635.0,2026-04-07T19:14:46.559Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,37,0,296,156,304,145,13.77,1,714.0,2026-04-07T19:14:48.224Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,38,0,655,336,661,334,5.97,1,667.0,2026-04-07T19:14:49.842Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,39,0,465,83,454,85,11.53,1,663.0,2026-04-07T19:14:51.457Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,40,0,421,150,426,147,5.65,1,549.0,2026-04-07T19:14:52.957Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,41,0,364,296,374,284,15.36,1,553.0,2026-04-07T19:14:54.460Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,42,0,314,310,324,306,11.00,1,497.0,2026-04-07T19:14:55.908Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,43,0,598,218,609,221,11.30,1,549.0,2026-04-07T19:14:57.408Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,44,0,580,126,593,115,16.87,1,715.0,2026-04-07T19:14:59.074Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,45,0,552,331,569,314,23.94,1,502.0,2026-04-07T19:15:00.527Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,46,0,578,272,581,269,4.65,1,447.0,2026-04-07T19:15:01.925Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,47,0,567,404,591,398,24.81,1,534.0,2026-04-07T19:15:03.410Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,48,0,619,417,627,392,26.29,1,546.0,2026-04-07T19:15:04.909Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,49,0,412,401,394,392,20.14,1,598.0,2026-04-07T19:15:06.459Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,50,0,179,264,187,280,18.34,1,667.0,2026-04-07T19:15:08.077Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,51,0,55,192,62,159,33.59,1,614.0,2026-04-07T19:15:09.643Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,52,0,483,221,492,225,9.33,1,583.0,2026-04-07T19:15:11.177Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,53,0,353,331,352,316,14.73,1,537.0,2026-04-07T19:15:12.665Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,54,0,673,230,695,219,24.28,1,632.0,2026-04-07T19:15:14.248Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,55,0,378,214,372,231,17.72,1,680.0,2026-04-07T19:15:15.880Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,56,0,125,52,135,48,11.21,1,1183.0,2026-04-07T19:15:18.014Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,57,0,244,184,253,159,26.41,1,700.0,2026-04-07T19:15:19.665Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,58,0,168,256,171,241,15.65,1,649.0,2026-04-07T19:15:21.266Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,59,0,644,113,637,121,10.95,1,697.0,2026-04-07T19:15:22.914Z
Ben Dover,VA,18-24,Other,Weekly,1,visual,60,0,252,369,263,354,18.33,1,668.0,2026-04-07T19:15:24.533Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,1,0,176,256,173,247,9.79,1,565.0,2026-04-07T19:15:39.599Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,2,0,106,75,96,89,17.83,1,550.0,2026-04-07T19:15:41.099Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,3,0,670,415,677,412,7.34,1,581.0,2026-04-07T19:15:42.632Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,4,0,527,282,511,273,18.22,1,517.0,2026-04-07T19:15:44.100Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,5,0,145,432,155,418,17.51,1,650.0,2026-04-07T19:15:45.701Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,6,0,733,347,756,338,24.84,1,546.0,2026-04-07T19:15:47.199Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,7,0,660,99,653,121,23.42,1,551.0,2026-04-07T19:15:48.700Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,8,0,584,151,591,155,8.15,1,481.0,2026-04-07T19:15:50.133Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,9,0,530,315,579,294,53.25,0,449.0,2026-04-07T19:15:51.533Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,10,0,121,420,103,406,22.52,1,583.0,2026-04-07T19:15:53.068Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,11,0,563,433,537,442,27.11,1,580.0,2026-04-07T19:15:54.600Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,12,0,330,85,322,68,19.05,1,666.0,2026-04-07T19:15:56.217Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,13,0,741,297,764,290,24.09,1,550.0,2026-04-07T19:15:57.717Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,14,0,626,243,641,251,16.64,1,499.0,2026-04-07T19:15:59.167Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,15,0,156,384,147,376,11.85,1,666.0,2026-04-07T19:16:00.785Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,16,0,536,271,565,267,29.51,1,464.0,2026-04-07T19:16:02.201Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,17,0,687,318,689,318,1.58,1,533.0,2026-04-07T19:16:03.685Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,18,0,577,278,609,280,32.05,1,532.0,2026-04-07T19:16:05.168Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,19,0,539,327,557,308,26.08,1,482.0,2026-04-07T19:16:06.602Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,20,0,556,269,539,267,16.88,1,516.0,2026-04-07T19:16:08.068Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,21,0,732,189,738,199,11.72,1,616.0,2026-04-07T19:16:09.635Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,22,0,282,378,271,356,24.67,1,583.0,2026-04-07T19:16:11.169Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,23,0,514,250,523,255,10.45,1,515.0,2026-04-07T19:16:12.635Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,24,0,50,412,42,390,23.55,1,600.0,2026-04-07T19:16:14.186Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,25,0,90,362,66,354,25.58,1,531.0,2026-04-07T19:16:15.669Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,26,0,201,446,183,418,33.42,1,584.0,2026-04-07T19:16:17.204Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,27,0,547,193,539,195,7.93,1,580.0,2026-04-07T19:16:18.736Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,28,0,396,208,384,209,11.95,1,532.0,2026-04-07T19:16:20.219Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,29,0,270,189,279,197,11.68,1,634.0,2026-04-07T19:16:21.803Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,30,0,260,234,211,265,57.79,0,666.0,2026-04-07T19:16:23.420Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,31,0,211,138,193,105,37.27,0,1581.0,2026-04-07T19:16:25.953Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,32,0,573,374,579,364,11.67,1,549.0,2026-04-07T19:16:27.453Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,33,0,474,382,462,384,12.46,1,584.0,2026-04-07T19:16:28.987Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,34,0,218,384,213,376,9.47,1,583.0,2026-04-07T19:16:30.521Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,35,0,454,191,434,191,20.17,1,564.0,2026-04-07T19:16:32.038Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,36,0,89,218,96,219,6.57,1,667.0,2026-04-07T19:16:33.655Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,37,0,529,198,529,211,12.83,1,597.0,2026-04-07T19:16:35.204Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,38,0,410,130,410,129,0.77,1,631.0,2026-04-07T19:16:36.787Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,39,0,696,114,702,121,9.74,1,599.0,2026-04-07T19:16:38.338Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,40,0,725,404,704,388,26.06,1,598.0,2026-04-07T19:16:39.888Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,41,0,217,137,205,123,18.26,1,816.0,2026-04-07T19:16:41.655Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,42,0,433,385,438,380,6.96,1,649.0,2026-04-07T19:16:43.255Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,43,0,154,224,159,213,12.34,1,633.0,2026-04-07T19:16:44.839Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,44,0,684,73,687,64,9.79,1,715.0,2026-04-07T19:16:46.505Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,45,0,600,427,605,434,8.35,1,699.0,2026-04-07T19:16:48.156Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,46,0,337,410,334,404,6.70,1,683.0,2026-04-07T19:16:49.790Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,47,0,540,389,553,388,13.28,1,514.0,2026-04-07T19:16:51.255Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,48,0,724,394,724,398,3.90,1,617.0,2026-04-07T19:16:52.823Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,49,0,359,143,360,139,4.00,1,698.0,2026-04-07T19:16:54.472Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,50,0,564,232,573,237,10.27,1,599.0,2026-04-07T19:16:56.022Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,51,0,615,428,613,422,6.57,1,549.0,2026-04-07T19:16:57.523Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,52,0,391,104,392,101,2.83,1,600.0,2026-04-07T19:16:59.073Z
Ben Dover,VA,18-24,Other,Weekly,2,auditory,53,0,277,283,283,282,5.61,1,648.0,2026-04-07T19:17:00.672Z
