participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Charles,VA,18-24,Trackpad,Daily,1,visual,1,0,548,377,535,379,13.15,1,711.9,2026-04-07T19:00:54.273Z
Charles,VA,18-24,Trackpad,Daily,1,visual,2,0,438,124,435,113,11.40,1,663.4,2026-04-07T19:00:55.893Z
Charles,VA,18-24,Trackpad,Daily,1,visual,3,0,461,336,452,317,21.02,1,640.4,2026-04-07T19:00:57.493Z
Charles,VA,18-24,Trackpad,Daily,1,visual,4,0,746,290,750,282,8.94,1,793.7,2026-04-07T19:00:59.238Z
Charles,VA,18-24,Trackpad,Daily,1,visual,5,0,559,250,556,267,17.26,1,523.1,2026-04-07T19:01:00.718Z
Charles,VA,18-24,Trackpad,Daily,1,visual,6,0,398,338,378,323,25.00,1,562.6,2026-04-07T19:01:02.233Z
Charles,VA,18-24,Trackpad,Daily,1,visual,7,0,522,235,548,202,42.01,0,539.3,2026-04-07T19:01:03.734Z
Charles,VA,18-24,Trackpad,Daily,1,visual,8,0,261,330,274,333,13.34,1,786.9,2026-04-07T19:01:05.473Z
Charles,VA,18-24,Trackpad,Daily,1,visual,9,0,509,416,534,420,25.32,1,772.5,2026-04-07T19:01:07.198Z
Charles,VA,18-24,Trackpad,Daily,1,visual,10,0,456,50,458,67,17.12,1,817.5,2026-04-07T19:01:08.971Z
Charles,VA,18-24,Trackpad,Daily,1,visual,11,0,648,428,640,410,19.70,1,859.1,2026-04-07T19:01:10.787Z
Charles,VA,18-24,Trackpad,Daily,1,visual,12,0,745,375,747,382,7.28,1,677.8,2026-04-07T19:01:12.421Z
Charles,VA,18-24,Trackpad,Daily,1,visual,13,0,53,433,51,425,8.25,1,817.9,2026-04-07T19:01:14.196Z
Charles,VA,18-24,Trackpad,Daily,1,visual,14,0,433,112,421,114,12.17,1,740.5,2026-04-07T19:01:15.892Z
Charles,VA,18-24,Trackpad,Daily,1,visual,15,0,412,373,412,405,32.00,1,563.1,2026-04-07T19:01:17.408Z
Charles,VA,18-24,Trackpad,Daily,1,visual,16,0,221,136,216,153,17.72,1,749.0,2026-04-07T19:01:19.119Z
Charles,VA,18-24,Trackpad,Daily,1,visual,17,0,622,307,621,299,8.06,1,730.8,2026-04-07T19:01:20.809Z
Charles,VA,18-24,Trackpad,Daily,1,visual,18,0,181,403,183,396,7.28,1,786.6,2026-04-07T19:01:22.548Z
Charles,VA,18-24,Trackpad,Daily,1,visual,19,0,326,360,328,357,3.61,1,792.6,2026-04-07T19:01:24.294Z
Charles,VA,18-24,Trackpad,Daily,1,visual,20,0,519,259,523,268,9.85,1,684.6,2026-04-07T19:01:25.935Z
Charles,VA,18-24,Trackpad,Daily,1,visual,21,0,619,383,637,386,18.25,1,894.9,2026-04-07T19:01:27.786Z
Charles,VA,18-24,Trackpad,Daily,1,visual,22,0,81,278,86,272,7.81,1,717.2,2026-04-07T19:01:29.462Z
Charles,VA,18-24,Trackpad,Daily,1,visual,23,0,299,201,282,209,18.79,1,816.8,2026-04-07T19:01:31.236Z
Charles,VA,18-24,Trackpad,Daily,1,visual,24,0,524,430,523,417,13.04,1,768.2,2026-04-07T19:01:32.971Z
Charles,VA,18-24,Trackpad,Daily,1,visual,25,0,510,436,521,453,20.25,1,877.0,2026-04-07T19:01:34.805Z
Charles,VA,18-24,Trackpad,Daily,1,visual,26,0,631,387,616,393,16.16,1,678.9,2026-04-07T19:01:36.440Z
Charles,VA,18-24,Trackpad,Daily,1,visual,27,0,509,92,525,88,16.49,1,1007.5,2026-04-07T19:01:38.402Z
Charles,VA,18-24,Trackpad,Daily,1,visual,28,0,555,110,555,134,24.00,1,676.5,2026-04-07T19:01:40.029Z
Charles,VA,18-24,Trackpad,Daily,1,visual,29,0,226,197,244,193,18.44,1,744.9,2026-04-07T19:01:41.734Z
Charles,VA,18-24,Trackpad,Daily,1,visual,30,0,542,358,562,360,20.10,1,638.6,2026-04-07T19:01:43.333Z
