participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Christina,VA,18-24,Trackpad,Rarely,1,visual,1,0,504,61,513,80,21.02,1,679.5,2026-04-07T19:09:53.328Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,2,0,723,135,724,144,9.06,1,729.5,2026-04-07T19:09:55.010Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,3,0,621,151,631,162,14.87,1,547.2,2026-04-07T19:09:56.510Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,4,0,692,393,696,402,9.85,1,1012.9,2026-04-07T19:09:58.477Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,5,0,593,337,595,330,7.28,1,829.2,2026-04-07T19:10:00.260Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,6,0,166,132,163,110,22.20,1,881.3,2026-04-07T19:10:02.093Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,7,0,434,421,426,438,18.79,1,714.6,2026-04-07T19:10:03.760Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,8,0,66,374,67,378,4.12,1,880.4,2026-04-07T19:10:05.593Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,9,0,491,370,489,371,2.24,1,847.8,2026-04-07T19:10:07.395Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,10,0,141,350,135,413,63.29,0,794.9,2026-04-07T19:10:09.143Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,11,0,152,125,147,113,13.00,1,812.6,2026-04-07T19:10:10.910Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,12,0,205,346,210,360,14.87,1,779.3,2026-04-07T19:10:12.643Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,13,0,96,165,97,170,5.10,1,831.2,2026-04-07T19:10:14.426Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,14,0,230,447,234,438,9.85,1,746.9,2026-04-07T19:10:16.126Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,15,0,221,97,228,96,7.07,1,813.7,2026-04-07T19:10:17.893Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,16,0,603,436,606,448,12.37,1,864.1,2026-04-07T19:10:19.710Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,17,0,351,318,346,318,5.00,1,630.2,2026-04-07T19:10:21.293Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,18,0,573,197,574,204,7.07,1,714.8,2026-04-07T19:10:22.960Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,19,0,240,103,242,100,3.61,1,780.2,2026-04-07T19:10:24.693Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,20,0,275,137,276,142,5.10,1,796.6,2026-04-07T19:10:26.443Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,21,0,156,231,169,223,15.26,1,763.0,2026-04-07T19:10:28.160Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,22,0,151,255,143,265,12.81,1,630.2,2026-04-07T19:10:29.743Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,23,0,131,377,137,373,7.21,1,896.5,2026-04-07T19:10:31.593Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,24,0,384,415,385,411,4.12,1,798.0,2026-04-07T19:10:33.343Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,25,0,373,359,371,348,11.18,1,713.5,2026-04-07T19:10:35.009Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,26,0,382,92,373,76,18.36,1,813.1,2026-04-07T19:10:36.776Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,27,0,597,126,605,125,8.06,1,863.5,2026-04-07T19:10:38.593Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,28,0,533,191,542,195,9.85,1,664.5,2026-04-07T19:10:40.209Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,29,0,721,61,722,60,1.41,1,798.3,2026-04-07T19:10:41.959Z
Christina,VA,18-24,Trackpad,Rarely,1,visual,30,0,705,179,706,171,8.06,1,830.8,2026-04-07T19:10:43.743Z
Christina,VA,18-24,Trackpad,Rarely,2,auditory,1,0,208,324,201,310,15.65,1,827.7,2026-04-07T19:11:04.976Z
Christina,VA,18-24,Trackpad,Rarely,2,auditory,2,0,397,316,392,299,17.72,1,896.9,2026-04-07T19:11:06.826Z
Christina,VA,18-24,Trackpad,Rarely,2,auditory,3,0,526,301,519,290,13.04,1,914.9,2026-04-07T19:11:08.693Z
Christina,VA,18-24,Trackpad,Rarely,2,auditory,4,0,450,158,449,156,2.24,1,697.3,2026-04-07T19:11:10.343Z
Christina,VA,18-24,Trackpad,Rarely,2,auditory,5,0,218,72,226,86,16.12,1,747.0,2026-04-07T19:11:12.043Z
Christina,VA,18-24,Trackpad,Rarely,2,auditory,6,0,249,346,259,359,16.40,1,1080.7,2026-04-07T19:11:14.077Z
Christina,VA,18-24,Trackpad,Rarely,2,auditory,7,0,640,125,624,129,16.49,1,680.2,2026-04-07T19:11:15.710Z
Christina,VA,18-24,Trackpad,Rarely,2,auditory,8,0,467,72,477,68,10.77,1,713.3,2026-04-07T19:11:17.376Z
Christina,VA,18-24,Trackpad,Rarely,2,auditory,9,0,571,247,565,251,7.21,1,913.4,2026-04-07T19:11:19.243Z
Christina,VA,18-24,Trackpad,Rarely,2,auditory,10,0,357,382,348,382,9.00,1,880.9,2026-04-07T19:11:21.076Z
