participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Corinne,AV,18-24,Other,Rarely,1,auditory,1,0,306,153,296,207,54.67,0,617.0,2026-04-07T20:58:01.059Z
Corinne,AV,18-24,Other,Rarely,1,auditory,2,0,478,359,461,384,30.34,1,581.0,2026-04-07T20:58:02.594Z
Corinne,AV,18-24,Other,Rarely,1,auditory,3,0,563,446,567,439,7.92,1,966.0,2026-04-07T20:58:04.512Z
Corinne,AV,18-24,Other,Rarely,1,auditory,4,0,383,83,390,52,32.10,1,667.0,2026-04-07T20:58:06.130Z
Corinne,AV,18-24,Other,Rarely,1,auditory,5,0,218,364,220,356,8.63,1,649.0,2026-04-07T20:58:07.732Z
Corinne,AV,18-24,Other,Rarely,1,auditory,6,0,144,196,153,190,10.65,1,649.0,2026-04-07T20:58:09.332Z
Corinne,AV,18-24,Other,Rarely,1,auditory,7,0,625,132,647,123,23.69,1,633.0,2026-04-07T20:58:10.917Z
Corinne,AV,18-24,Other,Rarely,1,auditory,8,0,714,88,737,52,42.89,0,683.0,2026-04-07T20:58:12.552Z
Corinne,AV,18-24,Other,Rarely,1,auditory,9,0,370,385,369,384,0.95,1,633.0,2026-04-07T20:58:14.137Z
Corinne,AV,18-24,Other,Rarely,1,auditory,10,0,701,369,706,354,16.17,1,699.0,2026-04-07T20:58:15.788Z
Corinne,AV,18-24,Other,Rarely,1,auditory,11,0,202,86,210,60,27.46,1,733.0,2026-04-07T20:58:17.473Z
Corinne,AV,18-24,Other,Rarely,1,auditory,12,0,409,73,431,50,31.86,1,632.0,2026-04-07T20:58:19.057Z
Corinne,AV,18-24,Other,Rarely,1,auditory,13,0,430,122,435,121,4.80,1,764.0,2026-04-07T20:58:20.773Z
Corinne,AV,18-24,Other,Rarely,1,auditory,14,0,374,69,365,74,10.07,1,719.0,2026-04-07T20:58:22.443Z
Corinne,AV,18-24,Other,Rarely,1,auditory,15,0,239,68,247,64,8.95,1,734.0,2026-04-07T20:58:24.129Z
Corinne,AV,18-24,Other,Rarely,1,auditory,16,0,186,68,182,70,4.80,1,699.0,2026-04-07T20:58:25.779Z
Corinne,AV,18-24,Other,Rarely,1,auditory,17,0,193,100,192,97,3.67,1,715.0,2026-04-07T20:58:27.447Z
Corinne,AV,18-24,Other,Rarely,1,auditory,18,0,504,381,502,378,3.45,1,801.0,2026-04-07T20:58:29.200Z
Corinne,AV,18-24,Other,Rarely,1,auditory,19,0,319,185,316,170,15.24,1,648.0,2026-04-07T20:58:30.800Z
Corinne,AV,18-24,Other,Rarely,1,auditory,20,0,400,342,402,343,2.51,1,584.0,2026-04-07T20:58:32.334Z
Corinne,AV,18-24,Other,Rarely,1,auditory,21,0,413,59,414,52,7.48,1,717.0,2026-04-07T20:58:34.003Z
Corinne,AV,18-24,Other,Rarely,1,auditory,22,0,398,317,408,311,11.90,1,634.0,2026-04-07T20:58:35.587Z
Corinne,AV,18-24,Other,Rarely,1,auditory,23,0,157,286,141,284,16.27,1,666.0,2026-04-07T20:58:37.205Z
Corinne,AV,18-24,Other,Rarely,1,auditory,24,0,407,284,400,286,7.37,1,700.0,2026-04-07T20:58:38.857Z
Corinne,AV,18-24,Other,Rarely,1,auditory,25,0,176,416,182,392,24.22,1,683.0,2026-04-07T20:58:40.492Z
Corinne,AV,18-24,Other,Rarely,1,auditory,26,0,620,318,635,319,14.73,1,700.0,2026-04-07T20:58:42.143Z
Corinne,AV,18-24,Other,Rarely,1,auditory,27,0,107,356,102,337,19.31,1,665.0,2026-04-07T20:58:43.760Z
Corinne,AV,18-24,Other,Rarely,1,auditory,28,0,452,88,467,90,15.53,1,682.0,2026-04-07T20:58:45.393Z
Corinne,AV,18-24,Other,Rarely,1,auditory,29,0,77,145,78,156,10.72,1,701.0,2026-04-07T20:58:47.044Z
Corinne,AV,18-24,Other,Rarely,1,auditory,30,0,136,397,137,378,18.86,1,699.0,2026-04-07T20:58:48.695Z
Corinne,AV,18-24,Other,Rarely,1,auditory,31,0,90,138,84,137,6.36,1,882.0,2026-04-07T20:58:50.529Z
Corinne,AV,18-24,Other,Rarely,1,auditory,32,0,164,177,163,178,1.37,1,766.0,2026-04-07T20:58:52.247Z
Corinne,AV,18-24,Other,Rarely,1,auditory,33,0,167,193,167,186,6.69,1,667.0,2026-04-07T20:58:53.864Z
Corinne,AV,18-24,Other,Rarely,1,auditory,34,0,487,332,484,333,3.56,1,734.0,2026-04-07T20:58:55.549Z
Corinne,AV,18-24,Other,Rarely,1,auditory,35,0,439,181,439,192,11.44,1,666.0,2026-04-07T20:58:57.167Z
Corinne,AV,18-24,Other,Rarely,1,auditory,36,0,246,422,249,411,11.58,1,700.0,2026-04-07T20:58:58.819Z
Corinne,AV,18-24,Other,Rarely,1,auditory,37,0,422,411,420,399,12.54,1,665.0,2026-04-07T20:59:00.434Z
Corinne,AV,18-24,Other,Rarely,1,auditory,38,0,357,185,355,184,2.03,1,771.0,2026-04-07T20:59:02.156Z
Corinne,AV,18-24,Other,Rarely,1,auditory,39,0,580,81,567,88,14.64,1,730.0,2026-04-07T20:59:03.838Z
Corinne,AV,18-24,Other,Rarely,1,auditory,40,0,207,200,214,203,7.75,1,733.0,2026-04-07T20:59:05.523Z
Corinne,AV,18-24,Other,Rarely,1,auditory,41,0,299,250,304,246,6.79,1,699.0,2026-04-07T20:59:07.174Z
Corinne,AV,18-24,Other,Rarely,1,auditory,42,0,610,120,614,121,4.40,1,715.0,2026-04-07T20:59:08.841Z
Corinne,AV,18-24,Other,Rarely,1,auditory,43,0,656,297,659,294,4.06,1,800.0,2026-04-07T20:59:10.593Z
Corinne,AV,18-24,Other,Rarely,1,auditory,44,0,556,112,553,111,3.17,1,767.0,2026-04-07T20:59:12.311Z
Corinne,AV,18-24,Other,Rarely,1,auditory,45,0,292,58,286,62,7.36,1,798.0,2026-04-07T20:59:14.061Z
Corinne,AV,18-24,Other,Rarely,1,auditory,46,0,695,376,690,390,15.31,1,868.0,2026-04-07T20:59:15.880Z
Corinne,AV,18-24,Other,Rarely,1,auditory,47,0,112,59,114,56,4.01,1,833.0,2026-04-07T20:59:17.666Z
Corinne,AV,18-24,Other,Rarely,1,auditory,48,0,262,267,271,270,9.89,1,698.0,2026-04-07T20:59:19.316Z
Corinne,AV,18-24,Other,Rarely,1,auditory,49,0,226,389,231,394,7.17,1,719.0,2026-04-07T20:59:20.986Z
Corinne,AV,18-24,Other,Rarely,1,auditory,50,0,606,131,602,133,4.56,1,765.0,2026-04-07T20:59:22.703Z
