participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Daniela,VA,18-24,Trackpad,Weekly,1,visual,1,0,430,234,406,240,24.74,1,590.5,2026-04-05T23:48:20.654Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,2,0,306,348,296,345,10.44,1,769.2,2026-04-05T23:48:22.389Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,3,0,215,420,213,433,13.15,1,987.7,2026-04-05T23:48:24.341Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,4,0,351,406,357,398,10.00,1,832.5,2026-04-05T23:48:26.132Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,5,0,536,102,541,106,6.40,1,878.5,2026-04-05T23:48:27.965Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,6,0,539,366,546,363,7.62,1,839.2,2026-04-05T23:48:29.757Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,7,0,547,358,559,352,13.42,1,753.8,2026-04-05T23:48:31.464Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,8,0,548,219,536,219,12.00,1,800.4,2026-04-05T23:48:33.218Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,9,0,728,350,737,348,9.22,1,803.9,2026-04-05T23:48:34.979Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,10,0,81,301,72,305,9.85,1,947.2,2026-04-05T23:48:36.886Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,11,0,171,424,154,418,18.03,1,917.0,2026-04-05T23:48:38.767Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,12,0,634,351,626,346,9.43,1,717.2,2026-04-05T23:48:40.441Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,13,0,356,121,367,114,13.04,1,712.1,2026-04-05T23:48:42.115Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,14,0,633,156,636,169,13.34,1,857.6,2026-04-05T23:48:43.932Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,15,0,699,66,701,67,2.24,1,801.6,2026-04-05T23:48:45.689Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,16,0,229,52,233,68,16.49,1,759.4,2026-04-05T23:48:47.403Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,17,0,377,193,367,208,18.03,1,684.2,2026-04-05T23:48:49.048Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,18,0,201,399,197,398,4.12,1,748.4,2026-04-05T23:48:50.757Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,19,0,351,195,365,199,14.56,1,771.2,2026-04-05T23:48:52.484Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,20,0,424,424,444,419,20.62,1,669.9,2026-04-05T23:48:54.115Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,21,0,120,223,103,233,19.72,1,835.8,2026-04-05T23:48:55.911Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,22,0,593,364,594,359,5.10,1,740.0,2026-04-05T23:48:57.602Z
Daniela,VA,18-24,Trackpad,Weekly,1,visual,23,0,659,297,661,310,13.15,1,790.8,2026-04-05T23:48:59.352Z
