participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Eli,AV,18-24,Mouse,Rarely,1,auditory,1,0,497,196,513,207,18.86,1,584.0,2026-04-06T01:03:54.344Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,2,0,702,315,689,336,24.45,1,777.0,2026-04-06T01:03:56.080Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,3,0,590,252,584,260,9.82,1,586.0,2026-04-06T01:03:57.631Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,4,0,665,240,673,238,8.06,1,813.0,2026-04-06T01:03:59.423Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,5,0,224,234,211,247,18.28,1,691.0,2026-04-06T01:04:01.080Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,6,0,594,409,616,403,22.62,1,719.0,2026-04-06T01:04:02.778Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,7,0,741,370,743,360,10.63,1,797.0,2026-04-06T01:04:04.538Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,8,0,635,232,640,219,14.28,1,718.0,2026-04-06T01:04:06.228Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,9,0,695,373,698,373,2.71,1,1036.0,2026-04-06T01:04:08.230Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,10,0,372,450,377,435,16.19,1,825.0,2026-04-06T01:04:10.022Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,11,0,703,403,706,398,6.11,1,732.0,2026-04-06T01:04:11.724Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,12,0,239,399,234,399,5.36,1,683.0,2026-04-06T01:04:13.381Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,13,0,553,190,557,189,3.96,1,788.0,2026-04-06T01:04:15.132Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,14,0,414,205,424,216,14.27,1,554.0,2026-04-06T01:04:16.662Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,15,0,596,375,579,384,19.31,1,567.0,2026-04-06T01:04:18.204Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,16,0,122,440,97,449,26.72,1,837.0,2026-04-06T01:04:20.049Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,17,0,704,81,693,107,27.91,1,601.0,2026-04-06T01:04:21.612Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,18,0,689,90,719,81,31.15,1,638.0,2026-04-06T01:04:23.223Z
Eli,AV,18-24,Mouse,Rarely,1,auditory,19,0,107,75,67,90,42.86,0,591.0,2026-04-06T01:04:24.772Z
