participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Elle,AV,18-24,Trackpad,Never,1,auditory,1,0,637,394,641,392,4.47,1,1212.8,2026-04-07T22:16:33.981Z
Elle,AV,18-24,Trackpad,Never,1,auditory,2,0,368,320,364,310,10.77,1,946.8,2026-04-07T22:16:35.881Z
Elle,AV,18-24,Trackpad,Never,1,auditory,3,0,66,151,66,152,1.00,1,1046.5,2026-04-07T22:16:37.881Z
Elle,AV,18-24,Trackpad,Never,1,auditory,4,0,201,325,207,322,6.71,1,1096.4,2026-04-07T22:16:39.931Z
Elle,AV,18-24,Trackpad,Never,1,auditory,5,0,602,303,600,301,2.83,1,1197.2,2026-04-07T22:16:42.081Z
Elle,AV,18-24,Trackpad,Never,1,auditory,6,0,528,228,532,229,4.12,1,912.8,2026-04-07T22:16:43.948Z
Elle,AV,18-24,Trackpad,Never,1,auditory,7,0,691,57,694,56,3.16,1,1130.7,2026-04-07T22:16:46.032Z
Elle,AV,18-24,Trackpad,Never,1,auditory,8,0,527,105,528,104,1.41,1,1096.0,2026-04-07T22:16:48.081Z
Elle,AV,18-24,Trackpad,Never,1,auditory,9,0,733,110,737,110,4.00,1,1246.0,2026-04-07T22:16:50.281Z
Elle,AV,18-24,Trackpad,Never,1,auditory,10,0,581,263,580,261,2.24,1,1080.3,2026-04-07T22:16:52.314Z
Elle,AV,18-24,Trackpad,Never,1,auditory,11,0,507,320,505,319,2.24,1,780.4,2026-04-07T22:16:54.047Z
Elle,AV,18-24,Trackpad,Never,1,auditory,12,0,176,235,174,231,4.47,1,829.6,2026-04-07T22:16:55.831Z
Elle,AV,18-24,Trackpad,Never,1,auditory,13,0,588,338,588,339,1.00,1,913.0,2026-04-07T22:16:57.698Z
Elle,AV,18-24,Trackpad,Never,1,auditory,14,0,625,410,628,411,3.16,1,1162.6,2026-04-07T22:16:59.813Z
Elle,AV,18-24,Trackpad,Never,1,auditory,15,0,730,52,728,48,4.47,1,1030.0,2026-04-07T22:17:01.798Z
Elle,AV,18-24,Trackpad,Never,1,auditory,16,0,265,162,272,160,7.28,1,845.9,2026-04-07T22:17:03.598Z
Elle,AV,18-24,Trackpad,Never,1,auditory,17,0,329,235,321,234,8.06,1,829.7,2026-04-07T22:17:05.381Z
Elle,AV,18-24,Trackpad,Never,1,auditory,18,0,392,357,398,358,6.08,1,929.6,2026-04-07T22:17:07.264Z
Elle,AV,18-24,Trackpad,Never,1,auditory,19,0,316,186,313,183,4.24,1,795.8,2026-04-07T22:17:09.014Z
Elle,AV,18-24,Trackpad,Never,1,auditory,20,0,211,304,208,307,4.24,1,830.3,2026-04-07T22:17:10.797Z
Elle,AV,18-24,Trackpad,Never,1,auditory,21,0,595,394,587,399,9.43,1,1047.6,2026-04-07T22:17:12.798Z
Elle,AV,18-24,Trackpad,Never,1,auditory,22,0,461,364,461,366,2.00,1,779.2,2026-04-07T22:17:14.531Z
Elle,AV,18-24,Trackpad,Never,1,auditory,23,0,69,318,61,319,8.06,1,1030.9,2026-04-07T22:17:16.514Z
Elle,AV,18-24,Trackpad,Never,1,auditory,24,0,669,245,673,242,5.00,1,912.6,2026-04-07T22:17:18.381Z
Elle,AV,18-24,Trackpad,Never,1,auditory,25,0,501,79,495,79,6.00,1,897.3,2026-04-07T22:17:20.231Z
Elle,AV,18-24,Trackpad,Never,1,auditory,26,0,581,110,574,120,12.21,1,946.1,2026-04-07T22:17:22.131Z
Elle,AV,18-24,Trackpad,Never,1,auditory,27,0,163,75,164,76,1.41,1,896.0,2026-04-07T22:17:23.981Z
Elle,AV,18-24,Trackpad,Never,1,auditory,28,0,204,349,203,346,3.16,1,1179.4,2026-04-07T22:17:26.114Z
Elle,AV,18-24,Trackpad,Never,1,auditory,29,0,538,247,544,251,7.21,1,862.9,2026-04-07T22:17:27.931Z
Elle,AV,18-24,Trackpad,Never,1,auditory,30,0,361,122,367,121,6.08,1,829.1,2026-04-07T22:17:29.714Z
Elle,AV,18-24,Trackpad,Never,1,auditory,31,0,109,364,107,363,2.24,1,913.9,2026-04-07T22:17:31.581Z
Elle,AV,18-24,Trackpad,Never,1,auditory,32,0,339,147,349,144,10.44,1,979.0,2026-04-07T22:17:33.514Z
Elle,AV,18-24,Trackpad,Never,1,auditory,33,0,227,445,228,448,3.16,1,929.2,2026-04-07T22:17:35.397Z
Elle,AV,18-24,Trackpad,Never,1,auditory,34,0,446,252,450,255,5.00,1,812.3,2026-04-07T22:17:37.163Z
Elle,AV,18-24,Trackpad,Never,1,auditory,35,0,641,198,653,198,12.00,1,1131.0,2026-04-07T22:17:39.247Z
Elle,AV,18-24,Trackpad,Never,1,auditory,36,0,687,92,693,90,6.32,1,847.1,2026-04-07T22:17:41.047Z
Elle,AV,18-24,Trackpad,Never,1,auditory,37,0,185,412,181,411,4.12,1,1097.8,2026-04-07T22:17:43.098Z
Elle,AV,18-24,Trackpad,Never,1,auditory,38,0,320,236,325,240,6.40,1,745.6,2026-04-07T22:17:44.797Z
Elle,AV,18-24,Trackpad,Never,1,auditory,39,0,634,77,631,80,4.24,1,997.0,2026-04-07T22:17:46.747Z
Elle,AV,18-24,Trackpad,Never,1,auditory,40,0,370,397,376,404,9.22,1,878.6,2026-04-07T22:17:48.580Z
Elle,AV,18-24,Trackpad,Never,1,auditory,41,0,130,409,127,414,5.83,1,1162.6,2026-04-07T22:17:50.697Z
