participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Emma,AV,18-24,Trackpad,Never,1,auditory,1,0,400,284,392,290,10.40,1,863.0,2026-04-07T19:41:18.043Z
Emma,AV,18-24,Trackpad,Never,1,auditory,2,0,486,354,493,364,12.56,1,749.0,2026-04-07T19:41:19.743Z
Emma,AV,18-24,Trackpad,Never,1,auditory,3,0,433,301,439,323,23.04,1,665.0,2026-04-07T19:41:21.359Z
Emma,AV,18-24,Trackpad,Never,1,auditory,4,0,499,386,508,390,10.21,1,698.0,2026-04-07T19:41:23.010Z
Emma,AV,18-24,Trackpad,Never,1,auditory,5,0,552,236,545,241,8.81,1,813.0,2026-04-07T19:41:24.776Z
Emma,AV,18-24,Trackpad,Never,1,auditory,6,0,287,236,301,239,14.41,1,682.0,2026-04-07T19:41:26.409Z
Emma,AV,18-24,Trackpad,Never,1,auditory,7,0,419,232,412,227,8.90,1,648.0,2026-04-07T19:41:28.009Z
Emma,AV,18-24,Trackpad,Never,1,auditory,8,0,262,382,256,381,5.63,1,781.0,2026-04-07T19:41:29.742Z
Emma,AV,18-24,Trackpad,Never,1,auditory,9,0,657,239,642,236,14.91,1,865.0,2026-04-07T19:41:31.560Z
Emma,AV,18-24,Trackpad,Never,1,auditory,10,0,461,71,467,69,6.33,1,764.0,2026-04-07T19:41:33.276Z
Emma,AV,18-24,Trackpad,Never,1,auditory,11,0,443,109,454,109,11.12,1,715.0,2026-04-07T19:41:34.943Z
Emma,AV,18-24,Trackpad,Never,1,auditory,12,0,654,199,651,206,7.47,1,797.0,2026-04-07T19:41:36.693Z
Emma,AV,18-24,Trackpad,Never,1,auditory,13,0,207,345,199,347,8.38,1,948.0,2026-04-07T19:41:38.592Z
Emma,AV,18-24,Trackpad,Never,1,auditory,14,0,657,390,652,389,5.30,1,865.0,2026-04-07T19:41:40.409Z
Emma,AV,18-24,Trackpad,Never,1,auditory,15,0,156,93,156,93,0.56,1,1048.0,2026-04-07T19:41:42.409Z
Emma,AV,18-24,Trackpad,Never,1,auditory,16,0,358,403,358,406,2.67,1,1064.0,2026-04-07T19:41:44.425Z
Emma,AV,18-24,Trackpad,Never,1,auditory,17,0,735,153,736,155,2.53,1,898.0,2026-04-07T19:41:46.275Z
Emma,AV,18-24,Trackpad,Never,1,auditory,18,0,740,365,735,366,4.75,1,981.0,2026-04-07T19:41:48.209Z
Emma,AV,18-24,Trackpad,Never,1,auditory,19,0,66,412,85,417,19.47,1,781.0,2026-04-07T19:41:49.942Z
Emma,AV,18-24,Trackpad,Never,1,auditory,20,0,736,372,741,375,6.01,1,831.0,2026-04-07T19:41:51.725Z
Emma,AV,18-24,Trackpad,Never,1,auditory,21,0,178,186,176,190,4.61,1,714.0,2026-04-07T19:41:53.392Z
