participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Figgy,AV,18-24,Trackpad,Never,1,auditory,1,0,240,394,215,380,28.90,1,566.0,2026-04-07T19:28:33.541Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,2,0,374,194,366,213,20.16,1,638.4,2026-04-07T19:28:35.132Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,3,0,605,230,673,252,71.32,0,587.3,2026-04-07T19:28:36.672Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,4,0,126,280,146,260,28.64,1,637.7,2026-04-07T19:28:38.262Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,5,0,275,396,250,398,25.04,1,616.0,2026-04-07T19:28:39.831Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,6,0,113,161,112,162,1.12,1,764.5,2026-04-07T19:28:41.547Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,7,0,214,81,232,78,18.34,1,555.9,2026-04-07T19:28:43.055Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,8,0,119,134,128,138,9.66,1,573.9,2026-04-07T19:28:44.582Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,9,0,303,374,291,347,30.00,1,641.0,2026-04-07T19:28:46.174Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,10,0,154,205,156,211,5.85,1,563.5,2026-04-07T19:28:47.690Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,11,0,155,279,190,282,35.09,0,603.7,2026-04-07T19:28:49.246Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,12,0,191,349,199,361,14.01,1,726.1,2026-04-07T19:28:50.924Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,13,0,223,368,216,391,23.56,1,638.9,2026-04-07T19:28:52.515Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,14,0,69,449,69,437,12.50,1,688.5,2026-04-07T19:28:54.157Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,15,0,52,387,69,382,17.87,1,681.5,2026-04-07T19:28:55.790Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,16,0,587,316,594,325,11.01,1,787.1,2026-04-07T19:28:57.530Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,17,0,359,296,360,291,5.59,1,491.3,2026-04-07T19:28:58.974Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,18,0,242,56,233,32,26.10,1,596.6,2026-04-07T19:29:00.523Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,19,0,749,85,772,80,23.65,1,714.5,2026-04-07T19:29:02.189Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,20,0,141,321,99,330,42.85,0,615.5,2026-04-07T19:29:03.757Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,21,0,105,425,122,390,39.36,0,737.6,2026-04-07T19:29:05.447Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,22,0,335,57,340,46,12.54,1,741.1,2026-04-07T19:29:07.140Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,23,0,590,186,571,212,31.80,1,740.2,2026-04-07T19:29:08.832Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,24,0,489,262,499,269,11.93,1,681.0,2026-04-07T19:29:10.465Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,25,0,345,320,372,311,28.62,1,599.1,2026-04-07T19:29:12.015Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,26,0,320,57,309,59,11.10,1,628.6,2026-04-07T19:29:13.597Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,27,0,387,261,404,276,22.34,1,464.8,2026-04-07T19:29:15.013Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,28,0,537,56,536,66,9.55,1,697.3,2026-04-07T19:29:16.663Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,29,0,748,159,739,139,22.39,1,726.3,2026-04-07T19:29:18.340Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,30,0,633,305,629,288,17.95,1,610.8,2026-04-07T19:29:19.903Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,31,0,165,128,171,147,19.45,1,824.7,2026-04-07T19:29:21.679Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,32,0,59,62,61,54,8.73,1,721.9,2026-04-07T19:29:23.354Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,33,0,418,132,430,134,12.09,1,647.8,2026-04-07T19:29:24.954Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,34,0,325,139,335,138,10.11,1,558.1,2026-04-07T19:29:26.463Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,35,0,407,126,411,148,21.87,1,539.9,2026-04-07T19:29:27.955Z
Figgy,AV,18-24,Trackpad,Never,1,auditory,36,0,174,189,151,188,23.05,1,615.1,2026-04-07T19:29:29.522Z
