participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Francesca,AV,18-24,Mouse,Never,1,auditory,1,0,666,406,664,405,2.24,1,954.9,2026-04-05T23:43:36.322Z
Francesca,AV,18-24,Mouse,Never,1,auditory,2,0,718,184,732,179,14.87,1,831.6,2026-04-05T23:43:38.111Z
Francesca,AV,18-24,Mouse,Never,1,auditory,3,0,564,209,562,211,2.83,1,821.1,2026-04-05T23:43:39.893Z
Francesca,AV,18-24,Mouse,Never,1,auditory,4,0,361,359,352,373,16.64,1,792.1,2026-04-05T23:43:41.645Z
Francesca,AV,18-24,Mouse,Never,1,auditory,5,0,676,409,672,410,4.12,1,922.0,2026-04-05T23:43:43.528Z
Francesca,AV,18-24,Mouse,Never,1,auditory,6,0,618,92,620,117,25.08,1,896.6,2026-04-05T23:43:45.384Z
Francesca,AV,18-24,Mouse,Never,1,auditory,7,0,208,254,211,259,5.83,1,904.2,2026-04-05T23:43:47.242Z
Francesca,AV,18-24,Mouse,Never,1,auditory,8,0,174,416,176,424,8.25,1,745.3,2026-04-05T23:43:48.941Z
Francesca,AV,18-24,Mouse,Never,1,auditory,9,0,313,305,323,303,10.20,1,853.2,2026-04-05T23:43:50.756Z
Francesca,AV,18-24,Mouse,Never,1,auditory,10,0,291,71,301,61,14.14,1,834.4,2026-04-05T23:43:52.549Z
Francesca,AV,18-24,Mouse,Never,1,auditory,11,0,560,386,580,416,36.06,0,719.1,2026-04-05T23:43:54.222Z
Francesca,AV,18-24,Mouse,Never,1,auditory,12,0,183,155,190,154,7.07,1,958.8,2026-04-05T23:43:56.138Z
Francesca,AV,18-24,Mouse,Never,1,auditory,13,0,299,401,313,399,14.14,1,768.5,2026-04-05T23:43:57.870Z
Francesca,AV,18-24,Mouse,Never,1,auditory,14,0,316,269,326,257,15.62,1,577.4,2026-04-05T23:43:59.412Z
Francesca,AV,18-24,Mouse,Never,1,auditory,15,0,514,221,503,211,14.87,1,920.8,2026-04-05T23:44:01.287Z
Francesca,AV,18-24,Mouse,Never,1,auditory,16,0,421,204,430,189,17.49,1,627.4,2026-04-05T23:44:02.870Z
Francesca,AV,18-24,Mouse,Never,1,auditory,17,0,631,366,634,374,8.54,1,775.4,2026-04-05T23:44:04.605Z
Francesca,AV,18-24,Mouse,Never,1,auditory,18,0,326,423,314,424,12.04,1,909.4,2026-04-05T23:44:06.474Z
Francesca,AV,18-24,Mouse,Never,1,auditory,19,0,178,120,181,113,7.62,1,923.0,2026-04-05T23:44:08.355Z
Francesca,AV,18-24,Mouse,Never,1,auditory,20,0,244,394,237,410,17.46,1,738.9,2026-04-05T23:44:10.054Z
Francesca,AV,18-24,Mouse,Never,1,auditory,21,0,659,329,655,321,8.94,1,854.0,2026-04-05T23:44:11.862Z
Francesca,AV,18-24,Mouse,Never,1,auditory,22,0,383,372,374,373,9.06,1,849.3,2026-04-05T23:44:13.674Z
Francesca,AV,18-24,Mouse,Never,1,auditory,23,0,457,96,437,92,20.40,1,791.4,2026-04-05T23:44:15.422Z
Francesca,AV,18-24,Mouse,Never,1,auditory,24,0,557,151,553,156,6.40,1,899.3,2026-04-05T23:44:17.288Z
Francesca,AV,18-24,Mouse,Never,1,auditory,25,0,206,68,215,59,12.73,1,994.0,2026-04-05T23:44:19.241Z
Francesca,AV,18-24,Mouse,Never,1,auditory,26,0,554,352,561,365,14.76,1,773.1,2026-04-05T23:44:20.969Z
Francesca,AV,18-24,Mouse,Never,1,auditory,27,0,511,115,498,122,14.76,1,959.0,2026-04-05T23:44:22.884Z
Francesca,AV,18-24,Mouse,Never,1,auditory,28,0,340,220,332,218,8.25,1,820.6,2026-04-05T23:44:24.665Z
Francesca,AV,18-24,Mouse,Never,1,auditory,29,0,408,442,404,440,4.47,1,896.6,2026-04-05T23:44:26.535Z
