participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,1,0,433,238,439,244,8.49,1,437.8,2026-04-07T20:41:32.285Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,2,0,582,434,605,431,23.19,1,600.1,2026-04-07T20:41:33.837Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,3,0,307,54,309,23,31.06,1,597.2,2026-04-07T20:41:35.388Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,4,0,525,232,531,219,14.32,1,488.0,2026-04-07T20:41:36.837Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,5,0,414,346,426,336,15.62,1,455.7,2026-04-07T20:41:38.253Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,6,0,85,413,90,400,13.93,1,599.6,2026-04-07T20:41:39.813Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,7,0,642,305,650,293,14.42,1,552.1,2026-04-07T20:41:41.317Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,8,0,569,231,581,209,25.06,1,509.2,2026-04-07T20:41:42.789Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,9,0,630,251,642,241,15.62,1,579.2,2026-04-07T20:41:44.325Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,10,0,230,346,242,332,18.44,1,608.0,2026-04-07T20:41:45.892Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,11,0,448,408,462,429,25.24,1,486.6,2026-04-07T20:41:47.334Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,12,0,98,187,100,179,8.25,1,655.4,2026-04-07T20:41:48.940Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,13,0,575,131,557,121,20.59,1,635.1,2026-04-07T20:41:50.533Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,14,0,262,157,265,150,7.62,1,663.9,2026-04-07T20:41:52.148Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,15,0,323,259,343,251,21.54,1,440.1,2026-04-07T20:41:53.541Z
Iced Talha,VA,18-24,Mouse,Rarely,1,visual,16,0,390,348,402,361,17.69,1,444.1,2026-04-07T20:41:54.941Z
