participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,1,0,723,224,733,234,13.79,1,492.7,2026-04-07T20:56:00.249Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,2,0,233,171,206,179,28.02,1,440.3,2026-04-07T20:56:01.644Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,3,0,709,125,698,140,18.20,1,518.4,2026-04-07T20:56:03.118Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,4,0,262,336,255,346,11.80,1,488.1,2026-04-07T20:56:04.560Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,5,0,495,114,493,123,8.73,1,457.2,2026-04-07T20:56:05.973Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,6,0,706,403,697,407,9.66,1,563.0,2026-04-07T20:56:07.490Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,7,0,60,347,70,352,10.97,1,584.4,2026-04-07T20:56:09.032Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,8,0,341,84,357,95,19.14,1,508.1,2026-04-07T20:56:10.498Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,9,0,200,78,193,75,7.83,1,529.3,2026-04-07T20:56:11.985Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,10,0,182,280,190,277,8.73,1,496.3,2026-04-07T20:56:13.437Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,11,0,617,158,616,163,4.61,1,458.8,2026-04-07T20:56:14.852Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,12,0,582,444,581,445,1.12,1,567.3,2026-04-07T20:56:16.371Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,13,0,174,348,176,351,3.20,1,491.5,2026-04-07T20:56:17.815Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,14,0,154,379,162,379,8.02,1,564.6,2026-04-07T20:56:19.332Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,15,0,501,277,502,282,4.61,1,453.3,2026-04-07T20:56:20.740Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,16,0,54,399,57,397,3.91,1,639.6,2026-04-07T20:56:22.333Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,17,0,63,440,75,429,16.62,1,679.8,2026-04-07T20:56:23.965Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,18,0,147,167,159,173,13.20,1,565.0,2026-04-07T20:56:25.488Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,19,0,85,210,62,212,23.05,1,528.6,2026-04-07T20:56:26.972Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,20,0,739,421,766,429,28.02,1,570.6,2026-04-07T20:56:28.500Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,21,0,670,353,661,354,9.01,1,671.5,2026-04-07T20:56:30.129Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,22,0,648,165,644,169,5.32,1,583.5,2026-04-07T20:56:31.667Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,23,0,665,149,670,150,5.02,1,661.3,2026-04-07T20:56:33.285Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,24,0,242,82,246,89,7.63,1,580.2,2026-04-07T20:56:34.824Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,25,0,649,290,645,295,6.02,1,562.6,2026-04-07T20:56:36.342Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,26,0,675,170,671,172,4.27,1,614.4,2026-04-07T20:56:37.913Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,27,0,540,355,543,357,3.35,1,569.2,2026-04-07T20:56:39.439Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,28,0,460,312,444,310,16.19,1,513.9,2026-04-07T20:56:40.908Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,29,0,608,71,593,75,15.40,1,598.3,2026-04-07T20:56:42.461Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,30,0,628,334,618,331,10.59,1,593.2,2026-04-07T20:56:44.008Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,31,0,712,325,701,323,11.28,1,696.9,2026-04-07T20:56:45.657Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,32,0,58,417,63,423,7.43,1,630.2,2026-04-07T20:56:47.243Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,33,0,67,96,67,97,0.50,1,621.9,2026-04-07T20:56:48.818Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,34,0,190,345,197,345,7.02,1,613.2,2026-04-07T20:56:50.386Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,35,0,262,210,252,213,10.31,1,536.1,2026-04-07T20:56:51.878Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,36,0,292,339,284,343,8.73,1,521.9,2026-04-07T20:56:53.359Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,37,0,604,297,601,300,3.91,1,580.7,2026-04-07T20:56:54.896Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,38,0,466,398,458,393,9.71,1,584.8,2026-04-07T20:56:56.435Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,39,0,56,257,53,258,3.04,1,598.0,2026-04-07T20:56:57.990Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,40,0,726,131,730,135,5.32,1,628.2,2026-04-07T20:56:59.576Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,41,0,117,72,123,80,9.60,1,581.7,2026-04-07T20:57:01.111Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,42,0,577,327,585,329,8.14,1,532.7,2026-04-07T20:57:02.599Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,43,0,338,157,344,170,13.87,1,554.8,2026-04-07T20:57:04.108Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,44,0,223,351,221,356,4.92,1,545.5,2026-04-07T20:57:05.605Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,45,0,528,262,526,268,5.85,1,591.6,2026-04-07T20:57:07.152Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,46,0,126,105,135,116,13.83,1,628.2,2026-04-07T20:57:08.737Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,47,0,603,233,592,238,11.88,1,545.4,2026-04-07T20:57:10.238Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,48,0,390,301,383,303,7.16,1,459.8,2026-04-07T20:57:11.652Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,49,0,636,114,638,116,2.50,1,563.4,2026-04-07T20:57:13.173Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,50,0,131,374,131,376,1.50,1,592.8,2026-04-07T20:57:14.718Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,51,0,202,370,194,376,9.71,1,535.3,2026-04-07T20:57:16.208Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,52,0,83,421,93,414,12.50,1,640.4,2026-04-07T20:57:17.799Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,53,0,279,347,263,346,16.07,1,510.7,2026-04-07T20:57:19.268Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,54,0,398,65,409,65,11.01,1,480.5,2026-04-07T20:57:20.703Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,55,0,593,249,584,250,9.01,1,507.0,2026-04-07T20:57:22.167Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,56,0,154,189,169,200,18.31,1,527.8,2026-04-07T20:57:23.654Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,57,0,190,94,186,90,6.02,1,543.0,2026-04-07T20:57:25.154Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,58,0,342,216,350,228,14.01,1,422.4,2026-04-07T20:57:26.534Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,59,0,150,404,153,407,3.91,1,591.8,2026-04-07T20:57:28.079Z
Jaiden att2,AV,18-24,Mouse,Never,1,auditory,60,0,469,140,474,143,5.59,1,448.2,2026-04-07T20:57:29.483Z
Jaiden att2,AV,18-24,Mouse,Never,2,visual,1,0,154,402,144,399,10.59,1,549.5,2026-04-07T20:58:10.807Z
Jaiden att2,AV,18-24,Mouse,Never,2,visual,2,0,661,243,652,240,9.66,1,527.2,2026-04-07T20:58:12.285Z
Jaiden att2,AV,18-24,Mouse,Never,2,visual,3,0,191,87,198,88,7.02,1,512.6,2026-04-07T20:58:13.749Z
