participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Jaiden,VA,18-24,Mouse,Never,1,visual,1,0,715,356,716,360,3.64,1,443.0,2026-04-07T20:50:50.154Z
Jaiden,VA,18-24,Mouse,Never,1,visual,2,0,555,327,547,338,13.20,1,383.5,2026-04-07T20:50:51.489Z
Jaiden,VA,18-24,Mouse,Never,1,visual,3,0,660,213,622,224,39.42,0,420.0,2026-04-07T20:50:52.866Z
Jaiden,VA,18-24,Mouse,Never,1,visual,4,0,269,231,239,231,30.00,1,390.0,2026-04-07T20:50:54.211Z
Jaiden,VA,18-24,Mouse,Never,1,visual,5,0,231,118,219,112,13.65,1,426.2,2026-04-07T20:50:55.592Z
Jaiden,VA,18-24,Mouse,Never,1,visual,6,0,473,285,473,301,15.50,1,367.7,2026-04-07T20:50:56.919Z
Jaiden,VA,18-24,Mouse,Never,1,visual,7,0,329,257,336,264,9.55,1,378.6,2026-04-07T20:50:58.256Z
Jaiden,VA,18-24,Mouse,Never,1,visual,8,0,243,327,256,343,20.23,1,417.8,2026-04-07T20:50:59.628Z
Jaiden,VA,18-24,Mouse,Never,1,visual,9,0,230,258,226,256,4.72,1,390.4,2026-04-07T20:51:00.976Z
Jaiden,VA,18-24,Mouse,Never,1,visual,10,0,300,428,313,405,26.86,1,385.0,2026-04-07T20:51:02.313Z
Jaiden,VA,18-24,Mouse,Never,1,visual,11,0,465,427,465,437,9.50,1,392.0,2026-04-07T20:51:03.659Z
Jaiden,VA,18-24,Mouse,Never,1,visual,12,0,730,207,710,203,20.50,1,904.0,2026-04-07T20:51:05.518Z
Jaiden,VA,18-24,Mouse,Never,1,visual,13,0,577,151,543,161,35.30,0,434.9,2026-04-07T20:51:06.910Z
Jaiden,VA,18-24,Mouse,Never,1,visual,14,0,695,420,664,438,35.60,0,441.1,2026-04-07T20:51:08.306Z
Jaiden,VA,18-24,Mouse,Never,1,visual,15,0,340,425,336,416,10.31,1,392.4,2026-04-07T20:51:09.653Z
Jaiden,VA,18-24,Mouse,Never,1,visual,16,0,192,284,229,286,37.03,0,416.9,2026-04-07T20:51:11.026Z
Jaiden,VA,18-24,Mouse,Never,1,visual,17,0,399,351,402,354,3.91,1,355.1,2026-04-07T20:51:12.331Z
Jaiden,VA,18-24,Mouse,Never,1,visual,18,0,497,322,483,312,17.50,1,385.8,2026-04-07T20:51:13.675Z
Jaiden,VA,18-24,Mouse,Never,1,visual,19,0,571,400,563,394,10.31,1,420.6,2026-04-07T20:51:15.050Z
Jaiden,VA,18-24,Mouse,Never,1,visual,20,0,525,376,497,340,46.00,0,410.9,2026-04-07T20:51:16.416Z
Jaiden,VA,18-24,Mouse,Never,1,visual,21,0,124,122,123,134,11.54,1,452.7,2026-04-07T20:51:17.825Z
Jaiden,VA,18-24,Mouse,Never,1,visual,22,0,604,143,577,162,32.73,1,448.0,2026-04-07T20:51:19.231Z
