participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Jess,AV,18-24,Trackpad,Rarely,1,auditory,1,0,731,411,732,406,5.59,1,1142.2,2026-04-07T18:48:29.829Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,2,0,87,368,80,366,7.43,1,1076.0,2026-04-07T18:48:31.863Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,3,0,442,365,453,375,14.53,1,780.8,2026-04-07T18:48:33.596Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,4,0,135,251,151,249,16.19,1,814.5,2026-04-07T18:48:35.364Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,5,0,380,296,394,290,15.44,1,628.5,2026-04-07T18:48:36.947Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,6,0,199,289,183,291,16.07,1,763.8,2026-04-07T18:48:38.664Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,7,0,340,114,349,115,9.01,1,795.4,2026-04-07T18:48:40.413Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,8,0,213,281,236,276,23.65,1,775.8,2026-04-07T18:48:42.143Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,9,0,568,449,567,434,15.53,1,1067.9,2026-04-07T18:48:44.164Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,10,0,271,169,284,168,13.09,1,930.1,2026-04-07T18:48:46.047Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,11,0,125,202,131,210,9.60,1,680.2,2026-04-07T18:48:47.681Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,12,0,111,362,104,362,7.02,1,713.3,2026-04-07T18:48:49.346Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,13,0,106,98,110,103,6.02,1,795.5,2026-04-07T18:48:51.095Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,14,0,319,312,337,332,26.54,1,666.2,2026-04-07T18:48:52.714Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,15,0,363,323,370,343,20.72,1,611.8,2026-04-07T18:48:54.279Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,16,0,305,198,310,204,7.43,1,597.8,2026-04-07T18:48:55.831Z
Jess,AV,18-24,Trackpad,Rarely,1,auditory,17,0,502,124,504,128,4.03,1,663.6,2026-04-07T18:48:57.447Z
