participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,1,0,470,314,494,321,24.86,1,861.7,2026-04-07T21:05:14.931Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,2,0,114,205,91,198,24.19,1,1511.8,2026-04-07T21:05:17.398Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,3,0,98,419,82,417,16.19,1,881.3,2026-04-07T21:05:19.232Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,4,0,679,168,692,158,16.71,1,946.4,2026-04-07T21:05:21.132Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,5,0,422,226,446,216,26.20,1,982.5,2026-04-07T21:05:23.066Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,6,0,686,222,693,227,8.32,1,796.7,2026-04-07T21:05:24.817Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,7,0,342,82,347,78,6.73,1,830.7,2026-04-07T21:05:26.599Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,8,0,615,294,637,277,28.11,1,981.6,2026-04-07T21:05:28.533Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,9,0,158,349,137,359,23.05,1,879.9,2026-04-07T21:05:30.366Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,10,0,177,103,168,135,32.76,1,911.9,2026-04-07T21:05:32.231Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,11,0,455,294,455,290,4.50,1,745.7,2026-04-07T21:05:33.931Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,12,0,180,170,177,173,3.91,1,732.4,2026-04-07T21:05:35.616Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,13,0,413,317,448,272,57.40,0,931.1,2026-04-07T21:05:37.500Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,14,0,326,55,302,59,24.25,1,1076.8,2026-04-07T21:05:39.532Z
John Pork,AV,18-24,Trackpad,Rarely,1,auditory,15,0,119,376,131,389,17.33,1,898.0,2026-04-07T21:05:41.383Z
