participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
John Salib 2,AV,18-24,Other,Daily,1,auditory,1,0,319,101,341,90,24.25,1,729.0,2026-04-07T21:29:23.645Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,2,0,436,338,759,31,445.60,0,197.0,2026-04-07T21:29:24.793Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,3,0,550,260,706,94,227.53,0,162.0,2026-04-07T21:29:25.908Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,4,0,455,325,731,80,368.63,0,148.0,2026-04-07T21:29:27.008Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,5,0,326,106,731,82,405.31,0,65.0,2026-04-07T21:29:28.023Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,6,0,624,94,688,76,66.22,0,197.0,2026-04-07T21:29:29.171Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,7,0,156,180,706,111,554.46,0,80.0,2026-04-07T21:29:30.204Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,8,0,269,398,749,41,597.94,0,97.0,2026-04-07T21:29:31.252Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,9,0,626,103,710,68,91.21,0,97.0,2026-04-07T21:29:32.301Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,10,0,430,104,743,84,313.48,0,80.0,2026-04-07T21:29:33.333Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,11,0,304,301,702,121,436.84,0,130.0,2026-04-07T21:29:34.415Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,12,0,633,151,724,68,123.56,0,31.0,2026-04-07T21:29:35.398Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,13,0,655,411,696,78,335.35,0,14.0,2026-04-07T21:29:36.363Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,14,0,404,398,680,52,442.63,0,30.0,2026-04-07T21:29:37.346Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,15,0,705,364,690,52,312.74,0,13.0,2026-04-07T21:29:38.311Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,16,0,126,434,698,41,693.73,0,213.0,2026-04-07T21:29:39.476Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,17,0,418,180,704,29,323.40,0,114.0,2026-04-07T21:29:40.541Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,18,0,594,242,669,82,176.66,0,181.0,2026-04-07T21:29:41.673Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,19,0,724,205,641,121,118.21,0,64.0,2026-04-07T21:29:42.688Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,20,0,207,203,649,156,444.50,0,64.0,2026-04-07T21:29:43.704Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,21,0,241,357,659,146,468.62,0,64.0,2026-04-07T21:29:44.719Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,22,0,508,315,692,123,265.78,0,46.0,2026-04-07T21:29:45.718Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,23,0,304,311,663,101,416.34,0,197.0,2026-04-07T21:29:46.866Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,24,0,379,166,622,241,254.86,0,197.0,2026-04-07T21:29:48.015Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,25,0,51,60,604,168,563.52,0,247.0,2026-04-07T21:29:49.213Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,26,0,526,434,559,170,266.08,0,181.0,2026-04-07T21:29:50.345Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,27,0,396,384,588,92,348.96,0,113.0,2026-04-07T21:29:51.410Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,28,0,610,345,561,129,221.27,0,132.0,2026-04-07T21:29:52.493Z
John Salib 2,AV,18-24,Other,Daily,1,auditory,29,0,251,327,576,143,372.82,0,46.0,2026-04-07T21:29:53.490Z
