participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
John salib,AV,18-24,Other,Never,1,auditory,1,0,701,177,739,182,38.14,0,729.0,2026-04-07T20:37:02.513Z
John salib,AV,18-24,Other,Never,1,auditory,2,0,643,62,649,56,8.68,1,578.0,2026-04-07T20:37:04.044Z
John salib,AV,18-24,Other,Never,1,auditory,3,0,734,58,745,48,15.10,1,564.0,2026-04-07T20:37:05.560Z
John salib,AV,18-24,Other,Never,1,auditory,4,0,434,277,443,290,16.06,1,631.0,2026-04-07T20:37:07.141Z
John salib,AV,18-24,Other,Never,1,auditory,5,0,195,379,192,378,3.27,1,596.0,2026-04-07T20:37:08.689Z
John salib,AV,18-24,Other,Never,1,auditory,6,0,139,375,131,372,8.90,1,581.0,2026-04-07T20:37:10.220Z
John salib,AV,18-24,Other,Never,1,auditory,7,0,243,405,227,407,16.56,1,564.0,2026-04-07T20:37:11.735Z
John salib,AV,18-24,Other,Never,1,auditory,8,0,105,244,118,254,16.50,1,613.0,2026-04-07T20:37:13.300Z
John salib,AV,18-24,Other,Never,1,auditory,9,0,102,116,106,105,12.04,1,680.0,2026-04-07T20:37:14.931Z
John salib,AV,18-24,Other,Never,1,auditory,10,0,71,355,61,341,16.73,1,562.0,2026-04-07T20:37:16.446Z
John salib,AV,18-24,Other,Never,1,auditory,11,0,269,113,276,99,15.84,1,597.0,2026-04-07T20:37:17.994Z
John salib,AV,18-24,Other,Never,1,auditory,12,0,239,370,220,364,19.58,1,563.0,2026-04-07T20:37:19.509Z
John salib,AV,18-24,Other,Never,1,auditory,13,0,674,98,671,80,17.99,1,547.0,2026-04-07T20:37:21.007Z
John salib,AV,18-24,Other,Never,1,auditory,14,0,741,178,743,180,2.88,1,513.0,2026-04-07T20:37:22.472Z
John salib,AV,18-24,Other,Never,1,auditory,15,0,133,159,129,150,10.40,1,663.0,2026-04-07T20:37:24.087Z
John salib,AV,18-24,Other,Never,1,auditory,16,0,199,359,202,388,29.52,1,646.0,2026-04-07T20:37:25.685Z
John salib,AV,18-24,Other,Never,1,auditory,17,0,536,427,527,450,24.49,1,611.0,2026-04-07T20:37:27.249Z
John salib,AV,18-24,Other,Never,1,auditory,18,0,543,349,578,356,35.20,0,564.0,2026-04-07T20:37:28.764Z
John salib,AV,18-24,Other,Never,1,auditory,19,0,607,130,606,111,19.21,1,712.0,2026-04-07T20:37:30.429Z
John salib,AV,18-24,Other,Never,1,auditory,20,0,220,252,210,250,10.09,1,663.0,2026-04-07T20:37:32.044Z
John salib,AV,18-24,Other,Never,1,auditory,21,0,511,285,518,288,8.10,1,597.0,2026-04-07T20:37:33.592Z
John salib,AV,18-24,Other,Never,1,auditory,22,0,532,324,527,335,12.55,1,513.0,2026-04-07T20:37:35.057Z
John salib,AV,18-24,Other,Never,1,auditory,23,0,265,83,265,76,6.89,1,662.0,2026-04-07T20:37:36.670Z
John salib,AV,18-24,Other,Never,1,auditory,24,0,190,195,180,182,16.47,1,581.0,2026-04-07T20:37:38.203Z
