participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
John,AV,18-24,Other,Rarely,1,auditory,1,0,148,429,111,438,38.15,0,763.0,2026-04-07T20:13:54.401Z
John,AV,18-24,Other,Rarely,1,auditory,2,0,714,232,724,228,10.66,1,848.0,2026-04-07T20:13:56.201Z
John,AV,18-24,Other,Rarely,1,auditory,3,0,733,407,721,408,12.07,1,732.0,2026-04-07T20:13:57.884Z
John,AV,18-24,Other,Rarely,1,auditory,4,0,595,369,595,376,7.30,1,647.0,2026-04-07T20:13:59.483Z
John,AV,18-24,Other,Rarely,1,auditory,5,0,542,191,538,184,7.81,1,502.0,2026-04-07T20:14:00.935Z
John,AV,18-24,Other,Rarely,1,auditory,6,0,583,106,591,114,11.53,1,548.0,2026-04-07T20:14:02.434Z
John,AV,18-24,Other,Rarely,1,auditory,7,0,686,251,681,259,9.69,1,632.0,2026-04-07T20:14:04.017Z
John,AV,18-24,Other,Rarely,1,auditory,8,0,380,166,371,176,13.68,1,532.0,2026-04-07T20:14:05.500Z
John,AV,18-24,Other,Rarely,1,auditory,9,0,326,258,327,249,8.76,1,581.0,2026-04-07T20:14:07.033Z
John,AV,18-24,Other,Rarely,1,auditory,10,0,154,73,167,77,13.69,1,682.0,2026-04-07T20:14:08.667Z
John,AV,18-24,Other,Rarely,1,auditory,11,0,666,163,672,159,7.05,1,549.0,2026-04-07T20:14:10.167Z
John,AV,18-24,Other,Rarely,1,auditory,12,0,400,148,402,152,4.74,1,498.0,2026-04-07T20:14:11.616Z
John,AV,18-24,Other,Rarely,1,auditory,13,0,674,160,665,143,18.97,1,581.0,2026-04-07T20:14:13.149Z
John,AV,18-24,Other,Rarely,1,auditory,14,0,578,185,590,182,12.30,1,566.0,2026-04-07T20:14:14.666Z
John,AV,18-24,Other,Rarely,1,auditory,15,0,731,415,736,417,5.50,1,732.0,2026-04-07T20:14:16.349Z
John,AV,18-24,Other,Rarely,1,auditory,16,0,69,149,67,138,10.89,1,700.0,2026-04-07T20:14:18.000Z
John,AV,18-24,Other,Rarely,1,auditory,17,0,215,319,217,320,2.38,1,649.0,2026-04-07T20:14:19.600Z
John,AV,18-24,Other,Rarely,1,auditory,18,0,580,372,578,368,4.21,1,632.0,2026-04-07T20:14:21.183Z
John,AV,18-24,Other,Rarely,1,auditory,19,0,591,90,598,74,17.19,1,498.0,2026-04-07T20:14:22.633Z
John,AV,18-24,Other,Rarely,1,auditory,20,0,375,198,346,198,29.00,1,515.0,2026-04-07T20:14:24.099Z
