participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,1,0,410,438,407,434,5.41,1,676.0,2026-04-07T19:46:42.400Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,2,0,649,294,646,291,4.61,1,736.0,2026-04-07T19:46:44.100Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,3,0,128,58,128,62,3.50,1,939.0,2026-04-07T19:46:46.004Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,4,0,411,176,431,173,20.30,1,814.0,2026-04-07T19:46:47.778Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,5,0,90,208,102,214,13.20,1,788.0,2026-04-07T19:46:49.540Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,6,0,582,195,589,222,27.41,1,758.0,2026-04-07T19:46:51.262Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,7,0,504,442,505,440,2.69,1,892.0,2026-04-07T19:46:53.121Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,8,0,384,218,364,217,20.06,1,530.0,2026-04-07T19:46:54.608Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,9,0,184,100,186,100,2.06,1,673.0,2026-04-07T19:46:56.256Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,10,0,623,388,629,404,16.62,1,881.0,2026-04-07T19:46:58.113Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,11,0,365,156,363,166,9.71,1,615.0,2026-04-07T19:46:59.707Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,12,0,402,251,368,260,35.05,0,603.0,2026-04-07T19:47:01.284Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,13,0,256,272,272,270,16.19,1,657.0,2026-04-07T19:47:02.916Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,14,0,264,438,260,432,7.63,1,804.0,2026-04-07T19:47:04.676Z
Kaan,AV,18-24,Trackpad,Rarely,1,auditory,15,0,374,236,377,240,4.61,1,915.0,2026-04-07T19:47:06.564Z
