participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Karys,VA,18-24,Trackpad,Rarely,1,visual,1,0,485,127,484,134,7.37,1,664.0,2026-04-07T19:48:12.806Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,2,0,688,173,698,157,18.62,1,632.0,2026-04-07T19:48:14.389Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,3,0,685,115,694,107,11.85,1,749.0,2026-04-07T19:48:16.090Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,4,0,630,254,624,245,10.57,1,564.0,2026-04-07T19:48:17.605Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,5,0,175,412,185,401,14.65,1,702.0,2026-04-07T19:48:19.258Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,6,0,355,121,368,94,29.70,1,880.0,2026-04-07T19:48:21.090Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,7,0,179,236,196,234,17.09,1,849.0,2026-04-07T19:48:22.890Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,8,0,547,184,551,181,4.83,1,764.0,2026-04-07T19:48:24.605Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,9,0,543,237,545,247,10.49,1,784.0,2026-04-07T19:48:26.340Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,10,0,638,409,621,405,17.40,1,765.0,2026-04-07T19:48:28.057Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,11,0,487,92,464,74,29.02,1,596.0,2026-04-07T19:48:29.605Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,12,0,164,406,148,453,49.93,0,716.0,2026-04-07T19:48:31.272Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,13,0,530,240,528,264,24.38,1,701.0,2026-04-07T19:48:32.924Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,14,0,255,313,281,310,26.14,1,746.0,2026-04-07T19:48:34.622Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,15,0,697,173,690,184,13.29,1,931.0,2026-04-07T19:48:36.506Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,16,0,591,188,612,185,21.17,1,698.0,2026-04-07T19:48:38.155Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,17,0,253,277,285,284,32.82,1,715.0,2026-04-07T19:48:39.822Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,18,0,251,348,237,347,14.02,1,931.0,2026-04-07T19:48:41.705Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,19,0,691,101,672,118,25.69,1,1016.0,2026-04-07T19:48:43.672Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,20,0,313,429,309,436,8.32,1,782.0,2026-04-07T19:48:45.405Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,21,0,311,430,311,457,27.30,1,933.0,2026-04-07T19:48:47.289Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,22,0,301,149,308,170,22.42,1,798.0,2026-04-07T19:48:49.038Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,23,0,319,408,313,399,10.57,1,651.0,2026-04-07T19:48:50.640Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,24,0,225,131,226,150,19.32,1,646.0,2026-04-07T19:48:52.237Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,25,0,496,233,521,247,28.80,1,701.0,2026-04-07T19:48:53.889Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,26,0,700,257,706,245,13.15,1,763.0,2026-04-07T19:48:55.604Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,27,0,646,74,680,54,39.30,0,717.0,2026-04-07T19:48:57.272Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,28,0,60,396,78,383,22.03,1,1015.0,2026-04-07T19:48:59.238Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,29,0,292,83,274,87,18.51,1,632.0,2026-04-07T19:49:00.821Z
Karys,VA,18-24,Trackpad,Rarely,1,visual,30,0,104,375,108,370,6.17,1,831.0,2026-04-07T19:49:02.604Z
