participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,1,0,463,268,471,265,8.28,1,564.8,2026-04-07T20:07:45.667Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,2,0,223,299,251,306,28.26,1,596.1,2026-04-07T20:07:47.217Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,3,0,659,288,692,275,35.19,0,662.5,2026-04-07T20:07:48.834Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,4,0,653,420,648,418,6.04,1,847.9,2026-04-07T20:07:50.634Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,5,0,327,248,323,239,10.51,1,695.6,2026-04-07T20:07:52.284Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,6,0,440,385,441,373,12.51,1,512.4,2026-04-07T20:07:53.750Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,7,0,152,164,123,145,35.36,0,696.8,2026-04-07T20:07:55.401Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,8,0,270,128,282,135,13.21,1,630.6,2026-04-07T20:07:56.984Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,9,0,307,232,299,219,15.95,1,612.8,2026-04-07T20:07:58.551Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,10,0,565,387,559,412,25.35,1,729.7,2026-04-07T20:08:00.234Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,11,0,738,55,732,68,14.09,1,781.4,2026-04-07T20:08:01.967Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,12,0,557,55,613,52,55.61,0,646.4,2026-04-07T20:08:03.567Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,13,0,111,287,132,274,24.55,1,879.1,2026-04-07T20:08:05.400Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,14,0,64,322,84,325,19.66,1,797.1,2026-04-07T20:08:07.150Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,15,0,421,249,432,243,12.35,1,464.7,2026-04-07T20:08:08.567Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,16,0,220,158,214,158,6.52,1,647.3,2026-04-07T20:08:10.167Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,17,0,379,184,369,191,12.35,1,513.6,2026-04-07T20:08:11.634Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,18,0,549,313,576,328,30.21,1,664.0,2026-04-07T20:08:13.251Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,19,0,733,127,726,130,7.91,1,863.9,2026-04-07T20:08:15.067Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,20,0,641,209,694,207,52.56,0,613.4,2026-04-07T20:08:16.634Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,21,0,537,173,563,164,27.21,1,531.2,2026-04-07T20:08:18.117Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,22,0,721,401,711,393,13.51,1,745.8,2026-04-07T20:08:19.817Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,23,0,472,215,457,220,16.14,1,664.2,2026-04-07T20:08:21.434Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,24,0,670,148,655,151,15.70,1,713.4,2026-04-07T20:08:23.100Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,25,0,496,159,505,155,9.62,1,596.0,2026-04-07T20:08:24.650Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,26,0,308,172,299,167,10.98,1,579.8,2026-04-07T20:08:26.183Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,27,0,323,254,321,234,20.65,1,596.9,2026-04-07T20:08:27.734Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,28,0,315,415,315,414,1.58,1,680.1,2026-04-07T20:08:29.367Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,29,0,374,149,379,143,7.91,1,595.8,2026-04-07T20:08:30.917Z
Kierin Adams,VA,18-24,Trackpad,Weekly,1,visual,30,0,491,311,492,307,4.53,1,746.6,2026-04-07T20:08:32.617Z
Kierin Adams,VA,18-24,Trackpad,Weekly,2,auditory,1,0,570,357,566,352,7.11,1,596.6,2026-04-07T20:08:52.217Z
Kierin Adams,VA,18-24,Trackpad,Weekly,2,auditory,2,0,349,267,361,295,29.81,1,496.3,2026-04-07T20:08:53.667Z
Kierin Adams,VA,18-24,Trackpad,Weekly,2,auditory,3,0,604,447,600,451,5.70,1,647.7,2026-04-07T20:08:55.267Z
