participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,1,0,315,289,331,274,21.93,1,622.6,2026-04-06T01:03:28.777Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,2,0,393,198,395,201,3.61,1,688.3,2026-04-06T01:03:30.418Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,3,0,620,332,605,326,16.16,1,762.4,2026-04-06T01:03:32.135Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,4,0,694,204,702,219,17.00,1,955.5,2026-04-06T01:03:34.043Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,5,0,711,320,708,314,6.71,1,931.6,2026-04-06T01:03:35.926Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,6,0,522,242,518,243,4.12,1,496.4,2026-04-06T01:03:37.376Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,7,0,565,188,551,190,14.14,1,688.5,2026-04-06T01:03:39.018Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,8,0,567,119,569,138,19.10,1,681.1,2026-04-06T01:03:40.651Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,9,0,54,60,49,54,7.81,1,806.7,2026-04-06T01:03:42.410Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,10,0,444,70,445,56,14.04,1,621.3,2026-04-06T01:03:43.984Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,11,0,293,197,294,201,4.12,1,631.4,2026-04-06T01:03:45.568Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,12,0,690,134,707,137,17.26,1,897.2,2026-04-06T01:03:47.418Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,13,0,692,364,689,361,4.24,1,864.5,2026-04-06T01:03:49.235Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,14,0,344,231,349,231,5.00,1,663.8,2026-04-06T01:03:50.851Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,15,0,420,369,418,384,15.13,1,797.8,2026-04-06T01:03:52.602Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,16,0,593,60,596,62,3.61,1,745.6,2026-04-06T01:03:54.301Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,17,0,66,404,68,399,5.39,1,964.8,2026-04-06T01:03:56.218Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,18,0,703,335,707,340,6.40,1,863.8,2026-04-06T01:03:58.034Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,19,0,213,88,213,96,8.00,1,798.0,2026-04-06T01:03:59.784Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,20,0,212,62,214,59,3.61,1,756.7,2026-04-06T01:04:01.493Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,21,0,745,358,744,364,6.08,1,1013.0,2026-04-06T01:04:03.459Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,22,0,137,115,145,118,8.54,1,831.4,2026-04-06T01:04:05.243Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,23,0,235,119,235,124,5.00,1,730.0,2026-04-06T01:04:06.926Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,24,0,381,196,379,195,2.24,1,548.2,2026-04-06T01:04:08.426Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,25,0,260,309,252,305,8.94,1,755.7,2026-04-06T01:04:10.134Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,26,0,73,357,66,354,7.62,1,1031.1,2026-04-06T01:04:12.118Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,27,0,324,278,331,275,7.62,1,537.3,2026-04-06T01:04:13.609Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,28,0,314,287,314,288,1.00,1,513.5,2026-04-06T01:04:15.076Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,29,0,563,78,564,89,11.05,1,772.3,2026-04-06T01:04:16.801Z
Kimmy,VA,18-24,Trackpad,Rarely,1,visual,30,0,734,378,733,384,6.08,1,821.7,2026-04-06T01:04:18.575Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,1,0,147,424,146,417,7.07,1,980.7,2026-04-06T01:04:34.805Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,2,0,143,295,148,297,5.39,1,697.2,2026-04-06T01:04:36.455Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,3,0,468,299,462,305,8.49,1,746.7,2026-04-06T01:04:38.155Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,4,0,670,445,677,443,7.28,1,956.3,2026-04-06T01:04:40.063Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,5,0,638,143,638,144,1.00,1,847.8,2026-04-06T01:04:41.864Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,6,0,95,136,93,136,2.00,1,872.4,2026-04-06T01:04:43.689Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,7,0,86,97,75,98,11.05,1,931.5,2026-04-06T01:04:45.572Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,8,0,228,263,224,264,4.12,1,655.3,2026-04-06T01:04:47.180Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,9,0,695,97,693,104,7.28,1,763.4,2026-04-06T01:04:48.896Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,10,0,460,160,454,164,7.21,1,640.0,2026-04-06T01:04:50.489Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,11,0,81,253,89,263,12.81,1,746.2,2026-04-06T01:04:52.189Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,12,0,125,245,129,242,5.00,1,847.1,2026-04-06T01:04:53.988Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,13,0,258,336,259,338,2.24,1,547.1,2026-04-06T01:04:55.488Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,14,0,537,403,541,397,7.21,1,797.8,2026-04-06T01:04:57.239Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,15,0,534,279,524,281,10.20,1,788.8,2026-04-06T01:04:58.980Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,16,0,311,51,324,69,22.20,1,823.0,2026-04-06T01:05:00.755Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,17,0,327,116,347,101,25.00,1,671.3,2026-04-06T01:05:02.380Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,18,0,321,66,322,59,7.07,1,640.5,2026-04-06T01:05:03.972Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,19,0,680,68,684,59,9.85,1,813.7,2026-04-06T01:05:05.738Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,20,0,94,394,80,398,14.56,1,764.4,2026-04-06T01:05:07.455Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,21,0,611,137,613,135,2.83,1,764.6,2026-04-06T01:05:09.172Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,22,0,293,227,291,237,10.20,1,555.3,2026-04-06T01:05:10.680Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,23,0,193,324,194,331,7.07,1,814.6,2026-04-06T01:05:12.446Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,24,0,583,139,580,151,12.37,1,722.0,2026-04-06T01:05:14.122Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,25,0,202,179,207,187,9.43,1,672.0,2026-04-06T01:05:15.746Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,26,0,241,101,242,108,7.07,1,689.1,2026-04-06T01:05:17.388Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,27,0,286,128,292,131,6.71,1,622.4,2026-04-06T01:05:18.963Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,28,0,615,164,622,173,11.40,1,771.4,2026-04-06T01:05:20.688Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,29,0,629,393,633,397,5.66,1,988.0,2026-04-06T01:05:22.630Z
Kimmy,VA,18-24,Trackpad,Rarely,2,auditory,30,0,514,138,497,144,18.03,1,647.2,2026-04-06T01:05:24.229Z
