participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
L,AV,18-24,Other,Never,1,auditory,1,0,324,236,325,256,20.31,1,711.0,2026-04-07T22:37:07.166Z
L,AV,18-24,Other,Never,1,auditory,2,0,553,385,554,392,6.66,1,695.0,2026-04-07T22:37:08.813Z
L,AV,18-24,Other,Never,1,auditory,3,0,328,404,302,430,36.67,0,580.0,2026-04-07T22:37:10.345Z
L,AV,18-24,Other,Never,1,auditory,4,0,228,199,203,202,25.39,1,712.0,2026-04-07T22:37:12.010Z
L,AV,18-24,Other,Never,1,auditory,5,0,170,140,178,114,26.90,1,745.0,2026-04-07T22:37:13.707Z
L,AV,18-24,Other,Never,1,auditory,6,0,252,424,255,398,25.86,1,695.0,2026-04-07T22:37:15.354Z
L,AV,18-24,Other,Never,1,auditory,7,0,573,269,577,254,15.45,1,548.0,2026-04-07T22:37:16.854Z
L,AV,18-24,Other,Never,1,auditory,8,0,251,197,230,220,31.42,1,628.0,2026-04-07T22:37:18.434Z
L,AV,18-24,Other,Never,1,auditory,9,0,189,289,187,299,10.31,1,680.0,2026-04-07T22:37:20.066Z
L,AV,18-24,Other,Never,1,auditory,10,0,261,204,261,195,8.55,1,678.0,2026-04-07T22:37:21.696Z
L,AV,18-24,Other,Never,1,auditory,11,0,571,182,552,202,27.67,1,678.0,2026-04-07T22:37:23.326Z
L,AV,18-24,Other,Never,1,auditory,12,0,750,377,741,387,13.19,1,912.0,2026-04-07T22:37:25.190Z
L,AV,18-24,Other,Never,1,auditory,13,0,593,291,593,295,3.63,1,713.0,2026-04-07T22:37:26.855Z
L,AV,18-24,Other,Never,1,auditory,14,0,607,181,606,180,1.54,1,628.0,2026-04-07T22:37:28.435Z
L,AV,18-24,Other,Never,1,auditory,15,0,118,334,108,340,11.36,1,730.0,2026-04-07T22:37:30.116Z
L,AV,18-24,Other,Never,1,auditory,16,0,158,107,151,108,7.04,1,696.0,2026-04-07T22:37:31.764Z
L,AV,18-24,Other,Never,1,auditory,17,0,267,327,264,333,6.80,1,711.0,2026-04-07T22:37:33.427Z
