participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Liam,VA,18-24,Trackpad,Rarely,1,visual,1,0,55,314,65,305,13.45,1,886.9,2026-04-07T19:03:08.693Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,2,0,162,291,152,300,13.45,1,607.3,2026-04-07T19:03:10.261Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,3,0,669,306,653,306,16.00,1,821.7,2026-04-07T19:03:12.043Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,4,0,187,286,184,304,18.25,1,640.0,2026-04-07T19:03:13.643Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,5,0,745,82,766,81,21.02,1,838.3,2026-04-07T19:03:15.442Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,6,0,496,357,501,365,9.43,1,672.0,2026-04-07T19:03:17.076Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,7,0,60,67,85,77,26.93,1,771.6,2026-04-07T19:03:18.809Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,8,0,657,175,646,199,26.40,1,771.7,2026-04-07T19:03:20.544Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,9,0,404,331,409,358,27.46,1,633.7,2026-04-07T19:03:22.143Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,10,0,501,358,484,340,24.76,1,741.1,2026-04-07T19:03:23.846Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,11,0,120,51,142,76,33.30,1,702.1,2026-04-07T19:03:25.509Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,12,0,143,113,123,127,24.41,1,738.3,2026-04-07T19:03:27.209Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,13,0,508,360,510,349,11.18,1,620.7,2026-04-07T19:03:28.792Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,14,0,305,146,308,144,3.61,1,588.2,2026-04-07T19:03:30.343Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,15,0,341,111,322,129,26.17,1,622.5,2026-04-07T19:03:31.927Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,16,0,452,449,452,428,21.00,1,805.2,2026-04-07T19:03:33.692Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,17,0,157,50,202,58,45.71,0,671.2,2026-04-07T19:03:35.325Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,18,0,125,244,122,232,12.37,1,638.5,2026-04-07T19:03:36.925Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,19,0,536,432,511,423,26.57,1,687.9,2026-04-07T19:03:38.575Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,20,0,54,320,85,319,31.02,1,588.0,2026-04-07T19:03:40.126Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,21,0,287,237,252,246,36.14,0,555.1,2026-04-07T19:03:41.642Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,22,0,701,283,704,299,16.28,1,820.6,2026-04-07T19:03:43.426Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,23,0,493,116,467,119,26.17,1,670.9,2026-04-07T19:03:45.059Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,24,0,376,249,384,252,8.54,1,560.7,2026-04-07T19:03:46.576Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,25,0,508,436,479,384,59.54,0,707.2,2026-04-07T19:03:48.244Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,26,0,286,167,306,126,45.62,0,671.1,2026-04-07T19:03:49.876Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,27,0,655,282,640,276,16.16,1,888.4,2026-04-07T19:03:51.726Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,28,0,137,254,126,268,17.80,1,610.1,2026-04-07T19:03:53.292Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,29,0,568,191,594,173,31.62,1,621.2,2026-04-07T19:03:54.876Z
Liam,VA,18-24,Trackpad,Rarely,1,visual,30,0,659,133,669,125,12.81,1,606.7,2026-04-07T19:03:56.443Z
