participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Madison,AV,18-24,Trackpad,Never,1,auditory,1,0,615,213,636,218,21.48,1,879.4,2026-04-07T19:30:30.651Z
Madison,AV,18-24,Trackpad,Never,1,auditory,2,0,524,344,538,360,20.89,1,657.5,2026-04-07T19:30:32.262Z
Madison,AV,18-24,Trackpad,Never,1,auditory,3,0,270,89,274,100,11.24,1,692.2,2026-04-07T19:30:33.907Z
Madison,AV,18-24,Trackpad,Never,1,auditory,4,0,737,307,728,298,13.09,1,858.7,2026-04-07T19:30:35.717Z
Madison,AV,18-24,Trackpad,Never,1,auditory,5,0,454,430,447,425,8.90,1,723.0,2026-04-07T19:30:37.393Z
Madison,AV,18-24,Trackpad,Never,1,auditory,6,0,157,247,142,234,20.18,1,673.8,2026-04-07T19:30:39.019Z
Madison,AV,18-24,Trackpad,Never,1,auditory,7,0,661,136,654,138,7.16,1,863.8,2026-04-07T19:30:40.835Z
Madison,AV,18-24,Trackpad,Never,1,auditory,8,0,296,78,291,95,17.24,1,603.7,2026-04-07T19:30:42.392Z
Madison,AV,18-24,Trackpad,Never,1,auditory,9,0,651,244,661,262,20.16,1,739.4,2026-04-07T19:30:44.084Z
Madison,AV,18-24,Trackpad,Never,1,auditory,10,0,740,304,749,316,14.60,1,817.9,2026-04-07T19:30:45.856Z
Madison,AV,18-24,Trackpad,Never,1,auditory,11,0,612,60,620,70,12.42,1,663.2,2026-04-07T19:30:47.471Z
Madison,AV,18-24,Trackpad,Never,1,auditory,12,0,106,213,116,190,25.54,1,748.7,2026-04-07T19:30:49.171Z
Madison,AV,18-24,Trackpad,Never,1,auditory,13,0,468,229,481,226,13.46,1,858.5,2026-04-07T19:30:50.982Z
Madison,AV,18-24,Trackpad,Never,1,auditory,14,0,435,140,450,163,27.04,1,566.8,2026-04-07T19:30:52.502Z
Madison,AV,18-24,Trackpad,Never,1,auditory,15,0,85,205,108,224,29.52,1,616.9,2026-04-07T19:30:54.072Z
Madison,AV,18-24,Trackpad,Never,1,auditory,16,0,121,408,118,417,9.01,1,878.2,2026-04-07T19:30:55.902Z
Madison,AV,18-24,Trackpad,Never,1,auditory,17,0,698,304,735,312,37.75,0,705.5,2026-04-07T19:30:57.559Z
Madison,AV,18-24,Trackpad,Never,1,auditory,18,0,708,436,708,468,31.50,1,838.2,2026-04-07T19:30:59.350Z
Madison,AV,18-24,Trackpad,Never,1,auditory,19,0,667,129,677,125,10.97,1,735.2,2026-04-07T19:31:01.038Z
Madison,AV,18-24,Trackpad,Never,1,auditory,20,0,631,217,643,264,48.02,0,610.1,2026-04-07T19:31:02.599Z
Madison,AV,18-24,Trackpad,Never,1,auditory,21,0,496,208,458,192,41.43,0,567.3,2026-04-07T19:31:04.119Z
Madison,AV,18-24,Trackpad,Never,1,auditory,22,0,209,197,202,209,13.46,1,703.8,2026-04-07T19:31:05.775Z
Madison,AV,18-24,Trackpad,Never,1,auditory,23,0,310,325,328,330,18.55,1,838.2,2026-04-07T19:31:07.566Z
Madison,AV,18-24,Trackpad,Never,1,auditory,24,0,241,102,260,131,34.25,1,643.6,2026-04-07T19:31:09.162Z
Madison,AV,18-24,Trackpad,Never,1,auditory,25,0,721,338,734,336,13.24,1,819.0,2026-04-07T19:31:10.934Z
Madison,AV,18-24,Trackpad,Never,1,auditory,26,0,270,351,254,344,17.67,1,989.8,2026-04-07T19:31:12.877Z
Madison,AV,18-24,Trackpad,Never,1,auditory,27,0,482,53,482,41,12.50,1,921.9,2026-04-07T19:31:14.751Z
Madison,AV,18-24,Trackpad,Never,1,auditory,28,0,626,450,626,467,16.50,1,897.4,2026-04-07T19:31:16.602Z
Madison,AV,18-24,Trackpad,Never,1,auditory,29,0,594,183,604,189,11.41,1,741.3,2026-04-07T19:31:18.296Z
Madison,AV,18-24,Trackpad,Never,1,auditory,30,0,403,126,400,124,3.91,1,732.8,2026-04-07T19:31:19.982Z
Madison,AV,18-24,Trackpad,Never,2,visual,1,0,555,104,584,117,31.58,1,609.3,2026-04-07T19:31:38.168Z
Madison,AV,18-24,Trackpad,Never,2,visual,2,0,472,417,477,427,10.74,1,771.1,2026-04-07T19:31:39.891Z
Madison,AV,18-24,Trackpad,Never,2,visual,3,0,560,252,540,269,25.93,1,710.9,2026-04-07T19:31:41.554Z
Madison,AV,18-24,Trackpad,Never,2,visual,4,0,333,341,333,361,19.50,1,644.6,2026-04-07T19:31:43.149Z
