participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Marco,AV,18-24,Trackpad,Weekly,1,auditory,1,0,677,76,673,78,4.22,1,821.0,2026-04-07T19:27:23.035Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,2,0,414,205,421,200,8.92,1,672.0,2026-04-07T19:27:24.705Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,3,0,322,153,318,129,24.71,1,631.0,2026-04-07T19:27:26.307Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,4,0,385,389,363,373,27.36,1,780.0,2026-04-07T19:27:28.052Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,5,0,326,445,323,430,15.67,1,655.0,2026-04-07T19:27:29.683Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,6,0,272,394,312,404,41.23,0,692.0,2026-04-07T19:27:31.352Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,7,0,191,334,228,346,38.87,0,586.0,2026-04-07T19:27:32.907Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,8,0,135,345,134,348,2.75,1,552.0,2026-04-07T19:27:34.433Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,9,0,619,174,631,185,16.09,1,809.0,2026-04-07T19:27:36.207Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,10,0,516,204,511,204,4.92,1,527.0,2026-04-07T19:27:37.687Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,11,0,239,331,232,326,8.76,1,681.0,2026-04-07T19:27:39.342Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,12,0,390,88,381,85,9.53,1,815.0,2026-04-07T19:27:41.133Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,13,0,73,106,97,105,24.14,1,812.0,2026-04-07T19:27:42.917Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,14,0,150,81,154,75,7.60,1,621.0,2026-04-07T19:27:44.512Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,15,0,361,337,354,339,7.08,1,661.0,2026-04-07T19:27:46.143Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,16,0,707,377,711,374,5.33,1,1048.0,2026-04-07T19:27:48.155Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,17,0,404,89,397,92,7.37,1,1014.0,2026-04-07T19:27:50.136Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,18,0,417,105,409,109,8.68,1,588.0,2026-04-07T19:27:51.692Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,19,0,240,79,260,87,21.49,1,844.0,2026-04-07T19:27:53.505Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,20,0,304,87,313,103,18.06,1,584.0,2026-04-07T19:27:55.054Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,21,0,464,203,491,214,29.10,1,586.0,2026-04-07T19:27:56.610Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,22,0,123,128,96,119,28.50,1,1017.0,2026-04-07T19:27:58.607Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,23,0,710,418,657,419,52.90,0,611.0,2026-04-07T19:28:00.194Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,24,0,137,191,164,209,32.31,1,484.0,2026-04-07T19:28:01.643Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,25,0,541,174,502,191,42.29,0,511.0,2026-04-07T19:28:03.123Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,26,0,713,83,750,74,38.27,0,720.0,2026-04-07T19:28:04.815Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,27,0,276,342,267,369,28.05,1,525.0,2026-04-07T19:28:06.311Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,28,0,249,360,267,369,20.04,1,483.0,2026-04-07T19:28:07.767Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,29,0,293,218,302,227,12.52,1,608.0,2026-04-07T19:28:09.347Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,30,0,650,447,659,432,17.89,1,825.0,2026-04-07T19:28:11.132Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,31,0,637,217,626,228,15.20,1,888.0,2026-04-07T19:28:12.993Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,32,0,255,114,277,124,24.10,1,715.0,2026-04-07T19:28:14.686Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,33,0,725,401,719,409,9.62,1,850.0,2026-04-07T19:28:16.516Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,34,0,584,184,582,192,7.83,1,631.0,2026-04-07T19:28:18.110Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,35,0,514,329,524,356,28.45,1,616.0,2026-04-07T19:28:19.689Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,36,0,660,237,638,259,30.76,1,782.0,2026-04-07T19:28:21.435Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,37,0,433,120,444,128,13.45,1,664.0,2026-04-07T19:28:23.067Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,38,0,691,384,697,385,6.13,1,942.0,2026-04-07T19:28:24.985Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,39,0,686,353,700,366,18.91,1,588.0,2026-04-07T19:28:26.540Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,40,0,267,236,270,251,14.93,1,729.0,2026-04-07T19:28:28.240Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,41,0,482,62,471,70,13.29,1,799.0,2026-04-07T19:28:30.018Z
Marco,AV,18-24,Trackpad,Weekly,1,auditory,42,0,294,87,287,97,11.82,1,524.0,2026-04-07T19:28:31.506Z
