participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Marki,VA,18-24,Mouse,Weekly,1,visual,1,0,514,333,517,348,14.81,1,619.0,2026-04-07T19:12:43.168Z
Marki,VA,18-24,Mouse,Weekly,1,visual,2,0,135,52,128,50,7.43,1,681.0,2026-04-07T19:12:44.815Z
Marki,VA,18-24,Mouse,Weekly,1,visual,3,0,240,161,222,148,22.50,1,559.0,2026-04-07T19:12:46.336Z
Marki,VA,18-24,Mouse,Weekly,1,visual,4,0,447,89,446,84,5.59,1,759.0,2026-04-07T19:12:48.073Z
Marki,VA,18-24,Mouse,Weekly,1,visual,5,0,116,134,113,141,7.16,1,662.0,2026-04-07T19:12:49.737Z
Marki,VA,18-24,Mouse,Weekly,1,visual,6,0,674,120,680,112,10.40,1,656.0,2026-04-07T19:12:51.366Z
Marki,VA,18-24,Mouse,Weekly,1,visual,7,0,662,81,665,88,7.16,1,605.0,2026-04-07T19:12:52.936Z
Marki,VA,18-24,Mouse,Weekly,1,visual,8,0,536,324,545,346,23.31,1,630.0,2026-04-07T19:12:54.531Z
Marki,VA,18-24,Mouse,Weekly,1,visual,9,0,256,294,257,292,2.69,1,729.0,2026-04-07T19:12:56.223Z
Marki,VA,18-24,Mouse,Weekly,1,visual,10,0,91,403,85,415,12.97,1,698.0,2026-04-07T19:12:57.896Z
Marki,VA,18-24,Mouse,Weekly,1,visual,11,0,415,422,411,423,4.03,1,550.0,2026-04-07T19:12:59.411Z
Marki,VA,18-24,Mouse,Weekly,1,visual,12,0,94,290,81,300,16.10,1,822.0,2026-04-07T19:13:01.207Z
Marki,VA,18-24,Mouse,Weekly,1,visual,13,0,62,375,54,382,10.31,1,799.0,2026-04-07T19:13:02.972Z
Marki,VA,18-24,Mouse,Weekly,1,visual,14,0,579,225,572,236,12.62,1,745.0,2026-04-07T19:13:04.694Z
Marki,VA,18-24,Mouse,Weekly,1,visual,15,0,437,388,456,390,19.06,1,630.0,2026-04-07T19:13:06.291Z
Marki,VA,18-24,Mouse,Weekly,1,visual,16,0,619,285,610,298,15.40,1,594.0,2026-04-07T19:13:07.856Z
Marki,VA,18-24,Mouse,Weekly,1,visual,17,0,459,63,451,70,10.31,1,628.0,2026-04-07T19:13:09.462Z
Marki,VA,18-24,Mouse,Weekly,1,visual,18,0,250,368,237,378,16.10,1,625.0,2026-04-07T19:13:11.056Z
Marki,VA,18-24,Mouse,Weekly,1,visual,19,0,694,328,701,320,11.01,1,668.0,2026-04-07T19:13:12.702Z
Marki,VA,18-24,Mouse,Weekly,1,visual,20,0,293,357,286,368,12.62,1,548.0,2026-04-07T19:13:14.213Z
Marki,VA,18-24,Mouse,Weekly,1,visual,21,0,547,237,538,239,9.12,1,554.0,2026-04-07T19:13:15.741Z
Marki,VA,18-24,Mouse,Weekly,1,visual,22,0,556,309,558,329,19.60,1,653.0,2026-04-07T19:13:17.372Z
Marki,VA,18-24,Mouse,Weekly,1,visual,23,0,183,201,195,206,12.82,1,608.0,2026-04-07T19:13:18.947Z
Marki,VA,18-24,Mouse,Weekly,1,visual,24,0,102,410,69,416,33.46,1,646.0,2026-04-07T19:13:20.572Z
Marki,VA,18-24,Mouse,Weekly,1,visual,25,0,585,201,573,206,12.82,1,649.0,2026-04-07T19:13:22.199Z
Marki,VA,18-24,Mouse,Weekly,1,visual,26,0,660,429,659,427,2.69,1,756.0,2026-04-07T19:13:23.923Z
Marki,VA,18-24,Mouse,Weekly,1,visual,27,0,282,382,297,378,15.66,1,631.0,2026-04-07T19:13:25.521Z
Marki,VA,18-24,Mouse,Weekly,1,visual,28,0,443,408,441,409,2.06,1,553.0,2026-04-07T19:13:27.041Z
Marki,VA,18-24,Mouse,Weekly,1,visual,29,0,402,418,403,431,12.54,1,585.0,2026-04-07T19:13:28.593Z
Marki,VA,18-24,Mouse,Weekly,1,visual,30,0,445,395,446,394,1.80,1,592.0,2026-04-07T19:13:30.150Z
