participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,1,0,479,79,473,81,6.89,1,1032.0,2026-04-07T19:34:39.874Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,2,0,432,131,430,129,3.03,1,864.0,2026-04-07T19:34:41.690Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,3,0,137,393,135,397,4.97,1,799.0,2026-04-07T19:34:43.440Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,4,0,52,131,51,144,13.38,1,1017.0,2026-04-07T19:34:45.408Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,5,0,380,327,372,335,11.88,1,898.0,2026-04-07T19:34:47.257Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,6,0,367,412,368,413,1.39,1,732.0,2026-04-07T19:34:48.940Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,7,0,414,220,418,217,4.42,1,899.0,2026-04-07T19:34:50.790Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,8,0,447,257,452,265,9.44,1,700.0,2026-04-07T19:34:52.440Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,9,0,258,353,260,355,2.74,1,865.0,2026-04-07T19:34:54.257Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,10,0,127,208,124,206,3.89,1,1165.0,2026-04-07T19:34:56.373Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,11,0,645,438,642,438,3.51,1,1015.0,2026-04-07T19:34:58.340Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,12,0,305,201,295,207,12.24,1,1065.0,2026-04-07T19:35:00.357Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,13,0,86,171,88,154,16.77,1,799.0,2026-04-07T19:35:02.107Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,14,0,626,366,645,364,18.58,1,849.0,2026-04-07T19:35:03.907Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,15,0,124,213,143,213,18.50,1,782.0,2026-04-07T19:35:05.640Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,16,0,556,57,541,73,22.49,1,732.0,2026-04-07T19:35:07.323Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,17,0,423,375,419,379,6.22,1,715.0,2026-04-07T19:35:08.990Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,18,0,65,350,56,340,13.58,1,799.0,2026-04-07T19:35:10.740Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,19,0,109,132,105,146,14.99,1,799.0,2026-04-07T19:35:12.490Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,20,0,134,146,130,150,6.22,1,849.0,2026-04-07T19:35:14.290Z
Mary Frances,AV,18-24,Trackpad,Rarely,1,auditory,21,0,555,55,562,46,10.86,1,834.0,2026-04-07T19:35:16.075Z
