participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,1,0,123,421,109,422,13.57,1,764.0,2026-04-07T19:01:27.380Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,2,0,541,360,581,374,42.46,0,498.0,2026-04-07T19:01:28.830Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,3,0,88,394,103,404,18.34,1,616.0,2026-04-07T19:01:30.398Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,4,0,155,397,157,354,42.98,0,647.0,2026-04-07T19:01:31.997Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,5,0,616,179,603,199,23.74,1,598.0,2026-04-07T19:01:33.547Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,6,0,724,170,738,173,14.62,1,649.0,2026-04-07T19:01:35.148Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,7,0,192,427,205,400,30.10,1,615.0,2026-04-07T19:01:36.715Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,8,0,375,131,402,139,28.19,1,614.0,2026-04-07T19:01:38.280Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,9,0,301,409,310,414,10.59,1,517.0,2026-04-07T19:01:39.749Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,10,0,689,157,700,153,12.15,1,914.0,2026-04-07T19:01:41.615Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,11,0,357,276,370,282,14.64,1,498.0,2026-04-07T19:01:43.065Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,12,0,68,159,100,173,34.46,1,700.0,2026-04-07T19:01:44.716Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,13,0,292,222,314,227,22.92,1,498.0,2026-04-07T19:01:46.165Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,14,0,362,282,376,278,14.56,1,498.0,2026-04-07T19:01:47.615Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,15,0,89,74,117,75,28.45,1,616.0,2026-04-07T19:01:49.183Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,16,0,661,300,673,290,15.09,1,565.0,2026-04-07T19:01:50.700Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,17,0,743,251,736,247,7.99,1,1847.0,2026-04-07T19:01:53.499Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,18,0,644,265,629,278,20.26,1,1547.0,2026-04-07T19:01:55.998Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,19,0,230,170,241,177,12.84,1,599.0,2026-04-07T19:01:57.548Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,20,0,524,230,549,237,26.12,1,515.0,2026-04-07T19:01:59.015Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,21,0,200,393,211,386,13.04,1,616.0,2026-04-07T19:02:00.582Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,22,0,726,94,760,68,43.26,0,564.0,2026-04-07T19:02:02.099Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,23,0,397,334,424,334,26.88,1,533.0,2026-04-07T19:02:03.583Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,24,0,412,254,426,243,17.93,1,464.0,2026-04-07T19:02:04.999Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,25,0,685,237,677,227,13.27,1,566.0,2026-04-07T19:02:06.516Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,26,0,279,100,289,109,13.33,1,615.0,2026-04-07T19:02:08.082Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,27,0,621,254,627,259,7.42,1,482.0,2026-04-07T19:02:09.515Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,28,0,353,94,356,97,4.65,1,532.0,2026-04-07T19:02:10.999Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,29,0,474,58,460,52,15.67,1,565.0,2026-04-07T19:02:12.515Z
Mike Hawk,AV,18-24,Other,Weekly,1,auditory,30,0,614,80,595,95,24.42,1,566.0,2026-04-07T19:02:14.033Z
