participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Misha,AV,18-24,Other,Weekly,1,auditory,1,0,426,355,430,347,8.51,1,743.0,2026-04-07T19:58:53.349Z
Misha,AV,18-24,Other,Weekly,1,auditory,2,0,713,284,698,270,20.72,1,632.0,2026-04-07T19:58:54.935Z
Misha,AV,18-24,Other,Weekly,1,auditory,3,0,180,61,175,56,6.82,1,719.0,2026-04-07T19:58:56.606Z
Misha,AV,18-24,Other,Weekly,1,auditory,4,0,162,104,152,113,13.37,1,660.0,2026-04-07T19:58:58.219Z
Misha,AV,18-24,Other,Weekly,1,auditory,5,0,70,161,61,161,8.64,1,616.0,2026-04-07T19:58:59.786Z
Misha,AV,18-24,Other,Weekly,1,auditory,6,0,131,359,139,359,7.65,1,637.0,2026-04-07T19:59:01.374Z
Misha,AV,18-24,Other,Weekly,1,auditory,7,0,623,215,616,227,13.78,1,578.0,2026-04-07T19:59:02.904Z
Misha,AV,18-24,Other,Weekly,1,auditory,8,0,665,139,655,131,12.95,1,616.0,2026-04-07T19:59:04.472Z
Misha,AV,18-24,Other,Weekly,1,auditory,9,0,533,308,536,295,13.43,1,565.0,2026-04-07T19:59:05.988Z
Misha,AV,18-24,Other,Weekly,1,auditory,10,0,741,54,730,36,21.42,1,668.0,2026-04-07T19:59:07.608Z
Misha,AV,18-24,Other,Weekly,1,auditory,11,0,258,213,282,234,31.51,1,587.0,2026-04-07T19:59:09.146Z
Misha,AV,18-24,Other,Weekly,1,auditory,12,0,61,52,70,54,9.68,1,743.0,2026-04-07T19:59:10.843Z
Misha,AV,18-24,Other,Weekly,1,auditory,13,0,295,165,307,179,18.39,1,615.0,2026-04-07T19:59:12.410Z
Misha,AV,18-24,Other,Weekly,1,auditory,14,0,102,251,111,261,13.63,1,668.0,2026-04-07T19:59:14.030Z
Misha,AV,18-24,Other,Weekly,1,auditory,15,0,243,224,248,206,18.27,1,597.0,2026-04-07T19:59:15.579Z
Misha,AV,18-24,Other,Weekly,1,auditory,16,0,560,253,570,252,10.52,1,584.0,2026-04-07T19:59:17.114Z
Misha,AV,18-24,Other,Weekly,1,auditory,17,0,395,313,384,311,11.11,1,581.0,2026-04-07T19:59:18.648Z
Misha,AV,18-24,Other,Weekly,1,auditory,18,0,84,384,89,406,22.83,1,687.0,2026-04-07T19:59:20.287Z
Misha,AV,18-24,Other,Weekly,1,auditory,19,0,733,211,714,206,19.91,1,617.0,2026-04-07T19:59:21.855Z
Misha,AV,18-24,Other,Weekly,1,auditory,20,0,654,341,670,354,21.02,1,677.0,2026-04-07T19:59:23.485Z
Misha,AV,18-24,Other,Weekly,1,auditory,21,0,348,323,359,315,13.42,1,516.0,2026-04-07T19:59:24.952Z
Misha,AV,18-24,Other,Weekly,1,auditory,22,0,290,400,302,400,12.28,1,600.0,2026-04-07T19:59:26.503Z
Misha,AV,18-24,Other,Weekly,1,auditory,23,0,428,395,445,384,20.83,1,765.0,2026-04-07T19:59:28.220Z
Misha,AV,18-24,Other,Weekly,1,auditory,24,0,714,140,695,156,24.73,1,670.0,2026-04-07T19:59:29.841Z
Misha,AV,18-24,Other,Weekly,1,auditory,25,0,133,415,125,415,8.01,1,593.0,2026-04-07T19:59:31.387Z
Misha,AV,18-24,Other,Weekly,1,auditory,26,0,257,101,234,100,22.96,1,638.0,2026-04-07T19:59:32.975Z
Misha,AV,18-24,Other,Weekly,1,auditory,27,0,328,303,316,306,12.55,1,617.0,2026-04-07T19:59:34.545Z
Misha,AV,18-24,Other,Weekly,1,auditory,28,0,680,167,673,156,12.89,1,599.0,2026-04-07T19:59:36.095Z
Misha,AV,18-24,Other,Weekly,1,auditory,29,0,640,231,670,240,31.89,1,603.0,2026-04-07T19:59:37.651Z
