participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Moira,AV,18-24,Trackpad,Never,1,auditory,1,0,131,192,154,195,23.47,1,1231.4,2026-04-05T23:39:13.875Z
Moira,AV,18-24,Trackpad,Never,1,auditory,2,0,593,356,590,357,2.71,1,891.8,2026-04-05T23:39:15.726Z
Moira,AV,18-24,Trackpad,Never,1,auditory,3,0,350,222,352,225,3.42,1,1129.4,2026-04-05T23:39:17.806Z
Moira,AV,18-24,Trackpad,Never,1,auditory,4,0,606,170,600,173,6.19,1,1203.9,2026-04-05T23:39:19.970Z
Moira,AV,18-24,Trackpad,Never,1,auditory,5,0,646,427,640,431,6.66,1,1053.7,2026-04-05T23:39:21.987Z
Moira,AV,18-24,Trackpad,Never,1,auditory,6,0,51,338,59,342,9.04,1,1073.3,2026-04-05T23:39:24.017Z
Moira,AV,18-24,Trackpad,Never,1,auditory,7,0,282,60,281,66,5.54,1,1211.5,2026-04-05T23:39:26.189Z
Moira,AV,18-24,Trackpad,Never,1,auditory,8,0,289,198,308,197,19.39,1,1072.5,2026-04-05T23:39:28.225Z
Moira,AV,18-24,Trackpad,Never,1,auditory,9,0,233,306,226,309,7.12,1,770.3,2026-04-05T23:39:29.947Z
Moira,AV,18-24,Trackpad,Never,1,auditory,10,0,582,229,579,240,10.83,1,648.9,2026-04-05T23:39:31.549Z
Moira,AV,18-24,Trackpad,Never,1,auditory,11,0,700,329,716,319,19.42,1,671.1,2026-04-05T23:39:33.178Z
Moira,AV,18-24,Trackpad,Never,1,auditory,12,0,648,109,638,101,12.87,1,854.2,2026-04-05T23:39:34.987Z
Moira,AV,18-24,Trackpad,Never,1,auditory,13,0,636,421,646,419,10.63,1,902.4,2026-04-05T23:39:36.846Z
Moira,AV,18-24,Trackpad,Never,1,auditory,14,0,167,119,151,129,18.32,1,680.6,2026-04-05T23:39:38.481Z
Moira,AV,18-24,Trackpad,Never,1,auditory,15,0,510,197,504,196,5.86,1,1561.7,2026-04-05T23:39:40.996Z
Moira,AV,18-24,Trackpad,Never,1,auditory,16,0,281,115,293,117,12.42,1,780.2,2026-04-05T23:39:42.735Z
Moira,AV,18-24,Trackpad,Never,1,auditory,17,0,502,225,509,229,8.13,1,732.0,2026-04-05T23:39:44.421Z
Moira,AV,18-24,Trackpad,Never,1,auditory,18,0,206,157,220,155,14.55,1,658.4,2026-04-05T23:39:46.036Z
Moira,AV,18-24,Trackpad,Never,1,auditory,19,0,391,450,396,447,6.38,1,763.5,2026-04-05T23:39:47.752Z
Moira,AV,18-24,Trackpad,Never,1,auditory,20,0,211,290,207,291,3.70,1,731.2,2026-04-05T23:39:49.452Z
Moira,AV,18-24,Trackpad,Never,1,auditory,21,0,87,378,81,374,7.24,1,730.7,2026-04-05T23:39:51.140Z
Moira,AV,18-24,Trackpad,Never,1,auditory,22,0,597,165,613,164,16.40,1,827.2,2026-04-05T23:39:52.926Z
Moira,AV,18-24,Trackpad,Never,1,auditory,23,0,419,439,420,426,13.57,1,771.2,2026-04-05T23:39:54.648Z
Moira,AV,18-24,Trackpad,Never,1,auditory,24,0,560,133,560,120,13.50,1,774.5,2026-04-05T23:39:56.379Z
Moira,AV,18-24,Trackpad,Never,1,auditory,25,0,186,129,188,135,5.97,1,797.3,2026-04-05T23:39:58.134Z
Moira,AV,18-24,Trackpad,Never,1,auditory,26,0,285,84,294,85,9.35,1,805.2,2026-04-05T23:39:59.897Z
Moira,AV,18-24,Trackpad,Never,1,auditory,27,0,565,375,558,397,22.51,1,699.6,2026-04-05T23:40:01.555Z
Moira,AV,18-24,Trackpad,Never,1,auditory,28,0,384,54,398,47,16.18,1,922.9,2026-04-05T23:40:03.432Z
Moira,AV,18-24,Trackpad,Never,1,auditory,29,0,670,173,672,164,9.78,1,942.8,2026-04-05T23:40:05.331Z
Moira,AV,18-24,Trackpad,Never,1,auditory,30,0,645,408,637,389,20.95,1,918.6,2026-04-05T23:40:07.206Z
Moira,AV,18-24,Trackpad,Never,2,visual,1,0,688,90,687,102,11.52,1,844.5,2026-04-05T23:41:07.711Z
Moira,AV,18-24,Trackpad,Never,2,visual,2,0,240,59,246,61,6.51,1,1056.7,2026-04-05T23:41:09.721Z
Moira,AV,18-24,Trackpad,Never,2,visual,3,0,458,249,466,247,8.70,1,888.4,2026-04-05T23:41:11.565Z
Moira,AV,18-24,Trackpad,Never,2,visual,4,0,675,213,654,203,23.18,1,725.5,2026-04-05T23:41:13.245Z
Moira,AV,18-24,Trackpad,Never,2,visual,5,0,692,339,675,347,18.28,1,703.6,2026-04-05T23:41:14.902Z
Moira,AV,18-24,Trackpad,Never,2,visual,6,0,295,181,285,177,10.66,1,982.0,2026-04-05T23:41:16.836Z
Moira,AV,18-24,Trackpad,Never,2,visual,7,0,562,236,585,251,27.47,1,844.9,2026-04-05T23:41:18.633Z
Moira,AV,18-24,Trackpad,Never,2,visual,8,0,83,311,112,313,29.37,1,865.4,2026-04-05T23:41:20.454Z
Moira,AV,18-24,Trackpad,Never,2,visual,9,0,159,439,166,450,12.81,1,749.4,2026-04-05T23:41:22.156Z
Moira,AV,18-24,Trackpad,Never,2,visual,10,0,512,191,511,183,8.53,1,897.6,2026-04-05T23:41:24.007Z
Moira,AV,18-24,Trackpad,Never,2,visual,11,0,264,429,256,431,7.81,1,794.7,2026-04-05T23:41:25.761Z
Moira,AV,18-24,Trackpad,Never,2,visual,12,0,74,376,78,382,7.00,1,660.0,2026-04-05T23:41:27.381Z
Moira,AV,18-24,Trackpad,Never,2,visual,13,0,470,290,485,280,18.58,1,983.3,2026-04-05T23:41:29.315Z
Moira,AV,18-24,Trackpad,Never,2,visual,14,0,742,278,731,283,11.58,1,980.1,2026-04-05T23:41:31.252Z
Moira,AV,18-24,Trackpad,Never,2,visual,15,0,197,105,194,108,3.66,1,726.9,2026-04-05T23:41:32.936Z
Moira,AV,18-24,Trackpad,Never,2,visual,16,0,156,67,173,89,27.62,1,731.6,2026-04-05T23:41:34.629Z
Moira,AV,18-24,Trackpad,Never,2,visual,17,0,112,322,108,349,26.75,1,712.2,2026-04-05T23:41:36.304Z
Moira,AV,18-24,Trackpad,Never,2,visual,18,0,440,448,438,453,4.80,1,885.6,2026-04-05T23:41:38.144Z
Moira,AV,18-24,Trackpad,Never,2,visual,19,0,56,425,44,421,12.50,1,851.0,2026-04-05T23:41:39.948Z
Moira,AV,18-24,Trackpad,Never,2,visual,20,0,195,401,188,407,8.64,1,808.6,2026-04-05T23:41:41.710Z
Moira,AV,18-24,Trackpad,Never,2,visual,21,0,703,203,720,204,17.34,1,996.2,2026-04-05T23:41:43.663Z
Moira,AV,18-24,Trackpad,Never,2,visual,22,0,161,324,174,311,18.97,1,1123.0,2026-04-05T23:41:45.743Z
Moira,AV,18-24,Trackpad,Never,2,visual,23,0,466,334,502,337,36.42,0,630.3,2026-04-05T23:41:47.329Z
Moira,AV,18-24,Trackpad,Never,2,visual,24,0,89,257,80,257,8.68,1,991.5,2026-04-05T23:41:49.280Z
Moira,AV,18-24,Trackpad,Never,2,visual,25,0,157,103,162,92,12.68,1,776.0,2026-04-05T23:41:51.012Z
