participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,1,0,59,436,55,433,5.32,1,591.3,2026-04-07T22:08:10.503Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,2,0,438,110,439,118,7.57,1,442.7,2026-04-07T22:08:11.899Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,3,0,584,54,577,50,8.32,1,523.4,2026-04-07T22:08:13.376Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,4,0,256,176,260,179,4.72,1,449.5,2026-04-07T22:08:14.781Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,5,0,525,415,530,419,6.10,1,558.0,2026-04-07T22:08:16.294Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,6,0,187,268,188,274,5.59,1,543.6,2026-04-07T22:08:17.794Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,7,0,191,420,177,419,14.08,1,540.4,2026-04-07T22:08:19.290Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,8,0,377,202,380,203,3.04,1,399.5,2026-04-07T22:08:20.643Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,9,0,637,346,634,348,3.35,1,565.5,2026-04-07T22:08:22.163Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,10,0,461,266,473,276,15.31,1,459.1,2026-04-07T22:08:23.578Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,11,0,553,382,551,377,5.85,1,532.2,2026-04-07T22:08:25.067Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,12,0,440,396,441,395,1.80,1,612.5,2026-04-07T22:08:26.634Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,13,0,74,245,67,240,8.90,1,586.1,2026-04-07T22:08:28.178Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,14,0,375,260,378,264,4.61,1,467.9,2026-04-07T22:08:29.601Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,15,0,445,89,438,94,8.32,1,496.4,2026-04-07T22:08:31.053Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,16,0,202,350,201,359,8.56,1,522.1,2026-04-07T22:08:32.531Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,17,0,219,141,223,145,5.32,1,527.6,2026-04-07T22:08:34.016Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,18,0,131,199,119,197,12.26,1,514.7,2026-04-07T22:08:35.482Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,19,0,543,306,547,310,5.32,1,523.1,2026-04-07T22:08:36.964Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,20,0,557,74,549,84,12.42,1,627.6,2026-04-07T22:08:38.545Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,21,0,642,182,634,184,8.14,1,550.7,2026-04-07T22:08:40.051Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,22,0,690,139,683,139,7.02,1,562.7,2026-04-07T22:08:41.565Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,23,0,405,290,406,298,7.57,1,503.6,2026-04-07T22:08:43.021Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,24,0,132,280,126,290,11.24,1,527.7,2026-04-07T22:08:44.504Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,25,0,94,226,97,221,6.26,1,661.3,2026-04-07T22:08:46.123Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,26,0,669,424,641,424,28.00,1,593.4,2026-04-07T22:08:47.673Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,27,0,407,152,405,156,4.03,1,544.1,2026-04-07T22:08:49.172Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,28,0,599,185,580,187,19.06,1,565.0,2026-04-07T22:08:50.695Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,29,0,648,241,644,244,4.72,1,569.5,2026-04-07T22:08:52.220Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,30,0,534,364,535,361,3.64,1,591.8,2026-04-07T22:08:53.770Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,31,0,463,361,465,358,4.03,1,562.9,2026-04-07T22:08:55.290Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,32,0,433,250,428,253,5.59,1,551.9,2026-04-07T22:08:56.801Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,33,0,292,333,288,333,4.03,1,514.4,2026-04-07T22:08:58.271Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,34,0,656,60,644,57,12.50,1,552.5,2026-04-07T22:08:59.778Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,35,0,384,348,383,342,6.58,1,396.2,2026-04-07T22:09:01.131Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,36,0,650,161,641,158,9.66,1,587.5,2026-04-07T22:09:02.676Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,37,0,66,157,52,160,14.22,1,574.7,2026-04-07T22:09:04.206Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,38,0,648,53,640,51,8.38,1,552.1,2026-04-07T22:09:05.712Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,39,0,657,61,665,54,10.97,1,529.4,2026-04-07T22:09:07.195Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,40,0,700,410,701,405,5.59,1,571.6,2026-04-07T22:09:08.724Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,41,0,350,287,345,287,5.02,1,486.8,2026-04-07T22:09:10.165Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,42,0,69,317,83,314,14.43,1,648.7,2026-04-07T22:09:11.766Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,43,0,691,354,681,347,12.50,1,572.3,2026-04-07T22:09:13.294Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,44,0,309,225,315,223,6.50,1,514.7,2026-04-07T22:09:14.765Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,45,0,512,296,512,294,2.50,1,423.8,2026-04-07T22:09:16.148Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,46,0,732,315,716,310,16.92,1,557.1,2026-04-07T22:09:17.657Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,47,0,287,348,278,342,11.10,1,483.9,2026-04-07T22:09:19.096Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,48,0,510,296,506,304,8.50,1,502.2,2026-04-07T22:09:20.552Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,49,0,56,354,67,351,11.54,1,557.7,2026-04-07T22:09:22.066Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,50,0,552,229,550,230,2.06,1,468.9,2026-04-07T22:09:23.492Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,51,0,220,335,225,339,6.10,1,534.1,2026-04-07T22:09:24.981Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,52,0,204,251,193,254,11.28,1,494.1,2026-04-07T22:09:26.428Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,53,0,339,198,338,200,1.80,1,516.3,2026-04-07T22:09:27.901Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,54,0,456,261,456,268,6.50,1,362.4,2026-04-07T22:09:29.219Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,55,0,268,87,260,95,10.97,1,497.9,2026-04-07T22:09:30.675Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,56,0,250,182,258,183,8.02,1,462.3,2026-04-07T22:09:32.098Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,57,0,279,177,269,177,10.01,1,451.0,2026-04-07T22:09:33.504Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,58,0,304,405,311,397,11.01,1,515.0,2026-04-07T22:09:34.970Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,59,0,498,305,490,310,9.18,1,472.7,2026-04-07T22:09:36.400Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,1,visual,60,0,630,172,605,183,27.12,1,459.1,2026-04-07T22:09:37.818Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,1,0,114,133,116,135,2.50,1,570.9,2026-04-07T22:10:04.697Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,2,0,387,433,387,424,9.50,1,495.8,2026-04-07T22:10:06.149Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,3,0,655,317,637,312,18.82,1,538.1,2026-04-07T22:10:07.645Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,4,0,332,113,334,101,12.66,1,484.8,2026-04-07T22:10:09.083Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,5,0,237,425,239,422,4.03,1,511.0,2026-04-07T22:10:10.547Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,6,0,351,374,345,381,8.85,1,441.3,2026-04-07T22:10:11.942Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,7,0,331,259,332,264,4.61,1,405.6,2026-04-07T22:10:13.304Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,8,0,397,255,404,259,7.83,1,433.2,2026-04-07T22:10:14.692Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,9,0,223,211,214,210,9.12,1,431.4,2026-04-07T22:10:16.080Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,10,0,221,390,223,392,2.50,1,490.7,2026-04-07T22:10:17.528Z
NEED TO BEAT LC,VA,18-24,Mouse,Never,2,auditory,11,0,132,175,140,179,8.73,1,516.6,2026-04-07T22:10:18.998Z
