participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,1,0,707,435,684,435,23.49,1,665.0,2026-04-07T20:26:59.514Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,2,0,661,135,640,147,24.75,1,764.0,2026-04-07T20:27:01.229Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,3,0,260,431,264,429,4.40,1,599.0,2026-04-07T20:27:02.780Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,4,0,125,412,114,433,23.64,1,600.0,2026-04-07T20:27:04.331Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,5,0,411,426,433,420,22.80,1,583.0,2026-04-07T20:27:05.865Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,6,0,480,271,481,279,8.33,1,748.0,2026-04-07T20:27:07.565Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,7,0,476,117,484,103,15.54,1,781.0,2026-04-07T20:27:09.297Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,8,0,670,388,662,396,11.45,1,683.0,2026-04-07T20:27:10.932Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,9,0,53,98,53,86,12.19,1,715.0,2026-04-07T20:27:12.599Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,10,0,511,443,508,448,6.38,1,666.0,2026-04-07T20:27:14.216Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,11,0,401,262,391,268,11.61,1,716.0,2026-04-07T20:27:15.882Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,12,0,652,104,646,121,17.96,1,816.0,2026-04-07T20:27:17.650Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,13,0,480,296,486,292,6.75,1,733.0,2026-04-07T20:27:19.333Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,14,0,567,399,560,402,7.34,1,732.0,2026-04-07T20:27:21.017Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,15,0,111,331,134,347,28.28,1,682.0,2026-04-07T20:27:22.651Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,16,0,167,274,174,284,11.68,1,681.0,2026-04-07T20:27:24.282Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,17,0,561,100,554,95,8.96,1,868.0,2026-04-07T20:27:26.100Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,18,0,330,415,343,415,12.87,1,716.0,2026-04-07T20:27:27.767Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,19,0,50,144,68,147,18.44,1,884.0,2026-04-07T20:27:29.602Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,20,0,683,358,670,367,15.62,1,715.0,2026-04-07T20:27:31.269Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,21,0,493,62,477,66,16.58,1,833.0,2026-04-07T20:27:33.052Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,22,0,375,164,376,169,5.40,1,832.0,2026-04-07T20:27:34.835Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,23,0,620,208,622,207,2.37,1,783.0,2026-04-07T20:27:36.570Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,24,0,601,87,593,97,12.40,1,749.0,2026-04-07T20:27:38.270Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,25,0,505,131,508,134,4.16,1,814.0,2026-04-07T20:27:40.036Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,26,0,460,359,462,354,5.28,1,750.0,2026-04-07T20:27:41.738Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,27,0,143,167,156,185,22.00,1,832.0,2026-04-07T20:27:43.521Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,28,0,242,61,257,70,17.84,1,833.0,2026-04-07T20:27:45.305Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,29,0,472,441,468,444,4.93,1,798.0,2026-04-07T20:27:47.055Z
Nate Mendoza,VA,18-24,Other,Weekly,1,visual,30,0,429,266,429,268,2.28,1,782.0,2026-04-07T20:27:48.788Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,1,0,144,209,145,235,26.29,1,648.0,2026-04-07T20:28:10.545Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,2,0,307,281,323,288,17.54,1,649.0,2026-04-07T20:28:12.146Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,3,0,394,143,398,147,5.78,1,749.0,2026-04-07T20:28:13.846Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,4,0,680,132,670,141,13.05,1,699.0,2026-04-07T20:28:15.496Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,5,0,437,254,444,253,7.05,1,683.0,2026-04-07T20:28:17.131Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,6,0,235,361,235,369,8.34,1,630.0,2026-04-07T20:28:18.712Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,7,0,328,98,338,101,10.94,1,718.0,2026-04-07T20:28:20.381Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,8,0,88,391,81,402,13.13,1,1132.0,2026-04-07T20:28:22.464Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,9,0,339,299,354,295,15.48,1,715.0,2026-04-07T20:28:24.131Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,10,0,72,63,103,84,37.48,0,732.0,2026-04-07T20:28:25.814Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,11,0,355,370,371,387,23.58,1,714.0,2026-04-07T20:28:27.481Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,12,0,505,204,501,204,3.93,1,866.0,2026-04-07T20:28:29.299Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,13,0,148,87,149,92,5.60,1,781.0,2026-04-07T20:28:31.032Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,14,0,260,141,275,147,16.04,1,715.0,2026-04-07T20:28:32.699Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,15,0,113,364,123,374,14.01,1,949.0,2026-04-07T20:28:34.599Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,16,0,342,300,349,297,8.11,1,799.0,2026-04-07T20:28:36.349Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,17,0,524,206,527,215,10.10,1,949.0,2026-04-07T20:28:38.250Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,18,0,287,95,295,92,7.94,1,849.0,2026-04-07T20:28:40.051Z
Nate Mendoza,VA,18-24,Other,Weekly,2,auditory,19,0,84,97,103,99,19.40,1,814.0,2026-04-07T20:28:41.816Z
