participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Nate m,VA,18-24,Trackpad,Weekly,1,visual,1,0,455,421,445,417,10.66,1,681.0,2026-04-07T20:29:49.319Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,2,0,465,441,468,439,3.45,1,682.0,2026-04-07T20:29:50.952Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,3,0,58,123,54,120,4.83,1,815.0,2026-04-07T20:29:52.719Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,4,0,442,154,447,155,5.17,1,765.0,2026-04-07T20:29:54.436Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,5,0,287,441,291,440,4.06,1,634.0,2026-04-07T20:29:56.020Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,6,0,320,255,330,254,10.02,1,614.0,2026-04-07T20:29:57.586Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,7,0,587,112,582,99,13.65,1,782.0,2026-04-07T20:29:59.319Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,8,0,60,416,58,410,6.04,1,917.0,2026-04-07T20:30:01.187Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,9,0,120,353,108,352,12.02,1,699.0,2026-04-07T20:30:02.837Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,10,0,214,163,220,165,6.42,1,699.0,2026-04-07T20:30:04.487Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,11,0,669,225,660,220,10.15,1,599.0,2026-04-07T20:30:06.037Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,12,0,203,151,200,139,12.08,1,681.0,2026-04-07T20:30:07.670Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,13,0,572,50,575,36,14.03,1,799.0,2026-04-07T20:30:09.420Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,14,0,408,258,416,258,8.01,1,730.0,2026-04-07T20:30:11.102Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,15,0,715,187,713,188,2.38,1,700.0,2026-04-07T20:30:12.754Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,16,0,149,124,140,121,9.40,1,749.0,2026-04-07T20:30:14.453Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,17,0,626,404,634,408,9.08,1,748.0,2026-04-07T20:30:16.153Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,18,0,286,343,280,332,12.27,1,666.0,2026-04-07T20:30:17.770Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,19,0,255,428,251,434,7.46,1,648.0,2026-04-07T20:30:19.370Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,20,0,218,246,208,242,10.66,1,582.0,2026-04-07T20:30:20.904Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,21,0,398,147,406,134,15.01,1,748.0,2026-04-07T20:30:22.603Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,22,0,382,217,379,218,3.27,1,749.0,2026-04-07T20:30:24.304Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,23,0,278,375,277,366,8.76,1,698.0,2026-04-07T20:30:25.953Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,24,0,120,236,118,229,7.00,1,847.0,2026-04-07T20:30:27.752Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,25,0,651,353,646,348,6.86,1,734.0,2026-04-07T20:30:29.436Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,26,0,245,271,253,258,15.01,1,700.0,2026-04-07T20:30:31.087Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,27,0,161,145,161,135,9.70,1,748.0,2026-04-07T20:30:32.787Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,28,0,423,192,432,194,9.29,1,714.0,2026-04-07T20:30:34.453Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,29,0,403,102,408,94,9.18,1,799.0,2026-04-07T20:30:36.203Z
Nate m,VA,18-24,Trackpad,Weekly,1,visual,30,0,157,210,166,206,9.73,1,631.0,2026-04-07T20:30:37.786Z
