participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Navit,AV,18-24,Mouse,Rarely,1,auditory,1,0,90,338,77,338,13.01,1,757.0,2026-04-07T19:07:32.331Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,2,0,660,176,657,192,15.79,1,589.0,2026-04-07T19:07:33.897Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,3,0,419,52,431,57,12.82,1,707.0,2026-04-07T19:07:35.576Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,4,0,578,167,583,182,15.34,1,605.0,2026-04-07T19:07:37.148Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,5,0,431,254,405,300,52.40,0,451.0,2026-04-07T19:07:38.571Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,6,0,574,201,603,210,30.22,1,554.0,2026-04-07T19:07:40.101Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,7,0,609,88,581,112,36.55,0,720.0,2026-04-07T19:07:41.800Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,8,0,411,393,389,409,26.91,1,710.0,2026-04-07T19:07:43.485Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,9,0,267,50,267,63,12.50,1,814.0,2026-04-07T19:07:45.260Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,10,0,591,312,600,302,13.83,1,791.0,2026-04-07T19:07:47.016Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,11,0,222,394,236,400,15.04,1,758.0,2026-04-07T19:07:48.755Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,12,0,321,106,323,120,13.65,1,722.0,2026-04-07T19:07:50.453Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,13,0,126,413,123,427,13.83,1,698.0,2026-04-07T19:07:52.109Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,14,0,234,450,228,471,21.36,1,703.0,2026-04-07T19:07:53.790Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,15,0,128,381,118,377,10.97,1,616.0,2026-04-07T19:07:55.371Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,16,0,578,262,595,270,18.58,1,556.0,2026-04-07T19:07:56.899Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,17,0,169,362,197,370,28.99,1,699.0,2026-04-07T19:07:58.567Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,18,0,387,87,373,74,19.45,1,696.0,2026-04-07T19:08:00.239Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,19,0,747,441,733,427,20.16,1,738.0,2026-04-07T19:08:01.948Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,20,0,236,399,266,377,37.50,0,756.0,2026-04-07T19:08:03.675Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,21,0,122,144,105,146,17.07,1,639.0,2026-04-07T19:08:05.291Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,22,0,432,117,420,110,14.15,1,695.0,2026-04-07T19:08:06.955Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,23,0,368,316,361,322,8.90,1,551.0,2026-04-07T19:08:08.479Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,24,0,553,350,550,350,3.04,1,601.0,2026-04-07T19:08:10.047Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,25,0,656,148,657,176,27.52,1,643.0,2026-04-07T19:08:11.645Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,26,0,499,127,504,132,6.73,1,549.0,2026-04-07T19:08:13.151Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,27,0,419,259,432,264,13.76,1,550.0,2026-04-07T19:08:14.667Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,28,0,546,117,542,90,27.79,1,565.0,2026-04-07T19:08:16.188Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,29,0,56,369,46,376,11.93,1,690.0,2026-04-07T19:08:17.848Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,30,0,524,319,533,318,9.12,1,612.0,2026-04-07T19:08:19.429Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,31,0,648,242,681,248,33.46,1,620.0,2026-04-07T19:08:21.025Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,32,0,400,155,390,173,20.16,1,683.0,2026-04-07T19:08:22.680Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,33,0,567,430,562,418,13.46,1,758.0,2026-04-07T19:08:24.409Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,34,0,339,104,329,113,13.12,1,674.0,2026-04-07T19:08:26.102Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,35,0,605,157,596,154,9.66,1,757.0,2026-04-07T19:08:27.830Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,36,0,539,381,559,401,27.93,1,571.0,2026-04-07T19:08:29.373Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,37,0,153,438,168,453,20.86,1,746.0,2026-04-07T19:08:31.079Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,38,0,667,410,673,428,18.50,1,687.0,2026-04-07T19:08:32.740Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,39,0,441,420,444,445,24.68,1,873.0,2026-04-07T19:08:34.577Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,40,0,683,153,683,170,16.50,1,845.0,2026-04-07T19:08:36.397Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,41,0,122,241,109,256,19.47,1,662.0,2026-04-07T19:08:38.035Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,42,0,534,163,562,173,29.57,1,625.0,2026-04-07T19:08:39.640Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,43,0,283,116,314,152,47.13,0,737.0,2026-04-07T19:08:41.354Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,44,0,265,196,241,222,35.02,0,588.0,2026-04-07T19:08:42.893Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,45,0,318,207,303,197,18.31,1,540.0,2026-04-07T19:08:44.453Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,46,0,447,319,441,306,14.77,1,492.0,2026-04-07T19:08:45.921Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,47,0,657,244,667,268,25.54,1,594.0,2026-04-07T19:08:47.485Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,48,0,485,379,490,382,5.59,1,543.0,2026-04-07T19:08:49.006Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,49,0,645,332,647,334,2.50,1,2679.0,2026-04-07T19:08:52.656Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,50,0,673,253,682,272,20.57,1,3272.0,2026-04-07T19:08:56.897Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,51,0,321,93,325,104,11.24,1,801.0,2026-04-07T19:08:58.675Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,52,0,406,336,408,331,5.85,1,896.0,2026-04-07T19:09:00.538Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,53,0,205,311,210,330,19.16,1,732.0,2026-04-07T19:09:02.244Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,54,0,197,338,163,362,41.33,0,1929.0,2026-04-07T19:09:05.142Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,55,0,278,175,236,176,42.00,0,541.0,2026-04-07T19:09:06.687Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,56,0,436,260,429,266,8.90,1,550.0,2026-04-07T19:09:08.206Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,57,0,531,221,515,219,16.19,1,684.0,2026-04-07T19:09:09.878Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,58,0,407,428,439,409,37.47,0,615.0,2026-04-07T19:09:11.457Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,59,0,489,365,471,362,18.34,1,516.0,2026-04-07T19:09:12.947Z
Navit,AV,18-24,Mouse,Rarely,1,auditory,60,0,386,380,359,374,27.77,1,556.0,2026-04-07T19:09:14.473Z
Navit,AV,18-24,Mouse,Rarely,2,visual,1,0,666,217,686,215,20.16,1,671.0,2026-04-07T19:09:27.274Z
Navit,AV,18-24,Mouse,Rarely,2,visual,2,0,744,57,729,60,15.21,1,642.0,2026-04-07T19:09:28.887Z
Navit,AV,18-24,Mouse,Rarely,2,visual,3,0,638,407,652,414,15.44,1,682.0,2026-04-07T19:09:30.543Z
Navit,AV,18-24,Mouse,Rarely,2,visual,4,0,87,402,69,412,20.35,1,773.0,2026-04-07T19:09:32.290Z
Navit,AV,18-24,Mouse,Rarely,2,visual,5,0,716,313,744,314,28.00,1,620.0,2026-04-07T19:09:33.887Z
Navit,AV,18-24,Mouse,Rarely,2,visual,6,0,658,333,662,352,18.93,1,563.0,2026-04-07T19:09:35.417Z
Navit,AV,18-24,Mouse,Rarely,2,visual,7,0,248,398,262,390,16.38,1,594.0,2026-04-07T19:09:36.988Z
Navit,AV,18-24,Mouse,Rarely,2,visual,8,0,710,209,710,236,26.50,1,673.0,2026-04-07T19:09:38.623Z
Navit,AV,18-24,Mouse,Rarely,2,visual,9,0,414,199,416,199,2.06,1,505.0,2026-04-07T19:09:40.101Z
Navit,AV,18-24,Mouse,Rarely,2,visual,10,0,544,372,529,382,17.76,1,673.0,2026-04-07T19:09:41.743Z
Navit,AV,18-24,Mouse,Rarely,2,visual,11,0,599,116,587,133,20.40,1,684.0,2026-04-07T19:09:43.393Z
Navit,AV,18-24,Mouse,Rarely,2,visual,12,0,105,187,114,200,15.40,1,647.0,2026-04-07T19:09:45.001Z
Navit,AV,18-24,Mouse,Rarely,2,visual,13,0,295,381,303,403,22.94,1,682.0,2026-04-07T19:09:46.635Z
Navit,AV,18-24,Mouse,Rarely,2,visual,14,0,523,273,531,270,8.73,1,451.0,2026-04-07T19:09:48.064Z
Navit,AV,18-24,Mouse,Rarely,2,visual,15,0,505,278,515,306,29.26,1,465.0,2026-04-07T19:09:49.486Z
Navit,AV,18-24,Mouse,Rarely,2,visual,16,0,299,225,275,261,42.85,0,517.0,2026-04-07T19:09:50.964Z
Navit,AV,18-24,Mouse,Rarely,2,visual,17,0,382,290,342,302,41.62,0,499.0,2026-04-07T19:09:52.426Z
Navit,AV,18-24,Mouse,Rarely,2,visual,18,0,287,210,311,215,24.42,1,594.0,2026-04-07T19:09:53.987Z
Navit,AV,18-24,Mouse,Rarely,2,visual,19,0,552,383,537,374,17.76,1,506.0,2026-04-07T19:09:55.464Z
Navit,AV,18-24,Mouse,Rarely,2,visual,20,0,603,116,624,94,30.78,1,574.0,2026-04-07T19:09:57.013Z
Navit,AV,18-24,Mouse,Rarely,2,visual,21,0,308,306,301,310,7.83,1,533.0,2026-04-07T19:09:58.517Z
Navit,AV,18-24,Mouse,Rarely,2,visual,22,0,689,390,739,416,56.13,0,689.0,2026-04-07T19:10:00.181Z
Navit,AV,18-24,Mouse,Rarely,2,visual,23,0,350,249,358,270,22.01,1,525.0,2026-04-07T19:10:01.683Z
Navit,AV,18-24,Mouse,Rarely,2,visual,24,0,400,287,417,299,20.52,1,451.0,2026-04-07T19:10:03.101Z
Navit,AV,18-24,Mouse,Rarely,2,visual,25,0,419,410,420,394,16.53,1,579.0,2026-04-07T19:10:04.643Z
Navit,AV,18-24,Mouse,Rarely,2,visual,26,0,125,419,100,433,28.41,1,764.0,2026-04-07T19:10:06.383Z
Navit,AV,18-24,Mouse,Rarely,2,visual,27,0,458,91,440,99,19.50,1,761.0,2026-04-07T19:10:08.120Z
