participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Nico,VA,18-24,Mouse,Daily,1,visual,1,0,158,82,158,75,7.50,1,962.0,2026-04-07T19:35:30.343Z
Nico,VA,18-24,Mouse,Daily,1,visual,2,0,230,368,234,372,5.32,1,690.0,2026-04-07T19:35:32.001Z
Nico,VA,18-24,Mouse,Daily,1,visual,3,0,743,77,745,84,6.80,1,692.0,2026-04-07T19:35:33.663Z
Nico,VA,18-24,Mouse,Daily,1,visual,4,0,89,347,86,346,3.35,1,691.0,2026-04-07T19:35:35.322Z
Nico,VA,18-24,Mouse,Daily,1,visual,5,0,542,252,538,252,4.03,1,633.0,2026-04-07T19:35:36.918Z
Nico,VA,18-24,Mouse,Daily,1,visual,6,0,359,169,366,171,7.16,1,763.0,2026-04-07T19:35:38.648Z
Nico,VA,18-24,Mouse,Daily,1,visual,7,0,719,270,717,282,11.67,1,842.0,2026-04-07T19:35:40.456Z
Nico,VA,18-24,Mouse,Daily,1,visual,8,0,408,196,451,186,44.26,0,534.0,2026-04-07T19:35:41.950Z
Nico,VA,18-24,Mouse,Daily,1,visual,9,0,169,202,178,204,9.12,1,662.0,2026-04-07T19:35:43.584Z
Nico,VA,18-24,Mouse,Daily,1,visual,10,0,299,190,297,198,7.76,1,630.0,2026-04-07T19:35:45.190Z
Nico,VA,18-24,Mouse,Daily,1,visual,11,0,157,62,155,56,6.80,1,731.0,2026-04-07T19:35:46.896Z
Nico,VA,18-24,Mouse,Daily,1,visual,12,0,423,168,421,167,2.50,1,566.0,2026-04-07T19:35:48.431Z
Nico,VA,18-24,Mouse,Daily,1,visual,13,0,155,174,149,172,6.50,1,925.0,2026-04-07T19:35:50.327Z
Nico,VA,18-24,Mouse,Daily,1,visual,14,0,585,370,585,366,4.50,1,855.0,2026-04-07T19:35:52.148Z
Nico,VA,18-24,Mouse,Daily,1,visual,15,0,291,174,285,168,8.85,1,659.0,2026-04-07T19:35:53.775Z
Nico,VA,18-24,Mouse,Daily,1,visual,16,0,580,404,578,412,7.76,1,771.0,2026-04-07T19:35:55.518Z
