participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,1,0,299,229,307,239,12.81,1,860.7,2026-04-07T19:00:14.696Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,2,0,241,145,259,146,18.03,1,869.4,2026-04-07T19:00:16.529Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,3,0,408,212,420,230,21.63,1,906.7,2026-04-07T19:00:18.398Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,4,0,329,414,330,434,20.02,1,895.6,2026-04-07T19:00:20.254Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,5,0,423,136,424,149,13.04,1,846.5,2026-04-07T19:00:22.055Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,6,0,448,384,447,418,34.01,1,820.8,2026-04-07T19:00:23.839Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,7,0,685,93,674,111,21.10,1,1072.9,2026-04-07T19:00:25.866Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,8,0,260,429,241,433,19.42,1,892.6,2026-04-07T19:00:27.713Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,9,0,463,315,462,316,1.41,1,888.3,2026-04-07T19:00:29.563Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,10,0,693,227,682,223,11.70,1,939.4,2026-04-07T19:00:31.464Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,11,0,744,154,748,154,4.00,1,868.2,2026-04-07T19:00:33.293Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,12,0,194,365,194,366,1.00,1,870.6,2026-04-07T19:00:35.115Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,13,0,617,436,602,446,18.03,1,1018.6,2026-04-07T19:00:37.096Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,14,0,653,413,646,412,7.07,1,1021.3,2026-04-07T19:00:39.077Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,15,0,124,58,120,65,8.06,1,1031.7,2026-04-07T19:00:41.059Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,16,0,625,66,635,83,19.72,1,847.0,2026-04-07T19:00:42.859Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,17,0,65,322,82,322,17.00,1,805.9,2026-04-07T19:00:44.617Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,18,0,400,346,385,343,15.30,1,799.9,2026-04-07T19:00:46.389Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,19,0,533,188,537,178,10.77,1,1356.0,2026-04-07T19:00:48.702Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,20,0,610,111,610,133,22.00,1,892.4,2026-04-07T19:00:50.553Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,21,0,173,353,172,344,9.06,1,848.1,2026-04-07T19:00:52.360Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,22,0,266,114,261,134,20.62,1,807.6,2026-04-07T19:00:54.119Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,23,0,392,258,380,272,18.44,1,758.1,2026-04-07T19:00:55.836Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,24,0,639,364,635,383,19.42,1,809.2,2026-04-07T19:00:57.604Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,25,0,350,351,364,346,14.87,1,547.1,2026-04-07T19:00:59.110Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,26,0,675,379,659,394,21.93,1,760.5,2026-04-07T19:01:00.823Z
Nirvaan,VA,18-24,Trackpad,Weekly,1,visual,27,0,458,152,470,145,13.89,1,1047.8,2026-04-07T19:01:02.827Z
