participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Pill,VA,18-24,Trackpad,Rarely,1,visual,1,0,426,92,433,93,7.05,1,999.0,2026-04-07T19:25:41.551Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,2,0,688,416,698,420,10.70,1,814.0,2026-04-07T19:25:43.317Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,3,0,580,313,574,312,6.12,1,782.0,2026-04-07T19:25:45.050Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,4,0,347,214,357,216,10.16,1,833.0,2026-04-07T19:25:46.834Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,5,0,563,99,557,110,12.35,1,715.0,2026-04-07T19:25:48.500Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,6,0,155,372,151,356,16.69,1,2149.0,2026-04-07T19:25:51.600Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,7,0,514,244,527,246,13.12,1,515.0,2026-04-07T19:25:53.067Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,8,0,118,336,135,332,17.51,1,865.0,2026-04-07T19:25:54.883Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,9,0,134,272,144,282,14.00,1,949.0,2026-04-07T19:25:56.783Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,10,0,748,401,751,407,6.53,1,883.0,2026-04-07T19:25:58.617Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,11,0,114,338,122,339,8.04,1,832.0,2026-04-07T19:26:00.400Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,12,0,276,281,251,301,31.89,1,666.0,2026-04-07T19:26:02.017Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,13,0,317,447,315,438,9.42,1,832.0,2026-04-07T19:26:03.800Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,14,0,436,223,447,248,27.13,1,715.0,2026-04-07T19:26:05.466Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,15,0,452,86,465,95,15.70,1,750.0,2026-04-07T19:26:07.167Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,16,0,362,137,370,137,8.00,1,716.0,2026-04-07T19:26:08.834Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,17,0,452,104,459,105,7.05,1,597.0,2026-04-07T19:26:10.383Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,18,0,400,202,401,200,2.42,1,600.0,2026-04-07T19:26:11.933Z
Pill,VA,18-24,Trackpad,Rarely,1,visual,19,0,718,238,725,249,12.87,1,832.0,2026-04-07T19:26:13.716Z
