participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Roger Carrick,VA,18-24,Mouse,Never,1,visual,1,0,534,192,538,200,8.50,1,620.0,2026-04-07T19:54:28.180Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,2,0,522,292,525,290,3.91,1,693.0,2026-04-07T19:54:29.840Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,3,0,215,255,207,252,8.73,1,640.0,2026-04-07T19:54:31.444Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,4,0,672,421,660,419,12.26,1,785.0,2026-04-07T19:54:33.201Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,5,0,707,303,700,306,7.43,1,776.0,2026-04-07T19:54:34.943Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,6,0,585,448,585,446,2.50,1,779.0,2026-04-07T19:54:36.678Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,7,0,418,403,418,402,1.50,1,636.0,2026-04-07T19:54:38.271Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,8,0,292,113,277,100,20.18,1,756.0,2026-04-07T19:54:39.988Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,9,0,352,402,353,406,3.64,1,726.0,2026-04-07T19:54:41.686Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,10,0,661,151,665,150,4.27,1,806.0,2026-04-07T19:54:43.468Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,11,0,517,399,513,398,4.27,1,742.0,2026-04-07T19:54:45.176Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,12,0,178,178,177,194,15.53,1,725.0,2026-04-07T19:54:46.867Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,13,0,200,354,203,354,3.04,1,699.0,2026-04-07T19:54:48.531Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,14,0,640,384,644,384,4.03,1,697.0,2026-04-07T19:54:50.194Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,15,0,498,293,513,298,15.66,1,781.0,2026-04-07T19:54:51.947Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,16,0,70,398,67,400,3.35,1,835.0,2026-04-07T19:54:53.753Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,17,0,507,382,499,383,8.02,1,693.0,2026-04-07T19:54:55.419Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,18,0,144,387,145,390,2.69,1,881.0,2026-04-07T19:54:57.269Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,19,0,415,241,413,250,8.73,1,684.0,2026-04-07T19:54:58.925Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,20,0,214,118,215,120,1.80,1,812.0,2026-04-07T19:55:00.707Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,21,0,645,193,649,192,4.27,1,807.0,2026-04-07T19:55:02.477Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,22,0,94,338,94,339,0.50,1,652.0,2026-04-07T19:55:04.102Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,23,0,596,196,596,196,0.50,1,744.0,2026-04-07T19:55:05.811Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,24,0,344,146,339,136,11.63,1,712.0,2026-04-07T19:55:07.491Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,25,0,402,89,400,88,2.50,1,678.0,2026-04-07T19:55:09.143Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,26,0,242,180,241,182,1.80,1,811.0,2026-04-07T19:55:10.931Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,27,0,734,282,729,288,7.43,1,746.0,2026-04-07T19:55:12.641Z
Roger Carrick,VA,18-24,Mouse,Never,1,visual,28,0,576,239,579,244,5.41,1,733.0,2026-04-07T19:55:14.352Z
