participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Rohan,VA,18-24,Trackpad,Rarely,1,visual,1,0,510,404,509,416,11.63,1,781.0,2026-04-07T19:19:06.090Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,2,0,691,393,682,396,9.27,1,1692.0,2026-04-07T19:19:08.751Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,3,0,90,110,96,115,7.64,1,833.0,2026-04-07T19:19:10.558Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,4,0,349,161,350,161,1.17,1,676.0,2026-04-07T19:19:12.205Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,5,0,470,54,453,60,17.80,1,900.0,2026-04-07T19:19:14.073Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,6,0,407,316,394,317,12.91,1,822.0,2026-04-07T19:19:15.863Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,7,0,395,335,395,321,14.40,1,628.0,2026-04-07T19:19:17.457Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,8,0,583,351,563,347,20.38,1,1127.0,2026-04-07T19:19:19.560Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,9,0,498,183,503,188,6.87,1,781.0,2026-04-07T19:19:21.305Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,10,0,114,131,115,179,47.61,0,574.0,2026-04-07T19:19:22.854Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,11,0,418,355,426,369,15.83,1,608.0,2026-04-07T19:19:24.425Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,12,0,686,438,708,448,24.10,1,836.0,2026-04-07T19:19:26.230Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,13,0,513,432,513,433,0.61,1,692.0,2026-04-07T19:19:27.900Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,14,0,372,83,363,147,64.22,0,674.0,2026-04-07T19:19:29.553Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,15,0,436,401,438,445,43.65,0,705.0,2026-04-07T19:19:31.223Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,16,0,358,187,365,195,10.40,1,513.0,2026-04-07T19:19:32.717Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,17,0,365,134,364,148,13.63,1,522.0,2026-04-07T19:19:34.204Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,18,0,730,69,735,69,5.12,1,1091.0,2026-04-07T19:19:36.268Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,19,0,604,153,605,175,21.63,1,616.0,2026-04-07T19:19:37.861Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,20,0,737,217,773,271,64.62,0,631.0,2026-04-07T19:19:39.462Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,21,0,51,445,47,452,7.67,1,815.0,2026-04-07T19:19:41.275Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,22,0,153,79,148,61,19.04,1,975.0,2026-04-07T19:19:43.211Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,23,0,266,156,281,159,15.32,1,650.0,2026-04-07T19:19:44.827Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,24,0,404,250,377,254,27.14,1,629.0,2026-04-07T19:19:46.428Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,25,0,506,51,459,85,57.69,0,640.0,2026-04-07T19:19:48.046Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,26,0,348,398,336,405,13.61,1,575.0,2026-04-07T19:19:49.594Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,27,0,491,312,493,275,37.46,0,593.0,2026-04-07T19:19:51.165Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,28,0,669,343,652,325,24.98,1,690.0,2026-04-07T19:19:52.828Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,29,0,110,435,114,442,7.77,1,803.0,2026-04-07T19:19:54.604Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,30,0,306,184,308,181,4.00,1,587.0,2026-04-07T19:19:56.168Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,31,0,729,172,764,176,35.28,0,725.0,2026-04-07T19:19:57.860Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,32,0,672,197,717,205,45.74,0,726.0,2026-04-07T19:19:59.560Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,33,0,639,415,653,412,14.50,1,935.0,2026-04-07T19:20:01.473Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,34,0,208,215,229,211,21.55,1,821.0,2026-04-07T19:20:03.265Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,35,0,458,250,438,248,20.04,1,722.0,2026-04-07T19:20:04.957Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,36,0,737,73,714,88,27.16,1,799.0,2026-04-07T19:20:06.727Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,37,0,500,117,495,98,20.01,1,561.0,2026-04-07T19:20:08.260Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,38,0,127,60,135,69,11.81,1,982.0,2026-04-07T19:20:10.219Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,39,0,720,275,728,289,15.83,1,627.0,2026-04-07T19:20:11.822Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,40,0,458,378,471,401,26.12,1,682.0,2026-04-07T19:20:13.483Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,41,0,338,143,362,161,29.84,1,600.0,2026-04-07T19:20:15.056Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,42,0,172,147,160,136,16.48,1,667.0,2026-04-07T19:20:16.704Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,43,0,222,281,218,267,14.92,1,746.0,2026-04-07T19:20:18.420Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,44,0,433,159,426,178,19.84,1,554.0,2026-04-07T19:20:19.946Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,45,0,167,301,154,291,16.57,1,747.0,2026-04-07T19:20:21.661Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,46,0,444,208,474,232,38.25,0,614.0,2026-04-07T19:20:23.239Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,47,0,288,280,258,289,31.11,1,574.0,2026-04-07T19:20:24.787Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,48,0,731,318,726,329,11.68,1,822.0,2026-04-07T19:20:26.587Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,49,0,743,195,744,203,7.68,1,789.0,2026-04-07T19:20:28.340Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,50,0,298,366,287,373,12.74,1,859.0,2026-04-07T19:20:30.161Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,51,0,561,355,608,352,47.22,0,786.0,2026-04-07T19:20:31.914Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,52,0,228,147,240,148,12.11,1,823.0,2026-04-07T19:20:33.706Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,53,0,235,167,266,173,31.60,1,930.0,2026-04-07T19:20:35.604Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,54,0,54,59,13,34,48.15,0,1178.0,2026-04-07T19:20:37.753Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,55,0,72,223,83,233,14.68,1,736.0,2026-04-07T19:20:39.454Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,56,0,129,78,136,76,7.49,1,705.0,2026-04-07T19:20:41.125Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,57,0,153,225,151,224,2.36,1,880.0,2026-04-07T19:20:42.977Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,58,0,346,80,349,79,3.40,1,643.0,2026-04-07T19:20:44.594Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,59,0,207,51,224,69,24.54,1,677.0,2026-04-07T19:20:46.242Z
Rohan,VA,18-24,Trackpad,Rarely,1,visual,60,0,225,104,224,93,11.44,1,528.0,2026-04-07T19:20:47.738Z
