participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
S,AV,18-24,Trackpad,Rarely,1,auditory,1,0,162,439,174,424,19.34,1,1196.5,2026-04-07T19:11:05.447Z
S,AV,18-24,Trackpad,Rarely,1,auditory,2,0,421,235,420,250,14.87,1,912.0,2026-04-07T19:11:07.314Z
S,AV,18-24,Trackpad,Rarely,1,auditory,3,0,178,383,174,389,7.07,1,1225.1,2026-04-07T19:11:09.495Z
S,AV,18-24,Trackpad,Rarely,1,auditory,4,0,689,246,689,250,3.83,1,1063.1,2026-04-07T19:11:11.514Z
S,AV,18-24,Trackpad,Rarely,1,auditory,5,0,629,82,630,70,12.21,1,1137.2,2026-04-07T19:11:13.607Z
S,AV,18-24,Trackpad,Rarely,1,auditory,6,0,364,325,379,313,19.31,1,1137.7,2026-04-07T19:11:15.707Z
S,AV,18-24,Trackpad,Rarely,1,auditory,7,0,489,240,487,229,11.34,1,854.8,2026-04-07T19:11:17.522Z
S,AV,18-24,Trackpad,Rarely,1,auditory,8,0,500,265,504,279,14.40,1,950.5,2026-04-07T19:11:19.435Z
S,AV,18-24,Trackpad,Rarely,1,auditory,9,0,86,394,62,397,24.17,1,1253.2,2026-04-07T19:11:21.649Z
S,AV,18-24,Trackpad,Rarely,1,auditory,10,0,723,424,708,433,17.41,1,1006.2,2026-04-07T19:11:23.624Z
S,AV,18-24,Trackpad,Rarely,1,auditory,11,0,437,443,434,454,11.24,1,886.7,2026-04-07T19:11:25.467Z
S,AV,18-24,Trackpad,Rarely,1,auditory,12,0,75,366,90,356,18.12,1,965.7,2026-04-07T19:11:27.398Z
S,AV,18-24,Trackpad,Rarely,1,auditory,13,0,737,270,752,277,16.48,1,1141.8,2026-04-07T19:11:29.498Z
S,AV,18-24,Trackpad,Rarely,1,auditory,14,0,597,106,615,83,29.34,1,1289.6,2026-04-07T19:11:31.749Z
S,AV,18-24,Trackpad,Rarely,1,auditory,15,0,210,69,198,82,17.57,1,1225.6,2026-04-07T19:11:33.939Z
