participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Sonia,VA,18-24,Trackpad,Never,1,visual,1,0,402,267,406,262,6.40,1,862.5,2026-04-07T19:17:03.971Z
Sonia,VA,18-24,Trackpad,Never,1,visual,2,0,442,373,455,374,13.04,1,747.4,2026-04-07T19:17:05.671Z
Sonia,VA,18-24,Trackpad,Never,1,visual,3,0,417,222,429,230,14.42,1,663.7,2026-04-07T19:17:07.288Z
Sonia,VA,18-24,Trackpad,Never,1,visual,4,0,534,164,538,171,8.06,1,629.8,2026-04-07T19:17:08.871Z
Sonia,VA,18-24,Trackpad,Never,1,visual,5,0,604,141,614,130,14.87,1,980.0,2026-04-07T19:17:10.805Z
Sonia,VA,18-24,Trackpad,Never,1,visual,6,0,630,247,636,254,9.22,1,646.3,2026-04-07T19:17:12.404Z
Sonia,VA,18-24,Trackpad,Never,1,visual,7,0,319,263,334,254,17.49,1,830.3,2026-04-07T19:17:14.188Z
Sonia,VA,18-24,Trackpad,Never,1,visual,8,0,626,209,617,221,15.00,1,797.4,2026-04-07T19:17:15.938Z
Sonia,VA,18-24,Trackpad,Never,1,visual,9,0,391,391,382,394,9.49,1,712.9,2026-04-07T19:17:17.604Z
Sonia,VA,18-24,Trackpad,Never,1,visual,10,0,651,415,655,409,7.21,1,779.9,2026-04-07T19:17:19.338Z
Sonia,VA,18-24,Trackpad,Never,1,visual,11,0,514,115,502,133,21.63,1,728.7,2026-04-07T19:17:21.021Z
Sonia,VA,18-24,Trackpad,Never,1,visual,12,0,474,171,477,171,3.00,1,497.9,2026-04-07T19:17:22.471Z
Sonia,VA,18-24,Trackpad,Never,1,visual,13,0,608,78,619,72,12.53,1,813.4,2026-04-07T19:17:24.238Z
Sonia,VA,18-24,Trackpad,Never,1,visual,14,0,514,322,523,324,9.22,1,630.2,2026-04-07T19:17:25.821Z
Sonia,VA,18-24,Trackpad,Never,1,visual,15,0,235,257,226,243,16.64,1,1047.9,2026-04-07T19:17:27.821Z
Sonia,VA,18-24,Trackpad,Never,1,visual,16,0,218,310,238,301,21.93,1,663.6,2026-04-07T19:17:29.439Z
Sonia,VA,18-24,Trackpad,Never,1,visual,17,0,123,175,113,160,18.03,1,679.8,2026-04-07T19:17:31.071Z
Sonia,VA,18-24,Trackpad,Never,1,visual,18,0,653,250,657,261,11.70,1,663.8,2026-04-07T19:17:32.688Z
Sonia,VA,18-24,Trackpad,Never,1,visual,19,0,195,398,193,414,16.12,1,846.1,2026-04-07T19:17:34.488Z
Sonia,VA,18-24,Trackpad,Never,1,visual,20,0,126,431,126,423,8.00,1,662.8,2026-04-07T19:17:36.104Z
Sonia,VA,18-24,Trackpad,Never,1,visual,21,0,647,449,617,443,30.59,1,880.5,2026-04-07T19:17:37.938Z
Sonia,VA,18-24,Trackpad,Never,1,visual,22,0,600,424,611,440,19.42,1,563.8,2026-04-07T19:17:39.455Z
Sonia,VA,18-24,Trackpad,Never,1,visual,23,0,61,270,66,268,5.39,1,847.0,2026-04-07T19:17:41.255Z
Sonia,VA,18-24,Trackpad,Never,1,visual,24,0,506,179,506,198,19.00,1,913.2,2026-04-07T19:17:43.121Z
Sonia,VA,18-24,Trackpad,Never,1,visual,25,0,212,212,218,214,6.32,1,830.6,2026-04-07T19:17:44.905Z
Sonia,VA,18-24,Trackpad,Never,1,visual,26,0,301,120,298,124,5.00,1,746.5,2026-04-07T19:17:46.605Z
Sonia,VA,18-24,Trackpad,Never,1,visual,27,0,344,427,347,419,8.54,1,762.2,2026-04-07T19:17:48.320Z
Sonia,VA,18-24,Trackpad,Never,1,visual,28,0,88,338,112,333,24.52,1,814.3,2026-04-07T19:17:50.088Z
Sonia,VA,18-24,Trackpad,Never,1,visual,29,0,391,217,375,219,16.12,1,747.0,2026-04-07T19:17:51.788Z
Sonia,VA,18-24,Trackpad,Never,1,visual,30,0,608,273,611,265,8.54,1,729.9,2026-04-07T19:17:53.472Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,1,0,466,382,475,387,10.30,1,679.2,2026-04-07T19:18:41.756Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,2,0,593,389,597,413,24.33,1,613.8,2026-04-07T19:18:43.323Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,3,0,616,378,611,389,12.08,1,563.7,2026-04-07T19:18:44.839Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,4,0,305,94,315,107,16.40,1,713.6,2026-04-07T19:18:46.506Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,5,0,143,142,149,148,8.49,1,846.2,2026-04-07T19:18:48.305Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,6,0,415,364,421,378,15.23,1,714.1,2026-04-07T19:18:49.973Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,7,0,461,107,461,104,3.00,1,679.9,2026-04-07T19:18:51.606Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,8,0,707,396,711,416,20.40,1,947.8,2026-04-07T19:18:53.506Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,9,0,382,129,390,131,8.25,1,829.1,2026-04-07T19:18:55.289Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,10,0,441,216,435,194,22.80,1,580.0,2026-04-07T19:18:56.823Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,11,0,126,120,109,106,22.02,1,863.0,2026-04-07T19:18:58.639Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,12,0,660,414,656,395,19.42,1,913.7,2026-04-07T19:19:00.506Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,13,0,512,80,510,98,18.11,1,746.7,2026-04-07T19:19:02.206Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,14,0,320,177,315,195,18.68,1,713.3,2026-04-07T19:19:03.872Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,15,0,261,294,263,308,14.14,1,830.1,2026-04-07T19:19:05.656Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,16,0,415,300,411,320,20.40,1,613.8,2026-04-07T19:19:07.223Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,17,0,681,293,678,327,34.13,1,796.7,2026-04-07T19:19:08.973Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,18,0,77,96,90,96,13.00,1,946.2,2026-04-07T19:19:10.873Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,19,0,553,111,559,122,12.53,1,730.2,2026-04-07T19:19:12.556Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,20,0,527,235,531,241,7.21,1,713.5,2026-04-07T19:19:14.223Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,21,0,297,284,290,286,7.28,1,829.5,2026-04-07T19:19:16.006Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,22,0,518,128,522,139,11.70,1,813.4,2026-04-07T19:19:17.773Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,23,0,309,417,317,402,17.00,1,896.9,2026-04-07T19:19:19.623Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,24,0,143,366,148,377,12.08,1,730.4,2026-04-07T19:19:21.307Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,25,0,556,443,557,450,7.07,1,747.1,2026-04-07T19:19:23.007Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,26,0,396,418,404,424,10.00,1,730.1,2026-04-07T19:19:24.690Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,27,0,588,397,578,409,15.62,1,664.0,2026-04-07T19:19:26.307Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,28,0,538,162,553,170,17.00,1,796.9,2026-04-07T19:19:28.057Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,29,0,482,53,499,53,17.00,1,863.1,2026-04-07T19:19:29.874Z
Sonia,VA,18-24,Trackpad,Never,2,auditory,30,0,187,155,190,156,3.16,1,746.6,2026-04-07T19:19:31.573Z
