participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,1,0,531,227,552,217,22.90,1,1048.0,2026-04-07T19:32:09.599Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,2,0,670,260,684,272,17.93,1,1300.0,2026-04-07T19:32:11.850Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,3,0,542,258,562,283,31.55,1,1414.0,2026-04-07T19:32:14.216Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,4,0,630,409,637,430,21.79,1,849.0,2026-04-07T19:32:16.017Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,5,0,120,408,121,400,8.22,1,697.0,2026-04-07T19:32:17.666Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,6,0,305,70,302,74,5.16,1,600.0,2026-04-07T19:32:19.217Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,7,0,325,128,339,111,21.87,1,547.0,2026-04-07T19:32:20.716Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,8,0,683,259,675,269,12.97,1,730.0,2026-04-07T19:32:22.399Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,9,0,166,114,167,107,7.22,1,649.0,2026-04-07T19:32:23.999Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,10,0,108,443,114,446,6.17,1,1067.0,2026-04-07T19:32:26.017Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,11,0,491,310,489,302,8.58,1,831.0,2026-04-07T19:32:27.800Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,12,0,308,194,309,185,9.22,1,666.0,2026-04-07T19:32:29.417Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,13,0,607,397,603,387,11.15,1,1380.0,2026-04-07T19:32:31.749Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,14,0,657,269,663,267,5.92,1,1164.0,2026-04-07T19:32:33.865Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,15,0,237,299,233,292,8.49,1,666.0,2026-04-07T19:32:35.483Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,16,0,388,91,386,102,11.08,1,714.0,2026-04-07T19:32:37.150Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,17,0,429,314,433,310,5.47,1,831.0,2026-04-07T19:32:38.932Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,18,0,249,118,248,125,6.96,1,849.0,2026-04-07T19:32:40.732Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,19,0,537,186,545,185,7.60,1,883.0,2026-04-07T19:32:42.566Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,20,0,589,408,594,403,6.88,1,898.0,2026-04-07T19:32:44.416Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,21,0,319,196,315,207,11.70,1,514.0,2026-04-07T19:32:45.882Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,22,0,240,135,240,143,7.81,1,697.0,2026-04-07T19:32:47.533Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,23,0,321,179,319,188,9.15,1,664.0,2026-04-07T19:32:49.149Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,24,0,175,423,173,426,3.75,1,798.0,2026-04-07T19:32:50.899Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,25,0,716,201,719,195,6.69,1,1032.0,2026-04-07T19:32:52.883Z
Sophie,AV,18-24,Trackpad,Rarely,1,auditory,26,0,489,256,499,256,9.50,1,814.0,2026-04-07T19:32:54.649Z
