participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Talia,AV,18-24,Trackpad,Weekly,1,auditory,1,0,509,140,495,131,16.64,1,981.0,2026-04-07T20:36:19.034Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,2,0,736,285,753,276,19.24,1,881.4,2026-04-07T20:36:20.867Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,3,0,347,376,341,378,6.32,1,617.1,2026-04-07T20:36:22.436Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,4,0,196,355,194,344,11.18,1,645.5,2026-04-07T20:36:24.034Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,5,0,140,181,147,180,7.07,1,623.0,2026-04-07T20:36:25.609Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,6,0,575,80,565,104,26.00,1,706.4,2026-04-07T20:36:27.267Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,7,0,651,364,654,386,22.20,1,764.7,2026-04-07T20:36:28.984Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,8,0,457,160,471,173,19.10,1,590.2,2026-04-07T20:36:30.525Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,9,0,474,262,470,286,24.33,1,554.9,2026-04-07T20:36:32.034Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,10,0,634,207,624,213,11.66,1,789.7,2026-04-07T20:36:33.776Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,11,0,149,293,153,299,7.21,1,822.6,2026-04-07T20:36:35.551Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,12,0,75,417,59,412,16.76,1,947.7,2026-04-07T20:36:37.450Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,13,0,243,336,244,316,20.02,1,781.3,2026-04-07T20:36:39.184Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,14,0,331,374,345,356,22.80,1,747.1,2026-04-07T20:36:40.884Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,15,0,559,242,549,230,15.62,1,639.8,2026-04-07T20:36:42.476Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,16,0,306,94,311,105,12.08,1,680.7,2026-04-07T20:36:44.109Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,17,0,126,315,119,331,17.46,1,713.3,2026-04-07T20:36:45.775Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,18,0,342,156,341,157,1.41,1,547.9,2026-04-07T20:36:47.275Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,19,0,576,270,561,281,18.60,1,623.4,2026-04-07T20:36:48.850Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,20,0,72,294,69,297,4.24,1,631.0,2026-04-07T20:36:50.433Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,21,0,426,172,411,178,16.16,1,673.1,2026-04-07T20:36:52.058Z
Talia,AV,18-24,Trackpad,Weekly,1,auditory,22,0,53,398,55,403,5.39,1,709.3,2026-04-07T20:36:53.719Z
