participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Tony,AV,18-24,Trackpad,Rarely,1,auditory,1,0,137,316,132,275,41.80,0,485.2,2026-04-07T21:56:19.124Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,2,0,430,358,432,367,8.73,1,529.0,2026-04-07T21:56:20.617Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,3,0,242,308,224,311,18.17,1,487.7,2026-04-07T21:56:22.058Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,4,0,386,313,402,307,17.27,1,567.9,2026-04-07T21:56:23.589Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,5,0,198,295,181,290,17.87,1,464.8,2026-04-07T21:56:25.018Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,6,0,546,197,532,212,20.16,1,540.0,2026-04-07T21:56:26.510Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,7,0,190,407,196,399,10.40,1,890.9,2026-04-07T21:56:28.362Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,8,0,672,175,666,172,6.95,1,546.3,2026-04-07T21:56:29.867Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,9,0,417,222,424,235,14.33,1,588.9,2026-04-07T21:56:31.409Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,10,0,90,365,96,381,16.62,1,561.3,2026-04-07T21:56:32.931Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,11,0,424,110,417,115,8.32,1,548.8,2026-04-07T21:56:34.436Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,12,0,721,346,725,350,5.32,1,524.5,2026-04-07T21:56:35.911Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,13,0,208,378,218,386,12.50,1,507.4,2026-04-07T21:56:37.378Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,14,0,439,199,444,202,5.59,1,497.2,2026-04-07T21:56:38.834Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,15,0,444,99,440,85,15.04,1,621.7,2026-04-07T21:56:40.407Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,16,0,667,68,663,65,5.32,1,596.5,2026-04-07T21:56:41.965Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,17,0,580,407,578,427,19.60,1,475.3,2026-04-07T21:56:43.393Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,18,0,451,201,463,211,15.31,1,519.5,2026-04-07T21:56:44.870Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,19,0,71,371,76,382,11.63,1,578.3,2026-04-07T21:56:46.412Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,20,0,340,218,340,222,3.50,1,548.5,2026-04-07T21:56:47.916Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,21,0,120,214,110,223,13.12,1,608.1,2026-04-07T21:56:49.476Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,22,0,274,289,252,285,22.46,1,658.4,2026-04-07T21:56:51.093Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,23,0,281,208,286,212,6.10,1,603.6,2026-04-07T21:56:52.655Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,24,0,187,436,180,435,7.16,1,596.3,2026-04-07T21:56:54.214Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,25,0,598,386,595,379,8.08,1,553.2,2026-04-07T21:56:55.721Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,26,0,248,193,248,188,5.50,1,633.5,2026-04-07T21:56:57.317Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,27,0,226,116,216,135,21.03,1,725.8,2026-04-07T21:56:59.008Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,28,0,309,84,304,69,16.29,1,808.6,2026-04-07T21:57:00.776Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,29,0,426,126,438,134,14.15,1,1138.5,2026-04-07T21:57:02.872Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,30,0,530,99,523,99,7.02,1,638.8,2026-04-07T21:57:04.470Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,31,0,297,425,297,434,8.50,1,769.9,2026-04-07T21:57:06.203Z
Tony,AV,18-24,Trackpad,Rarely,1,auditory,32,0,486,385,485,379,6.58,1,490.6,2026-04-07T21:57:07.657Z
