participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
cayden,AV,18-24,Mouse,Weekly,1,auditory,1,0,114,312,152,329,41.91,0,597.0,2026-04-07T19:09:00.837Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,2,0,53,366,57,361,6.37,1,499.0,2026-04-07T19:09:02.289Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,3,0,657,56,677,43,24.24,1,598.0,2026-04-07T19:09:03.838Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,4,0,174,243,186,252,15.18,1,533.0,2026-04-07T19:09:05.323Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,5,0,156,202,155,213,11.27,1,565.0,2026-04-07T19:09:06.839Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,6,0,185,350,195,384,35.22,0,582.0,2026-04-07T19:09:08.373Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,7,0,614,132,632,168,39.92,0,599.0,2026-04-07T19:09:09.924Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,8,0,528,176,539,143,34.94,1,547.0,2026-04-07T19:09:11.424Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,9,0,601,277,602,293,15.77,1,550.0,2026-04-07T19:09:12.926Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,10,0,283,379,293,388,13.71,1,564.0,2026-04-07T19:09:14.443Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,11,0,743,343,734,340,9.27,1,597.0,2026-04-07T19:09:15.993Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,12,0,663,437,650,443,14.20,1,549.0,2026-04-07T19:09:17.494Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,13,0,454,156,441,179,26.54,1,613.0,2026-04-07T19:09:19.059Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,14,0,247,406,225,395,24.60,1,534.0,2026-04-07T19:09:20.545Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,15,0,525,101,525,93,8.28,1,626.0,2026-04-07T19:09:22.123Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,16,0,731,94,714,97,17.67,1,637.0,2026-04-07T19:09:23.711Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,17,0,252,145,241,168,25.28,1,565.0,2026-04-07T19:09:25.229Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,18,0,338,378,332,370,10.12,1,548.0,2026-04-07T19:09:26.729Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,19,0,391,385,402,363,24.56,1,593.0,2026-04-07T19:09:28.275Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,20,0,413,199,432,165,38.47,0,554.0,2026-04-07T19:09:29.779Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,21,0,721,63,705,70,17.88,1,549.0,2026-04-07T19:09:31.281Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,22,0,512,360,511,365,5.48,1,529.0,2026-04-07T19:09:32.763Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,23,0,290,171,270,163,21.05,1,532.0,2026-04-07T19:09:34.246Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,24,0,572,388,589,404,23.14,1,548.0,2026-04-07T19:09:35.746Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,25,0,120,336,116,345,9.88,1,1249.0,2026-04-07T19:09:37.947Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,26,0,601,345,561,393,62.03,0,516.0,2026-04-07T19:09:39.415Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,27,0,566,148,582,159,19.06,1,681.0,2026-04-07T19:09:41.047Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,28,0,698,328,707,327,8.90,1,548.0,2026-04-07T19:09:42.547Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,29,0,71,352,68,340,11.89,1,834.0,2026-04-07T19:09:44.333Z
cayden,AV,18-24,Mouse,Weekly,1,auditory,30,0,340,149,323,136,21.68,1,747.0,2026-04-07T19:09:46.032Z
cayden,AV,18-24,Mouse,Weekly,2,visual,1,0,515,443,495,436,20.79,1,715.0,2026-04-07T19:10:03.866Z
cayden,AV,18-24,Mouse,Weekly,2,visual,2,0,126,214,118,206,10.93,1,698.0,2026-04-07T19:10:05.515Z
cayden,AV,18-24,Mouse,Weekly,2,visual,3,0,646,275,661,272,15.61,1,682.0,2026-04-07T19:10:07.149Z
cayden,AV,18-24,Mouse,Weekly,2,visual,4,0,280,390,280,381,8.66,1,749.0,2026-04-07T19:10:08.850Z
