participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
clover,AV,18-24,Trackpad,Rarely,1,auditory,1,0,171,140,187,148,17.89,1,897.8,2026-04-07T21:06:33.455Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,2,0,317,296,314,293,4.24,1,837.6,2026-04-07T21:06:35.246Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,3,0,272,132,277,142,11.18,1,746.3,2026-04-07T21:06:36.946Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,4,0,591,137,591,138,1.00,1,969.8,2026-04-07T21:06:38.871Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,5,0,484,234,484,231,3.00,1,844.2,2026-04-07T21:06:40.669Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,6,0,54,425,52,436,11.18,1,860.4,2026-04-07T21:06:42.482Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,7,0,335,56,338,47,9.49,1,885.5,2026-04-07T21:06:44.320Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,8,0,516,249,510,256,9.22,1,844.9,2026-04-07T21:06:46.117Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,9,0,244,379,260,367,20.00,1,749.8,2026-04-07T21:06:47.819Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,10,0,299,371,303,387,16.49,1,1108.3,2026-04-07T21:06:49.880Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,11,0,336,415,345,436,22.85,1,613.3,2026-04-07T21:06:51.446Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,12,0,736,112,738,118,6.32,1,939.4,2026-04-07T21:06:53.338Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,13,0,223,208,232,208,9.00,1,788.2,2026-04-07T21:06:55.081Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,14,0,559,428,562,444,16.28,1,813.5,2026-04-07T21:06:56.846Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,15,0,257,416,260,429,13.34,1,836.0,2026-04-07T21:06:58.635Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,16,0,502,426,511,427,9.06,1,924.5,2026-04-07T21:07:00.513Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,17,0,146,366,142,368,4.47,1,940.4,2026-04-07T21:07:02.406Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,18,0,727,93,726,110,17.03,1,859.2,2026-04-07T21:07:04.219Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,19,0,650,244,650,256,12.00,1,741.0,2026-04-07T21:07:05.913Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,20,0,214,423,211,418,5.83,1,846.4,2026-04-07T21:07:07.713Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,21,0,249,105,257,106,8.06,1,683.6,2026-04-07T21:07:09.349Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,22,0,699,300,705,303,6.71,1,1203.2,2026-04-07T21:07:11.503Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,23,0,323,317,331,328,13.60,1,758.7,2026-04-07T21:07:13.214Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,24,0,529,145,525,168,23.35,1,846.0,2026-04-07T21:07:15.013Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,25,0,321,185,311,179,11.66,1,563.8,2026-04-07T21:07:16.530Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,26,0,389,314,378,307,13.04,1,845.4,2026-04-07T21:07:18.329Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,27,0,82,380,80,388,8.25,1,881.5,2026-04-07T21:07:20.165Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,28,0,243,276,234,256,21.93,1,685.3,2026-04-07T21:07:21.803Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,29,0,294,86,275,79,20.25,1,661.7,2026-04-07T21:07:23.417Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,30,0,687,59,682,67,9.43,1,1020.2,2026-04-07T21:07:25.389Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,31,0,232,361,236,367,7.21,1,740.0,2026-04-07T21:07:27.082Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,32,0,185,65,187,73,8.25,1,1118.1,2026-04-07T21:07:29.152Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,33,0,119,58,118,78,20.02,1,1088.5,2026-04-07T21:07:31.193Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,34,0,232,96,235,104,8.54,1,923.1,2026-04-07T21:07:33.070Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,35,0,646,285,653,289,8.06,1,994.7,2026-04-07T21:07:35.018Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,36,0,277,83,276,80,3.16,1,843.8,2026-04-07T21:07:36.815Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,37,0,440,87,440,83,4.00,1,734.2,2026-04-07T21:07:38.502Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,38,0,669,192,677,190,8.25,1,893.3,2026-04-07T21:07:40.347Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,39,0,525,258,522,263,5.83,1,770.3,2026-04-07T21:07:42.069Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,40,0,337,360,349,363,12.37,1,879.6,2026-04-07T21:07:43.901Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,41,0,713,115,717,121,7.21,1,893.7,2026-04-07T21:07:45.746Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,42,0,279,247,291,242,13.00,1,884.1,2026-04-07T21:07:47.584Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,43,0,348,158,346,159,2.24,1,716.3,2026-04-07T21:07:49.253Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,44,0,660,339,670,341,10.20,1,963.4,2026-04-07T21:07:51.169Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,45,0,674,117,679,117,5.00,1,1035.8,2026-04-07T21:07:53.157Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,46,0,189,242,186,251,9.49,1,802.5,2026-04-07T21:07:54.914Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,47,0,201,238,208,238,7.00,1,728.0,2026-04-07T21:07:56.595Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,48,0,256,445,258,441,4.47,1,763.6,2026-04-07T21:07:58.312Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,49,0,477,315,476,310,5.10,1,715.4,2026-04-07T21:07:59.981Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,50,0,632,175,631,170,5.10,1,731.9,2026-04-07T21:08:01.666Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,51,0,207,114,207,117,3.00,1,964.8,2026-04-07T21:08:03.583Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,52,0,188,259,200,263,12.65,1,884.5,2026-04-07T21:08:05.420Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,53,0,347,218,356,234,18.36,1,684.4,2026-04-07T21:08:07.057Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,54,0,293,379,281,402,25.94,1,842.5,2026-04-07T21:08:08.853Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,55,0,76,198,74,204,6.32,1,972.9,2026-04-07T21:08:10.779Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,56,0,256,372,259,372,3.00,1,1518.3,2026-04-07T21:08:13.250Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,57,0,417,104,413,103,4.12,1,871.1,2026-04-07T21:08:15.073Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,58,0,732,96,739,100,8.06,1,928.8,2026-04-07T21:08:16.956Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,59,0,345,265,337,274,12.04,1,874.5,2026-04-07T21:08:18.785Z
clover,AV,18-24,Trackpad,Rarely,1,auditory,60,0,133,312,135,307,5.39,1,813.7,2026-04-07T21:08:20.551Z
clover,AV,18-24,Trackpad,Rarely,2,visual,1,0,472,315,469,292,23.19,1,816.1,2026-04-07T21:15:53.916Z
clover,AV,18-24,Trackpad,Rarely,2,visual,2,0,108,157,114,158,6.08,1,920.7,2026-04-07T21:15:55.789Z
clover,AV,18-24,Trackpad,Rarely,2,visual,3,0,699,232,701,234,2.83,1,915.7,2026-04-07T21:15:57.656Z
clover,AV,18-24,Trackpad,Rarely,2,visual,4,0,662,107,665,105,3.61,1,786.9,2026-04-07T21:15:59.396Z
clover,AV,18-24,Trackpad,Rarely,2,visual,5,0,303,436,308,440,6.40,1,849.7,2026-04-07T21:16:01.199Z
clover,AV,18-24,Trackpad,Rarely,2,visual,6,0,404,87,400,85,4.47,1,635.6,2026-04-07T21:16:02.787Z
clover,AV,18-24,Trackpad,Rarely,2,visual,7,0,571,245,568,237,8.54,1,810.4,2026-04-07T21:16:04.550Z
clover,AV,18-24,Trackpad,Rarely,2,visual,8,0,101,218,87,224,15.23,1,732.0,2026-04-07T21:16:06.235Z
clover,AV,18-24,Trackpad,Rarely,2,visual,9,0,409,347,409,346,1.00,1,850.5,2026-04-07T21:16:08.037Z
