participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,1,0,239,163,261,173,24.17,1,813.4,2026-04-07T19:00:05.463Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,2,0,717,274,710,293,20.25,1,727.7,2026-04-07T19:00:07.146Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,3,0,279,405,285,420,16.16,1,795.8,2026-04-07T19:00:08.896Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,4,0,223,205,219,208,5.00,1,946.9,2026-04-07T19:00:10.797Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,5,0,580,62,590,57,11.18,1,945.8,2026-04-07T19:00:12.696Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,6,0,394,324,401,322,7.28,1,880.4,2026-04-07T19:00:14.529Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,7,0,594,342,588,337,7.81,1,996.6,2026-04-07T19:00:16.479Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,8,0,551,360,546,359,5.10,1,979.4,2026-04-07T19:00:18.413Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,9,0,670,398,670,399,1.00,1,1228.0,2026-04-07T19:00:20.595Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,10,0,738,61,737,62,1.41,1,980.7,2026-04-07T19:00:22.529Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,11,0,298,254,310,250,12.65,1,746.8,2026-04-07T19:00:24.229Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,12,0,102,443,101,445,2.24,1,896.7,2026-04-07T19:00:26.079Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,13,0,640,328,637,327,3.16,1,929.8,2026-04-07T19:00:27.962Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,14,0,189,404,191,406,2.83,1,864.2,2026-04-07T19:00:29.780Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,15,0,101,332,101,335,3.00,1,846.3,2026-04-07T19:00:31.579Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,16,0,316,235,311,236,5.10,1,663.0,2026-04-07T19:00:33.196Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,17,0,255,364,255,353,11.00,1,778.7,2026-04-07T19:00:34.929Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,18,0,714,349,721,351,7.28,1,898.8,2026-04-07T19:00:36.779Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,19,0,129,355,126,350,5.83,1,846.9,2026-04-07T19:00:38.580Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,20,0,220,224,226,223,6.08,1,628.6,2026-04-07T19:00:40.162Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,21,0,290,90,307,91,17.03,1,730.3,2026-04-07T19:00:41.846Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,22,0,454,105,459,74,31.40,1,681.2,2026-04-07T19:00:43.480Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,23,0,77,323,81,323,4.00,1,845.8,2026-04-07T19:00:45.279Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,24,0,563,228,561,230,2.83,1,829.3,2026-04-07T19:00:47.063Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,25,0,594,263,621,273,28.79,1,712.6,2026-04-07T19:00:48.729Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,26,0,118,189,122,179,10.77,1,746.2,2026-04-07T19:00:50.429Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,27,0,240,324,252,325,12.04,1,812.7,2026-04-07T19:00:52.196Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,28,0,678,121,683,125,6.40,1,863.5,2026-04-07T19:00:54.012Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,29,0,100,188,93,189,7.07,1,830.0,2026-04-07T19:00:55.796Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,30,0,624,386,618,382,7.21,1,911.7,2026-04-07T19:00:57.663Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,31,0,334,274,333,273,1.41,1,730.8,2026-04-07T19:00:59.346Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,32,0,603,229,602,225,4.12,1,979.8,2026-04-07T19:01:01.279Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,33,0,507,187,511,194,8.06,1,946.1,2026-04-07T19:01:03.179Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,34,0,195,346,195,342,4.00,1,797.7,2026-04-07T19:01:04.930Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,35,0,387,142,379,148,10.00,1,645.2,2026-04-07T19:01:06.529Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,36,0,689,163,695,165,6.32,1,713.1,2026-04-07T19:01:08.196Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,37,0,92,415,101,413,9.22,1,863.3,2026-04-07T19:01:10.012Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,38,0,675,431,669,431,6.00,1,897.3,2026-04-07T19:01:11.863Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,39,0,507,82,510,89,7.62,1,847.0,2026-04-07T19:01:13.662Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,40,0,315,414,311,421,8.06,1,897.0,2026-04-07T19:01:15.512Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,41,0,71,435,68,432,4.24,1,1030.0,2026-04-07T19:01:17.496Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,42,0,747,223,741,224,6.08,1,862.7,2026-04-07T19:01:19.313Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,43,0,587,354,589,362,8.25,1,697.5,2026-04-07T19:01:20.963Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,44,0,333,232,326,233,7.07,1,578.7,2026-04-07T19:01:22.496Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,45,0,580,265,564,257,17.89,1,696.4,2026-04-07T19:01:24.145Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,46,0,223,259,215,260,8.06,1,730.0,2026-04-07T19:01:25.829Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,47,0,454,65,459,65,5.00,1,930.2,2026-04-07T19:01:27.713Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,48,0,670,385,670,380,5.00,1,862.8,2026-04-07T19:01:29.529Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,49,0,139,354,138,353,1.41,1,862.6,2026-04-07T19:01:31.346Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,50,0,680,87,680,78,9.00,1,979.2,2026-04-07T19:01:33.279Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,51,0,396,149,398,142,7.28,1,896.1,2026-04-07T19:01:35.129Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,52,0,422,140,423,138,2.24,1,847.6,2026-04-07T19:01:36.929Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,53,0,472,444,464,443,8.06,1,964.2,2026-04-07T19:01:38.846Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,54,0,484,400,484,391,9.00,1,930.1,2026-04-07T19:01:40.729Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,55,0,200,319,203,315,5.00,1,914.2,2026-04-07T19:01:42.596Z
eric khenkin,VA,18-24,Trackpad,Daily,1,visual,56,0,218,198,215,195,4.24,1,747.7,2026-04-07T19:01:44.297Z
