participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,1,0,577,446,580,440,6.71,1,622.8,2026-04-07T19:50:14.157Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,2,0,647,54,627,66,23.32,1,686.0,2026-04-07T19:50:15.794Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,3,0,168,90,160,89,8.06,1,723.5,2026-04-07T19:50:17.473Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,4,0,713,107,709,102,6.40,1,713.2,2026-04-07T19:50:19.143Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,5,0,648,76,639,90,16.64,1,750.7,2026-04-07T19:50:20.847Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,6,0,202,181,186,176,16.76,1,547.1,2026-04-07T19:50:22.346Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,7,0,552,203,551,198,5.10,1,553.4,2026-04-07T19:50:23.858Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,8,0,141,177,116,183,25.71,1,586.1,2026-04-07T19:50:25.398Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,9,0,433,307,433,304,3.00,1,547.6,2026-04-07T19:50:26.901Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,10,0,294,284,289,296,13.00,1,496.5,2026-04-07T19:50:28.357Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,11,0,510,62,494,77,21.93,1,657.2,2026-04-07T19:50:29.969Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,12,0,431,208,439,213,9.43,1,531.7,2026-04-07T19:50:31.453Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,13,0,390,207,388,209,2.83,1,524.1,2026-04-07T19:50:32.933Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,14,0,630,209,632,211,2.83,1,605.9,2026-04-07T19:50:34.494Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,15,0,457,332,463,328,7.21,1,627.2,2026-04-07T19:50:36.078Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,16,0,117,90,126,96,10.82,1,637.9,2026-04-07T19:50:37.672Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,17,0,603,426,619,427,16.03,1,598.0,2026-04-07T19:50:39.229Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,18,0,539,362,544,370,9.43,1,495.9,2026-04-07T19:50:40.682Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,19,0,267,63,274,73,12.21,1,549.0,2026-04-07T19:50:42.187Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,20,0,405,321,419,313,16.12,1,502.5,2026-04-07T19:50:43.648Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,21,0,89,363,60,341,36.40,0,571.2,2026-04-07T19:50:45.173Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,22,0,424,99,415,110,14.21,1,533.3,2026-04-07T19:50:46.664Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,23,0,89,184,99,191,12.21,1,738.8,2026-04-07T19:50:48.356Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,24,0,541,194,524,200,18.03,1,523.8,2026-04-07T19:50:49.835Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,25,0,130,444,119,449,12.08,1,603.1,2026-04-07T19:50:51.394Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,26,0,356,113,366,123,14.14,1,509.5,2026-04-07T19:50:52.856Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,27,0,156,265,152,276,11.70,1,542.8,2026-04-07T19:50:54.355Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,28,0,436,391,444,384,10.63,1,629.1,2026-04-07T19:50:55.941Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,29,0,437,299,465,310,30.08,1,508.5,2026-04-07T19:50:57.404Z
hiii memo :3,VA,18-24,Mouse,Weekly,1,visual,30,0,264,420,264,420,0.00,1,539.5,2026-04-07T19:50:58.900Z
hiii memo :3,VA,18-24,Mouse,Weekly,2,auditory,1,0,710,157,696,169,18.44,1,682.4,2026-04-07T19:51:16.772Z
hiii memo :3,VA,18-24,Mouse,Weekly,2,auditory,2,0,471,90,476,73,17.72,1,643.6,2026-04-07T19:51:18.372Z
hiii memo :3,VA,18-24,Mouse,Weekly,2,auditory,3,0,197,372,186,370,11.18,1,578.1,2026-04-07T19:51:19.904Z
hiii memo :3,VA,18-24,Mouse,Weekly,2,auditory,4,0,569,154,560,162,12.04,1,637.6,2026-04-07T19:51:21.498Z
hiii memo :3,VA,18-24,Mouse,Weekly,2,auditory,5,0,734,363,720,359,14.56,1,704.1,2026-04-07T19:51:23.162Z
hiii memo :3,VA,18-24,Mouse,Weekly,2,auditory,6,0,544,402,530,396,15.23,1,580.6,2026-04-07T19:51:24.698Z
