participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,1,0,600,61,594,51,11.66,1,567.1,2026-04-07T20:35:11.551Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,2,0,739,339,734,353,14.87,1,653.5,2026-04-07T20:35:13.155Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,3,0,746,99,749,104,5.83,1,502.0,2026-04-07T20:35:14.610Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,4,0,56,385,66,381,10.77,1,653.9,2026-04-07T20:35:16.214Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,5,0,527,326,518,325,9.06,1,515.6,2026-04-07T20:35:17.682Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,6,0,674,157,663,154,11.40,1,578.8,2026-04-07T20:35:19.214Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,7,0,237,244,219,246,18.11,1,542.2,2026-04-07T20:35:20.708Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,8,0,88,121,87,130,9.06,1,557.7,2026-04-07T20:35:22.219Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,9,0,506,292,527,292,21.00,1,455.0,2026-04-07T20:35:23.624Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,10,0,360,185,371,188,11.40,1,403.3,2026-04-07T20:35:24.978Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,11,0,709,439,679,409,42.43,0,498.9,2026-04-07T20:35:26.430Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,12,0,136,385,116,382,20.22,1,522.8,2026-04-07T20:35:27.903Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,13,0,320,107,327,92,16.55,1,448.8,2026-04-07T20:35:29.305Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,14,0,312,82,321,70,15.00,1,454.5,2026-04-07T20:35:30.710Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,15,0,71,207,29,214,42.58,0,456.9,2026-04-07T20:35:32.118Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,16,0,677,176,662,190,20.52,1,488.0,2026-04-07T20:35:33.560Z
ike abraham shuster,AV,18-24,Mouse,Rarely,1,auditory,17,0,311,376,330,374,19.10,1,463.6,2026-04-07T20:35:34.975Z
