participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
jt freelo,VA,18-24,Mouse,Daily,1,visual,1,0,86,283,113,286,27.14,1,436.2,2026-04-07T22:15:06.308Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,2,0,259,88,267,112,25.06,1,444.2,2026-04-07T22:15:07.705Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,3,0,354,159,363,178,20.80,1,364.8,2026-04-07T22:15:09.020Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,4,0,701,94,681,90,20.45,1,397.0,2026-04-07T22:15:10.369Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,5,0,435,86,433,108,21.84,1,467.5,2026-04-07T22:15:11.787Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,6,0,379,377,385,388,12.31,1,378.3,2026-04-07T22:15:13.117Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,7,0,63,314,58,312,5.48,1,431.5,2026-04-07T22:15:14.501Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,8,0,190,122,166,115,25.07,1,461.0,2026-04-07T22:15:15.914Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,9,0,681,226,674,225,7.11,1,472.9,2026-04-07T22:15:17.338Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,10,0,275,162,268,135,28.13,1,459.7,2026-04-07T22:15:18.749Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,11,0,61,444,69,439,9.57,1,594.6,2026-04-07T22:15:20.295Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,12,0,165,268,166,263,5.34,1,446.0,2026-04-07T22:15:21.694Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,13,0,386,166,396,163,10.51,1,422.3,2026-04-07T22:15:23.068Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,14,0,525,241,518,233,10.82,1,440.5,2026-04-07T22:15:24.461Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,15,0,93,353,78,363,17.89,1,486.1,2026-04-07T22:15:25.899Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,16,0,79,387,90,384,11.47,1,450.2,2026-04-07T22:15:27.300Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,17,0,705,239,722,240,17.02,1,450.2,2026-04-07T22:15:28.703Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,18,0,62,434,62,432,2.25,1,488.0,2026-04-07T22:15:30.142Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,19,0,237,239,248,238,11.07,1,426.9,2026-04-07T22:15:31.520Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,20,0,705,212,695,216,10.68,1,473.9,2026-04-07T22:15:32.945Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,21,0,503,143,513,141,10.25,1,446.0,2026-04-07T22:15:34.342Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,22,0,102,188,94,189,8.04,1,464.7,2026-04-07T22:15:35.759Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,23,0,661,382,650,375,13.17,1,495.8,2026-04-07T22:15:37.206Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,24,0,256,179,244,170,15.15,1,417.4,2026-04-07T22:15:38.575Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,25,0,150,380,175,374,25.77,1,481.2,2026-04-07T22:15:40.009Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,26,0,594,76,596,89,12.91,1,466.4,2026-04-07T22:15:41.427Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,27,0,71,424,74,425,3.09,1,534.9,2026-04-07T22:15:42.913Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,28,0,225,196,229,197,4.07,1,479.4,2026-04-07T22:15:44.343Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,29,0,151,216,148,215,3.25,1,451.7,2026-04-07T22:15:45.746Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,30,0,529,131,523,138,9.03,1,424.0,2026-04-07T22:15:47.121Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,31,0,687,260,679,263,8.46,1,490.7,2026-04-07T22:15:48.563Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,32,0,200,89,211,98,14.06,1,470.8,2026-04-07T22:15:49.985Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,33,0,691,390,692,397,6.82,1,466.8,2026-04-07T22:15:51.404Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,34,0,269,335,266,347,12.13,1,442.1,2026-04-07T22:15:52.799Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,35,0,229,236,220,230,10.96,1,410.5,2026-04-07T22:15:54.162Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,36,0,236,422,224,434,16.79,1,483.4,2026-04-07T22:15:55.596Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,37,0,322,122,327,131,10.08,1,496.9,2026-04-07T22:15:57.045Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,38,0,699,278,686,276,13.19,1,461.6,2026-04-07T22:15:58.457Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,39,0,224,220,246,221,22.01,1,455.8,2026-04-07T22:15:59.866Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,40,0,523,126,525,125,2.36,1,468.4,2026-04-07T22:16:01.287Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,41,0,179,324,181,316,8.49,1,504.0,2026-04-07T22:16:02.745Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,42,0,116,265,117,260,5.34,1,511.4,2026-04-07T22:16:04.208Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,43,0,435,164,434,169,4.85,1,444.6,2026-04-07T22:16:05.608Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,44,0,114,219,122,220,8.04,1,529.1,2026-04-07T22:16:07.090Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,45,0,398,300,406,304,8.84,1,395.8,2026-04-07T22:16:08.440Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,46,0,640,54,651,55,11.03,1,549.3,2026-04-07T22:16:09.941Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,47,0,167,294,177,300,11.54,1,512.1,2026-04-07T22:16:11.404Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,48,0,226,410,229,402,8.78,1,485.5,2026-04-07T22:16:12.841Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,49,0,63,280,59,280,4.01,1,530.9,2026-04-07T22:16:14.323Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,50,0,509,395,523,400,14.78,1,459.6,2026-04-07T22:16:15.735Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,51,0,695,445,676,436,21.13,1,536.6,2026-04-07T22:16:17.223Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,52,0,70,206,69,200,6.33,1,432.2,2026-04-07T22:16:18.608Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,53,0,716,300,700,291,18.48,1,461.3,2026-04-07T22:16:20.023Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,54,0,548,372,546,372,2.02,1,465.2,2026-04-07T22:16:21.441Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,55,0,111,203,100,209,12.41,1,473.3,2026-04-07T22:16:22.866Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,56,0,288,174,284,166,9.17,1,429.3,2026-04-07T22:16:24.247Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,57,0,628,400,639,408,13.46,1,512.4,2026-04-07T22:16:25.711Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,58,0,668,72,676,67,9.57,1,546.0,2026-04-07T22:16:27.211Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,59,0,341,237,329,233,12.73,1,402.3,2026-04-07T22:16:28.565Z
jt freelo,VA,18-24,Mouse,Daily,1,visual,60,0,293,197,300,209,13.68,1,436.6,2026-04-07T22:16:29.952Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,1,0,451,406,439,407,12.02,1,478.6,2026-04-07T22:16:39.831Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,2,0,640,378,636,370,9.17,1,456.2,2026-04-07T22:16:41.239Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,3,0,711,207,705,206,6.13,1,480.5,2026-04-07T22:16:42.672Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,4,0,192,325,183,331,10.68,1,463.1,2026-04-07T22:16:44.088Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,5,0,59,225,72,231,14.21,1,471.2,2026-04-07T22:16:45.510Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,6,0,419,309,416,319,10.20,1,413.9,2026-04-07T22:16:46.875Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,7,0,372,207,369,200,7.85,1,375.1,2026-04-07T22:16:48.203Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,8,0,347,206,354,204,7.35,1,390.0,2026-04-07T22:16:49.546Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,9,0,276,155,280,165,10.54,1,435.3,2026-04-07T22:16:50.933Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,10,0,468,242,471,238,5.20,1,367.0,2026-04-07T22:16:52.251Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,11,0,682,351,672,358,12.06,1,465.7,2026-04-07T22:16:53.669Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,12,0,491,157,497,157,6.01,1,436.2,2026-04-07T22:16:55.059Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,13,0,528,315,534,325,11.45,1,379.1,2026-04-07T22:16:56.391Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,14,0,575,207,575,202,5.25,1,451.5,2026-04-07T22:16:57.794Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,15,0,501,359,500,360,1.25,1,389.5,2026-04-07T22:16:59.135Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,16,0,315,125,309,125,6.01,1,455.0,2026-04-07T22:17:00.545Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,17,0,707,370,700,362,10.82,1,462.3,2026-04-07T22:17:01.958Z
jt freelo,VA,18-24,Mouse,Daily,2,auditory,18,0,515,170,519,173,4.85,1,423.4,2026-04-07T22:17:03.336Z
