participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,1,0,419,77,408,71,12.65,1,462.4,2026-04-07T21:52:31.331Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,2,0,374,219,370,216,5.15,1,382.5,2026-04-07T21:52:32.666Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,3,0,411,287,416,298,11.86,1,313.7,2026-04-07T21:52:33.930Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,4,0,674,102,675,94,8.31,1,475.2,2026-04-07T21:52:35.359Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,5,0,542,376,532,378,10.15,1,449.3,2026-04-07T21:52:36.760Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,6,0,494,130,492,118,12.41,1,434.3,2026-04-07T21:52:38.146Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,7,0,569,93,570,90,3.40,1,431.9,2026-04-07T21:52:39.529Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,8,0,215,403,211,413,10.54,1,420.6,2026-04-07T21:52:40.902Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,9,0,608,103,621,98,14.02,1,426.3,2026-04-07T21:52:42.280Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,10,0,326,429,335,433,9.75,1,470.2,2026-04-07T21:52:43.701Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,11,0,318,398,330,395,12.43,1,446.0,2026-04-07T21:52:45.100Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,12,0,186,201,203,194,18.48,1,455.6,2026-04-07T21:52:46.507Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,13,0,614,180,627,195,19.66,1,399.2,2026-04-07T21:52:47.859Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,14,0,527,193,526,200,6.82,1,419.1,2026-04-07T21:52:49.229Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,15,0,427,378,427,383,4.75,1,403.4,2026-04-07T21:52:50.583Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,16,0,710,208,703,208,7.00,1,468.8,2026-04-07T21:52:52.004Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,17,0,235,80,239,99,19.17,1,473.2,2026-04-07T21:52:53.428Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,18,0,514,197,509,190,8.81,1,381.0,2026-04-07T21:52:54.760Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,19,0,570,80,553,82,17.09,1,450.7,2026-04-07T21:52:56.164Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,20,0,666,361,686,364,20.19,1,473.8,2026-04-07T21:52:57.590Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,21,0,333,370,347,378,16.00,1,412.8,2026-04-07T21:52:58.954Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,22,0,295,243,279,234,18.48,1,443.1,2026-04-07T21:53:00.348Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,23,0,320,293,313,298,8.46,1,422.3,2026-04-07T21:53:01.722Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,24,0,99,183,95,194,11.47,1,477.3,2026-04-07T21:53:03.152Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,25,0,449,122,446,122,3.01,1,431.6,2026-04-07T21:53:04.534Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,26,0,330,86,335,77,10.51,1,447.7,2026-04-07T21:53:05.934Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,27,0,702,309,712,305,10.87,1,487.7,2026-04-07T21:53:07.374Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,28,0,128,253,123,251,5.48,1,444.6,2026-04-07T21:53:08.770Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,29,0,519,418,517,400,18.36,1,445.4,2026-04-07T21:53:10.168Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,30,0,463,440,461,425,15.38,1,483.0,2026-04-07T21:53:11.603Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,31,0,645,63,640,52,12.31,1,479.5,2026-04-07T21:53:13.033Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,32,0,154,307,157,295,12.61,1,450.0,2026-04-07T21:53:14.434Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,33,0,211,183,208,179,5.20,1,452.6,2026-04-07T21:53:15.837Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,34,0,182,294,189,294,7.00,1,501.2,2026-04-07T21:53:17.291Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,35,0,364,320,362,329,8.98,1,473.4,2026-04-07T21:53:18.716Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,36,0,384,358,384,364,5.75,1,444.1,2026-04-07T21:53:20.112Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,37,0,555,189,546,185,9.95,1,471.5,2026-04-07T21:53:21.534Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,38,0,677,383,672,377,8.00,1,526.1,2026-04-07T21:53:23.011Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,39,0,205,136,201,143,7.85,1,440.3,2026-04-07T21:53:24.403Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,40,0,693,102,673,113,22.71,1,518.4,2026-04-07T21:53:25.873Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,41,0,52,278,43,269,12.91,1,487.1,2026-04-07T21:53:27.311Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,42,0,375,269,369,277,9.80,1,446.1,2026-04-07T21:53:28.709Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,43,0,587,136,593,127,11.03,1,495.9,2026-04-07T21:53:30.159Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,44,0,574,88,559,88,15.00,1,468.5,2026-04-07T21:53:31.579Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,45,0,170,401,185,397,15.59,1,588.9,2026-04-07T21:53:33.119Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,46,0,629,409,628,408,1.60,1,530.0,2026-04-07T21:53:34.602Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,47,0,742,303,735,303,7.00,1,561.6,2026-04-07T21:53:36.114Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,48,0,50,345,63,347,13.12,1,527.4,2026-04-07T21:53:37.594Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,49,0,373,132,373,126,6.25,1,442.0,2026-04-07T21:53:38.986Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,50,0,410,53,414,64,11.47,1,443.9,2026-04-07T21:53:40.383Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,51,0,697,298,712,299,15.02,1,524.2,2026-04-07T21:53:41.858Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,52,0,726,271,726,275,3.75,1,514.1,2026-04-07T21:53:43.323Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,53,0,727,158,718,173,17.28,1,469.4,2026-04-07T21:53:44.745Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,54,0,374,240,363,251,15.38,1,384.2,2026-04-07T21:53:46.082Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,55,0,194,174,189,179,6.90,1,530.1,2026-04-07T21:53:47.564Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,56,0,571,446,574,432,14.56,1,576.3,2026-04-07T21:53:49.091Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,57,0,513,344,516,359,15.05,1,485.7,2026-04-07T21:53:50.528Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,58,0,509,259,525,262,16.23,1,526.2,2026-04-07T21:53:52.005Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,59,0,412,360,411,357,3.40,1,413.3,2026-04-07T21:53:53.370Z
lc att 2,AV,18-24,Mouse,Weekly,1,auditory,60,0,114,340,125,328,16.46,1,598.5,2026-04-07T21:53:54.919Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,1,0,573,345,552,348,21.18,1,396.2,2026-04-07T21:54:05.044Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,2,0,378,290,388,296,11.54,1,391.4,2026-04-07T21:54:06.388Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,3,0,516,438,508,440,8.19,1,508.6,2026-04-07T21:54:07.847Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,4,0,306,209,286,199,22.47,1,437.4,2026-04-07T21:54:09.237Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,5,0,567,277,567,285,7.75,1,377.3,2026-04-07T21:54:10.566Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,6,0,475,126,482,129,7.52,1,414.4,2026-04-07T21:54:11.931Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,7,0,584,153,593,139,16.85,1,449.1,2026-04-07T21:54:13.335Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,8,0,602,229,591,227,11.23,1,419.8,2026-04-07T21:54:14.706Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,9,0,299,382,299,382,0.25,1,451.5,2026-04-07T21:54:16.110Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,10,0,435,151,442,138,14.99,1,403.6,2026-04-07T21:54:17.465Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,11,0,473,300,475,306,6.09,1,381.0,2026-04-07T21:54:18.798Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,12,0,204,141,217,129,17.86,1,440.5,2026-04-07T21:54:20.191Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,13,0,626,286,597,279,29.89,1,451.6,2026-04-07T21:54:21.594Z
lc att 2,AV,18-24,Mouse,Weekly,2,visual,14,0,208,344,221,341,13.40,1,411.8,2026-04-07T21:54:22.957Z
