participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
lc using hands,AV,18-24,Mouse,Daily,1,auditory,1,0,97,341,107,340,10.08,1,544.8,2026-04-07T22:28:39.973Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,2,0,470,247,479,245,9.28,1,420.4,2026-04-07T22:28:41.346Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,3,0,750,248,720,259,31.87,1,469.1,2026-04-07T22:28:42.770Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,4,0,585,71,585,66,5.25,1,528.5,2026-04-07T22:28:44.248Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,5,0,621,426,624,430,4.80,1,477.9,2026-04-07T22:28:45.679Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,6,0,153,179,127,178,26.03,1,475.1,2026-04-07T22:28:47.107Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,7,0,527,88,538,85,11.47,1,457.3,2026-04-07T22:28:48.517Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,8,0,119,427,112,434,9.72,1,531.9,2026-04-07T22:28:50.000Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,9,0,523,404,528,417,13.70,1,478.4,2026-04-07T22:28:51.430Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,10,0,457,230,458,235,4.85,1,401.8,2026-04-07T22:28:52.784Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,11,0,67,290,64,292,3.47,1,544.9,2026-04-07T22:28:54.280Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,12,0,95,366,98,372,6.49,1,568.6,2026-04-07T22:28:55.801Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,13,0,605,339,622,337,17.15,1,466.1,2026-04-07T22:28:57.218Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,14,0,613,292,604,299,11.25,1,495.1,2026-04-07T22:28:58.664Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,15,0,320,243,314,247,7.08,1,408.0,2026-04-07T22:29:00.024Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,16,0,554,57,563,68,14.02,1,483.4,2026-04-07T22:29:01.458Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,17,0,689,397,670,399,19.08,1,492.2,2026-04-07T22:29:02.903Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,18,0,273,298,268,297,5.15,1,450.6,2026-04-07T22:29:04.306Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,19,0,70,131,71,132,1.25,1,569.7,2026-04-07T22:29:05.828Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,20,0,75,311,67,309,8.31,1,605.4,2026-04-07T22:29:07.386Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,21,0,473,402,481,397,9.57,1,448.1,2026-04-07T22:29:08.787Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,22,0,301,120,296,124,6.25,1,451.8,2026-04-07T22:29:10.191Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,23,0,53,448,50,459,11.16,1,536.7,2026-04-07T22:29:11.679Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,24,0,132,435,133,441,5.84,1,545.8,2026-04-07T22:29:13.177Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,25,0,482,441,494,453,16.79,1,479.5,2026-04-07T22:29:14.608Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,26,0,325,137,323,131,6.56,1,484.8,2026-04-07T22:29:16.044Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,27,0,598,338,624,335,26.20,1,398.6,2026-04-07T22:29:17.394Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,28,0,209,447,209,459,11.75,1,535.5,2026-04-07T22:29:18.881Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,29,0,479,85,472,81,8.19,1,509.3,2026-04-07T22:29:20.341Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,30,0,416,299,421,300,5.06,1,340.5,2026-04-07T22:29:21.633Z
lc using hands,AV,18-24,Mouse,Daily,1,auditory,31,0,402,277,405,281,4.80,1,386.6,2026-04-07T22:29:22.971Z
