participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
lc,AV,18-24,Mouse,Daily,1,auditory,1,0,268,362,253,384,26.42,1,398.7,2026-04-07T21:45:05.655Z
lc,AV,18-24,Mouse,Daily,1,auditory,2,0,386,77,392,89,13.19,1,400.6,2026-04-07T21:45:07.006Z
lc,AV,18-24,Mouse,Daily,1,auditory,3,0,409,392,418,392,9.00,1,360.8,2026-04-07T21:45:08.320Z
lc,AV,18-24,Mouse,Daily,1,auditory,4,0,367,253,386,265,22.34,1,303.8,2026-04-07T21:45:09.574Z
lc,AV,18-24,Mouse,Daily,1,auditory,5,0,306,399,309,413,14.07,1,377.9,2026-04-07T21:45:10.904Z
lc,AV,18-24,Mouse,Daily,1,auditory,6,0,249,243,248,242,1.60,1,340.5,2026-04-07T21:45:12.197Z
lc,AV,18-24,Mouse,Daily,1,auditory,7,0,92,65,83,67,9.17,1,434.6,2026-04-07T21:45:13.583Z
lc,AV,18-24,Mouse,Daily,1,auditory,8,0,611,296,614,291,6.05,1,377.4,2026-04-07T21:45:14.912Z
lc,AV,18-24,Mouse,Daily,1,auditory,9,0,425,450,431,443,9.41,1,394.3,2026-04-07T21:45:16.257Z
lc,AV,18-24,Mouse,Daily,1,auditory,10,0,57,145,53,141,5.84,1,490.1,2026-04-07T21:45:17.700Z
lc,AV,18-24,Mouse,Daily,1,auditory,11,0,226,397,235,405,11.88,1,401.7,2026-04-07T21:45:19.053Z
lc,AV,18-24,Mouse,Daily,1,auditory,12,0,680,150,663,154,17.41,1,397.9,2026-04-07T21:45:20.405Z
lc,AV,18-24,Mouse,Daily,1,auditory,13,0,455,88,452,104,16.03,1,371.5,2026-04-07T21:45:21.729Z
lc,AV,18-24,Mouse,Daily,1,auditory,14,0,581,325,559,334,23.68,1,366.1,2026-04-07T21:45:23.046Z
lc,AV,18-24,Mouse,Daily,1,auditory,15,0,93,71,110,58,21.55,1,415.4,2026-04-07T21:45:24.412Z
lc,AV,18-24,Mouse,Daily,1,auditory,16,0,472,231,457,232,15.02,1,330.7,2026-04-07T21:45:25.694Z
lc,AV,18-24,Mouse,Daily,1,auditory,17,0,530,371,539,384,15.61,1,379.1,2026-04-07T21:45:27.026Z
lc,AV,18-24,Mouse,Daily,1,auditory,18,0,699,270,687,270,12.00,1,394.6,2026-04-07T21:45:28.372Z
lc,AV,18-24,Mouse,Daily,1,auditory,19,0,706,383,702,385,4.37,1,391.2,2026-04-07T21:45:29.716Z
lc,AV,18-24,Mouse,Daily,1,auditory,20,0,349,137,346,138,3.09,1,336.6,2026-04-07T21:45:31.003Z
lc,AV,18-24,Mouse,Daily,1,auditory,21,0,621,266,613,258,11.49,1,356.5,2026-04-07T21:45:32.312Z
lc,AV,18-24,Mouse,Daily,1,auditory,22,0,387,260,395,257,8.63,1,293.9,2026-04-07T21:45:33.558Z
lc,AV,18-24,Mouse,Daily,1,auditory,23,0,544,209,528,198,19.56,1,355.9,2026-04-07T21:45:34.864Z
lc,AV,18-24,Mouse,Daily,1,auditory,24,0,480,65,471,57,12.21,1,377.0,2026-04-07T21:45:36.194Z
lc,AV,18-24,Mouse,Daily,1,auditory,25,0,719,64,733,61,14.37,1,442.3,2026-04-07T21:45:37.587Z
lc,AV,18-24,Mouse,Daily,1,auditory,26,0,74,438,90,416,27.41,1,465.8,2026-04-07T21:45:39.005Z
lc,AV,18-24,Mouse,Daily,1,auditory,27,0,678,187,655,184,23.23,1,362.6,2026-04-07T21:45:40.319Z
lc,AV,18-24,Mouse,Daily,1,auditory,28,0,93,307,81,319,16.79,1,414.3,2026-04-07T21:45:41.687Z
lc,AV,18-24,Mouse,Daily,1,auditory,29,0,652,375,661,370,10.42,1,397.9,2026-04-07T21:45:43.037Z
lc,AV,18-24,Mouse,Daily,1,auditory,30,0,585,409,560,410,25.01,1,408.4,2026-04-07T21:45:44.398Z
lc,AV,18-24,Mouse,Daily,1,auditory,31,0,496,205,488,200,9.57,1,353.9,2026-04-07T21:45:45.705Z
lc,AV,18-24,Mouse,Daily,1,auditory,32,0,386,252,393,258,9.06,1,298.3,2026-04-07T21:45:46.955Z
lc,AV,18-24,Mouse,Daily,1,auditory,33,0,642,285,635,277,10.82,1,376.5,2026-04-07T21:45:48.283Z
lc,AV,18-24,Mouse,Daily,1,auditory,34,0,292,58,316,79,31.73,1,381.2,2026-04-07T21:45:49.616Z
lc,AV,18-24,Mouse,Daily,1,auditory,35,0,158,346,171,341,14.02,1,467.9,2026-04-07T21:45:51.036Z
lc,AV,18-24,Mouse,Daily,1,auditory,36,0,211,164,201,159,11.29,1,409.6,2026-04-07T21:45:52.397Z
lc,AV,18-24,Mouse,Daily,1,auditory,37,0,659,138,640,149,21.83,1,385.0,2026-04-07T21:45:53.734Z
lc,AV,18-24,Mouse,Daily,1,auditory,38,0,578,362,568,378,18.66,1,380.9,2026-04-07T21:45:55.066Z
lc,AV,18-24,Mouse,Daily,1,auditory,39,0,410,68,411,78,9.80,1,389.4,2026-04-07T21:45:56.408Z
lc,AV,18-24,Mouse,Daily,1,auditory,40,0,97,228,76,225,21.25,1,412.9,2026-04-07T21:45:57.773Z
lc,AV,18-24,Mouse,Daily,1,auditory,41,0,613,423,606,418,8.75,1,403.6,2026-04-07T21:45:59.128Z
lc,AV,18-24,Mouse,Daily,1,auditory,42,0,514,141,511,134,7.85,1,365.9,2026-04-07T21:46:00.446Z
lc,AV,18-24,Mouse,Daily,1,auditory,43,0,661,298,643,296,18.14,1,349.1,2026-04-07T21:46:01.746Z
lc,AV,18-24,Mouse,Daily,1,auditory,44,0,66,287,61,285,5.48,1,429.1,2026-04-07T21:46:03.126Z
lc,AV,18-24,Mouse,Daily,1,auditory,45,0,340,350,364,336,27.91,1,348.5,2026-04-07T21:46:04.426Z
lc,AV,18-24,Mouse,Daily,1,auditory,46,0,705,195,692,205,16.25,1,379.5,2026-04-07T21:46:05.757Z
