participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
Memo,AV,18-24,Trackpad,Never,1,auditory,1,0,92,263,87,272,9.86,1,679.6,2026-04-05T22:30:50.921Z
Memo,AV,18-24,Trackpad,Never,1,auditory,2,0,255,371,253,369,3.20,1,579.2,2026-04-05T22:30:52.454Z
Memo,AV,18-24,Trackpad,Never,1,auditory,3,0,351,448,331,429,27.93,1,730.7,2026-04-05T22:30:54.138Z
Memo,AV,18-24,Trackpad,Never,1,auditory,4,0,158,189,131,189,27.00,1,746.0,2026-04-05T22:30:55.837Z
Memo,AV,18-24,Trackpad,Never,1,auditory,5,0,746,300,719,288,29.75,1,913.4,2026-04-05T22:30:57.703Z
Memo,AV,18-24,Trackpad,Never,1,auditory,6,0,421,436,413,426,13.20,1,648.1,2026-04-05T22:30:59.303Z
Memo,AV,18-24,Trackpad,Never,1,auditory,7,0,321,333,304,349,23.01,1,496.7,2026-04-05T22:31:00.754Z
Memo,AV,18-24,Trackpad,Never,1,auditory,8,0,607,421,639,444,39.12,0,813.5,2026-04-05T22:31:02.520Z
Memo,AV,18-24,Trackpad,Never,1,auditory,9,0,267,385,263,419,33.74,1,564.1,2026-04-05T22:31:04.037Z
Memo,AV,18-24,Trackpad,Never,1,auditory,10,0,370,196,367,194,3.91,1,579.7,2026-04-05T22:31:05.569Z
Memo,AV,18-24,Trackpad,Never,1,auditory,11,0,735,326,712,345,29.52,1,865.6,2026-04-05T22:31:07.387Z
Memo,AV,18-24,Trackpad,Never,1,auditory,12,0,132,263,114,269,18.82,1,713.8,2026-04-05T22:31:09.053Z
Memo,AV,18-24,Trackpad,Never,1,auditory,13,0,657,63,644,66,13.24,1,797.9,2026-04-05T22:31:10.804Z
Memo,AV,18-24,Trackpad,Never,1,auditory,14,0,499,290,499,289,1.50,1,697.9,2026-04-05T22:31:12.454Z
Memo,AV,18-24,Trackpad,Never,1,auditory,15,0,717,233,728,228,12.30,1,895.0,2026-04-05T22:31:14.303Z
Memo,AV,18-24,Trackpad,Never,1,auditory,16,0,699,350,707,377,27.68,1,796.4,2026-04-05T22:31:16.054Z
Memo,AV,18-24,Trackpad,Never,1,auditory,17,0,686,304,689,314,9.96,1,846.4,2026-04-05T22:31:17.853Z
Memo,AV,18-24,Trackpad,Never,1,auditory,18,0,544,271,514,262,31.47,1,797.2,2026-04-05T22:31:19.603Z
Memo,AV,18-24,Trackpad,Never,1,auditory,19,0,339,283,338,297,13.54,1,498.5,2026-04-05T22:31:21.054Z
Memo,AV,18-24,Trackpad,Never,1,auditory,20,0,312,97,318,111,14.77,1,563.9,2026-04-05T22:31:22.571Z
Memo,AV,18-24,Trackpad,Never,1,auditory,21,0,739,113,736,110,4.61,1,963.6,2026-04-05T22:31:24.487Z
Memo,AV,18-24,Trackpad,Never,1,auditory,22,0,133,71,150,79,18.58,1,747.2,2026-04-05T22:31:26.187Z
Memo,AV,18-24,Trackpad,Never,1,auditory,23,0,660,315,640,301,24.70,1,1047.1,2026-04-05T22:31:28.187Z
Memo,AV,18-24,Trackpad,Never,1,auditory,24,0,242,429,247,418,12.54,1,663.5,2026-04-05T22:31:29.803Z
Memo,AV,18-24,Trackpad,Never,1,auditory,25,0,239,219,238,234,14.53,1,647.0,2026-04-05T22:31:31.403Z
Memo,AV,18-24,Trackpad,Never,1,auditory,26,0,335,385,344,393,11.72,1,564.5,2026-04-05T22:31:32.921Z
Memo,AV,18-24,Trackpad,Never,1,auditory,27,0,563,419,530,414,33.46,1,711.5,2026-04-05T22:31:34.587Z
Memo,AV,18-24,Trackpad,Never,1,auditory,28,0,676,416,662,416,14.01,1,747.8,2026-04-05T22:31:36.287Z
Memo,AV,18-24,Trackpad,Never,1,auditory,29,0,418,352,421,353,3.04,1,679.7,2026-04-05T22:31:37.920Z
Memo,AV,18-24,Trackpad,Never,1,auditory,30,0,236,211,247,213,11.10,1,578.3,2026-04-05T22:31:39.453Z
Memo,AV,18-24,Trackpad,Never,1,auditory,31,0,657,175,669,163,17.33,1,697.9,2026-04-05T22:31:41.103Z
Memo,AV,18-24,Trackpad,Never,1,auditory,32,0,267,321,274,317,8.32,1,696.7,2026-04-05T22:31:42.753Z
Memo,AV,18-24,Trackpad,Never,1,auditory,33,0,281,192,288,198,8.90,1,515.2,2026-04-05T22:31:44.221Z
Memo,AV,18-24,Trackpad,Never,1,auditory,34,0,170,273,182,280,13.65,1,1080.0,2026-04-05T22:31:46.254Z
Memo,AV,18-24,Trackpad,Never,1,auditory,35,0,329,55,335,74,19.45,1,662.7,2026-04-05T22:31:47.869Z
Memo,AV,18-24,Trackpad,Never,1,auditory,36,0,557,229,575,243,22.50,1,533.5,2026-04-05T22:31:49.354Z
Memo,AV,18-24,Trackpad,Never,1,auditory,37,0,198,242,246,236,48.44,0,496.8,2026-04-05T22:31:50.804Z
Memo,AV,18-24,Trackpad,Never,1,auditory,38,0,626,418,663,402,40.51,0,463.9,2026-04-05T22:31:52.221Z
Memo,AV,18-24,Trackpad,Never,1,auditory,39,0,92,91,105,90,13.09,1,664.9,2026-04-05T22:31:53.837Z
Memo,AV,18-24,Trackpad,Never,1,auditory,40,0,528,186,514,191,14.71,1,646.9,2026-04-05T22:31:55.437Z
Memo,AV,18-24,Trackpad,Never,1,auditory,41,0,80,77,93,68,16.10,1,664.0,2026-04-05T22:31:57.054Z
Memo,AV,18-24,Trackpad,Never,1,auditory,42,0,679,156,673,152,7.50,1,747.7,2026-04-05T22:31:58.754Z
Memo,AV,18-24,Trackpad,Never,1,auditory,43,0,369,329,362,326,7.83,1,764.6,2026-04-05T22:32:00.470Z
Memo,AV,18-24,Trackpad,Never,1,auditory,44,0,55,387,58,365,22.70,1,698.1,2026-04-05T22:32:02.121Z
Memo,AV,18-24,Trackpad,Never,1,auditory,45,0,612,328,602,336,12.50,1,796.1,2026-04-05T22:32:03.871Z
Memo,AV,18-24,Trackpad,Never,1,auditory,46,0,304,212,309,207,7.43,1,563.7,2026-04-05T22:32:05.387Z
Memo,AV,18-24,Trackpad,Never,1,auditory,47,0,701,282,688,296,18.74,1,762.6,2026-04-05T22:32:07.104Z
Memo,AV,18-24,Trackpad,Never,1,auditory,48,0,445,424,433,426,12.09,1,779.9,2026-04-05T22:32:08.837Z
