participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,1,0,229,139,220,131,12.62,1,721.0,2026-04-05T22:05:46.894Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,2,0,373,124,369,127,5.00,1,556.0,2026-04-05T22:05:48.425Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,3,0,484,316,481,312,5.60,1,641.0,2026-04-05T22:05:50.038Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,4,0,596,151,580,169,23.94,1,609.0,2026-04-05T22:05:51.614Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,5,0,703,392,712,383,12.86,1,718.0,2026-04-05T22:05:53.301Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,6,0,482,436,501,433,18.99,1,569.0,2026-04-05T22:05:54.840Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,7,0,130,53,112,40,22.77,1,593.0,2026-04-05T22:05:56.405Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,8,0,189,260,200,241,22.23,1,651.0,2026-04-05T22:05:58.019Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,9,0,541,67,553,45,25.34,1,637.0,2026-04-05T22:05:59.628Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,10,0,221,134,211,129,11.71,1,674.0,2026-04-05T22:06:01.269Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,11,0,455,362,457,384,21.56,1,493.0,2026-04-05T22:06:02.740Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,12,0,254,208,256,212,3.88,1,538.0,2026-04-05T22:06:04.243Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,13,0,392,313,381,291,25.19,1,376.0,2026-04-05T22:06:05.588Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,14,0,111,177,127,163,21.35,1,614.0,2026-04-05T22:06:07.170Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,15,0,442,266,439,276,10.07,1,542.0,2026-04-05T22:06:08.683Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,16,0,136,184,129,193,11.23,1,522.0,2026-04-05T22:06:10.170Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,17,0,515,191,493,221,37.00,0,479.0,2026-04-05T22:06:11.621Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,18,0,418,233,369,229,49.54,0,462.0,2026-04-05T22:06:13.046Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,19,0,565,267,563,263,5.07,1,586.0,2026-04-05T22:06:14.598Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,20,0,572,225,570,211,14.69,1,677.0,2026-04-05T22:06:16.243Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,21,0,703,411,724,419,21.99,1,954.0,2026-04-05T22:06:18.170Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,22,0,422,415,424,416,1.74,1,650.0,2026-04-05T22:06:19.802Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,23,0,724,254,737,251,13.14,1,799.0,2026-04-05T22:06:21.566Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,24,0,494,211,487,214,7.75,1,561.0,2026-04-05T22:06:23.089Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,25,0,531,424,533,430,5.75,1,605.0,2026-04-05T22:06:24.671Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,26,0,452,406,477,430,34.07,1,539.0,2026-04-05T22:06:26.173Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,27,0,588,432,597,439,10.83,1,685.0,2026-04-05T22:06:27.828Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,28,0,113,235,119,239,6.66,1,827.0,2026-04-05T22:06:29.617Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,29,0,669,251,671,261,9.65,1,791.0,2026-04-05T22:06:31.374Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,30,0,193,55,189,61,7.00,1,877.0,2026-04-05T22:06:33.220Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,31,0,318,275,313,279,6.38,1,675.0,2026-04-05T22:06:34.872Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,32,0,373,442,378,458,16.19,1,812.0,2026-04-05T22:06:36.669Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,33,0,434,76,434,77,0.60,1,697.0,2026-04-05T22:06:38.330Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,34,0,67,324,57,324,10.35,1,885.0,2026-04-05T22:06:40.183Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,35,0,172,417,193,427,22.75,1,662.0,2026-04-05T22:06:41.816Z
P.0123459734,VA,18-24,Mouse,Weekly,1,visual,36,0,455,111,453,113,2.77,1,649.0,2026-04-05T22:06:43.437Z
